Species,Location,Data,Method,F_value,Lower_95_CI,Upper_95_CI
Pink Snapper,Metro/SW,Age,Chapman and Robson,0.145,0.124,0.165
Pink Snapper,Metro/SW,Age,Linear Catch Curve,0.198,0.138,0.258
Pink Snapper,Metro/SW,Length,L3,0.17,0.15,0.19
Pink Snapper,Metro/SW,Length,Pauly,0.21,0.19,0.25
King Wrasse,Jurien,Age,Chapman and Robson,0.736,0.553,0.92
King Wrasse,Jurien,Age,Linear Catch Curve,0.709,0.526,0.891
King Wrasse,Jurien,Length,L3,0.22,0.14,0.32
King Wrasse,Jurien,Length,Pauly,0.33,0.15,0.5
Southern Maori Wrasse,Metro,Age,Chapman and Robson,0.496,0.313,0.68
Southern Maori Wrasse,Metro,Age,Linear Catch Curve,0.469,0.286,0.651
Southern Maori Wrasse,Metro,Length,L3,0.18,0.06,0.41
Southern Maori Wrasse,Metro,Length,Pauly,,,
