OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JV_034	1	JV-034_L9.avi	13639	JV-034_R10.avi	14328	7.58481	P1	6.60105	29.25646	-339.71969	-1298.46267	0.56997	0.78169	2.17219	7.20687	1342.48677	14.80578	Pseudochromidae	Labracinus	lineatus	37313003	1	AD	Passing			
JV_034	2	JV-034_L9.avi	14753	JV-034_R10.avi	15442	8.20432	P1	7.22055	248.21176	-354.2881	-1382.6182	0.72168	0.84821	2.45112	3.64192	1448.71054	17.44927	Labridae	Notolabrus	parilus	37384022	1	M	Passing			
JV_034	4	JV-034_L9.avi	33111	JV-034_R10.avi	33800	18.41341	P1	17.42965	-44.94688	-231.49791	-987.01781	0.43966	0.51271	1.26406	2.95283	1014.79834	13.52809	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
JV_034	14	JV-034_L9.avi	40668	JV-034_R10.avi	41357	22.61595	P1	21.63219	157.54284	-249.75816	-1371.70067	0.65067	0.72719	2.42509	1.45493	1403.12566	12.22727	Labridae	Coris	auricularis	37384088	1	F	Passing			
JV_034	15	JV-034_L9.avi	40668	JV-034_R10.avi	41357	22.61595	P1	21.63219	514.73006	-96.00523	-1253.5454	0.91292	0.55528	1.97559	1.23483	1358.50658	22.68744	Labridae	Coris	auricularis	37384088	1	F	Passing			
JV_034	27	JV-034_L9.avi	43640	JV-034_R10.avi	44329	24.26871	P1	23.28495	33.67116	-354.42918	-2037.50948	0.88281	1.24291	5.27037	3.88469	2068.38068	10.00354	Labridae	Coris	auricularis	37384088	1	F	Passing			
JV_034	33	JV-034_L9.avi	50936	JV-034_R10.avi	51625	28.3261	P1	27.34234	964.01327	-1345.66891	-6053.08068	7.43152	10.21092	45.1966	3.57542	6275.34318	15.36996	Scorpididae	Scorpis	georgiana	37361015	1	AD	Passing			
JV_034	36	JV-034_L9.avi	62031	JV-034_R10.avi	62720	34.49616	P1	33.5124	951.55526	-1021.4992	-3463.00243	4.10052	4.49391	14.74427	9.5224	3733.80554	22.0235	Chaetodontidae	Chelmonops	curiosus	37365066	1	AD	Passing			
JV_034	37	JV-034_L9.avi	62047	JV-034_R10.avi	62736	34.50506	P1	33.5213	515.98429	-1210.20398	-4086.37684	3.03643	6.26121	20.7014	4.25124	4292.93713	17.93104	Chaetodontidae	Chelmonops	curiosus	37365066	1	AD	Passing			
FISPZS1-R4	2	FISPZS1-R4_L9_REPEAT.avi	6794	FISPZS1-R4_R10_REPEAT.avi	6197	3.77822	P1	2.39462	1608.38763	-568.79401	-3238.49772	5.87083	2.48507	12.33128	4.10603	3660.3695	27.81064	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
FISPZS1-R4	3	FISPZS1-R4_L9_REPEAT.avi	6794	FISPZS1-R4_R10_REPEAT.avi	6197	3.77822	P1	2.39462	1506.57856	-590.21906	-2835.56447	4.72147	2.20393	9.3315	16.35471	3264.74553	29.74432	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
