OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
JV_034	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0244475944	-0.0836300625	4.1867390268	0.0029587629	0.0003246481	0.0000000000	0.0005586294	-0.0014941992	0.0000000000	0.0001193021	-340.1014059592	0.0000000000	0.0000000000	-0.4090241330	-7.3347810057	1.3809895442	mm
JV_034	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0810691165	0.0682187780	4.1980839939	0.0023166323	0.0009406313	0.0000000000	0.0015092089	0.0008890765	0.0000000000	-0.0005940655	340.1014059592	0.0000000000	0.0000000000	0.4090241330	5.2023433137	1.1518837423	mm
FISPZS1-R4	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0244475944	-0.0836300625	4.1867390268	0.0029587629	0.0003246481	0.0000000000	0.0005586294	-0.0014941992	0.0000000000	0.0001193021	-340.1014059592	0.0000000000	0.0000000000	-0.4090241330	-7.3347810057	1.3809895442	mm
FISPZS1-R4	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0810691165	0.0682187780	4.1980839939	0.0023166323	0.0009406313	0.0000000000	0.0015092089	0.0008890765	0.0000000000	-0.0005940655	340.1014059592	0.0000000000	0.0000000000	0.4090241330	5.2023433137	1.1518837423	mm
FISPZS1-R3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0067392151	-0.0229221136	4.1811890608	0.0046190977	-0.0003313903	0.0000000000	0.0001890502	-0.0008604666	0.0000000000	-0.0014035493	-339.0299977323	0.0000000000	0.0000000000	-0.3915435992	-6.2202698809	-2.3406132533	mm
FISPZS1-R3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0764403320	-0.1151607059	4.1810506155	0.0039688714	0.0001097156	0.0000000000	0.0005059840	-0.0018051650	0.0000000000	-0.0007344926	339.0299977323	0.0000000000	0.0000000000	0.3915435992	8.1131395559	-1.9446529730	mm
GUZ(JB)S2-R1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0235031678	-0.0309796065	4.1775405100	0.0031285863	0.0009037296	0.0000000000	0.0012745394	-0.0001736662	0.0000000000	-0.0002647544	-334.4699593761	0.0000000000	0.0000000000	0.0083814765	-7.2322939457	2.5082560881	mm
GUZ(JB)S2-R1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1544110196	-0.0012067398	4.1668753266	0.0041896183	0.0002713370	0.0000000000	0.0016493909	-0.0000481832	0.0000000000	0.0013489428	334.4699593761	0.0000000000	0.0000000000	-0.0083814765	7.0876946090	0.0425540715	mm
PHSZS1-R3	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0067392151	-0.0229221136	4.1811890608	0.0046190977	-0.0003313903	0.0000000000	0.0001890502	-0.0008604666	0.0000000000	-0.0014035493	-339.0299977323	0.0000000000	0.0000000000	-0.3915435992	-6.2202698809	-2.3406132533	mm
PHSZS1-R3	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0764403320	-0.1151607059	4.1810506155	0.0039688714	0.0001097156	0.0000000000	0.0005059840	-0.0018051650	0.0000000000	-0.0007344926	339.0299977323	0.0000000000	0.0000000000	0.3915435992	8.1131395559	-1.9446529730	mm
FISZS1-R3	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
FISZS1-R3	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
BISZS2-R1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0022728362	0.0137172538	4.1731873097	0.0050593758	-0.0001368920	0.0000000000	0.0000716741	0.0000113314	0.0000000000	-0.0013506590	-336.2704528621	0.0000000000	0.0000000000	0.2863677957	-7.3914121164	1.9109815228	mm
BISZS2-R1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0583799880	0.0430544005	4.1726435742	0.0033407004	0.0001249565	0.0000000000	0.0007860689	0.0007878291	0.0000000000	-0.0008755567	336.2704528621	0.0000000000	0.0000000000	-0.2863677957	8.2028624481	2.4701706183	mm
