OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
JV_034	0	0	1318.43861	945.93284	819.33054	890.44776
JV_034	0	1	1551.32424	1072.94776	915.27807	1044.73881
JV_034	1	0	1212.84365	985.29851	739.39140	959.10448
JV_034	2	0	1436.47429	991.34328	1025.47744	949.02985
JV_034	3	0	777.96222	1006.45522	777.72298	961.62313
JV_034	3	1	934.60441	1058.33955	912.20357	1023.07836
JV_034	4	0	1237.01994	945.00000	497.62854	900.67164
JV_034	5	0	389.40818	925.02239	542.67366	868.42537
JV_034	5	1	465.96642	910.24627	606.13641	852.97761
JV_034	6	0	1344.48478	626.14179	502.22036	570.62687
JV_034	6	1	1503.98111	682.89552	654.32949	626.37313
JV_034	7	0	1089.70934	750.67164	161.03568	688.41791
JV_034	7	1	1178.01994	632.12687	168.42288	570.54478
JV_034	8	0	974.17314	922.50000	507.30325	870.26866
JV_034	8	1	1081.28751	862.38806	611.05981	811.16418
JV_034	9	0	1207.41343	868.80597	446.14586	819.52985
JV_034	9	1	1365.18258	1041.04478	509.63379	985.22388
JV_034	10	0	1082.37146	707.67164	783.78069	666.79851
JV_034	10	1	1166.98846	629.42537	847.91501	586.20149
JV_034	11	0	1430.93075	737.67164	1146.78384	702.00746
JV_034	11	1	1583.03987	748.75373	1304.60126	715.44030
JV_034	12	0	1458.80063	839.37313	1279.92340	811.48507
JV_034	12	1	1537.70934	818.55224	1352.78804	792.67910
JV_034	13	0	1392.38405	913.03731	1143.38195	887.69403
JV_034	13	1	1519.98111	967.77612	1276.35152	950.15672
JV_034	14	0	1339.76915	866.41791	916.68416	822.08955
JV_034	15	0	1839.41238	703.20896	1384.09234	662.91045
JV_034	16	0	1378.40084	672.10448	974.30115	629.59701
JV_034	16	1	1528.15950	648.26119	1125.73872	603.06716
JV_034	17	0	1387.94753	778.13433	1047.43022	740.26119
JV_034	17	1	1446.37356	696.19403	1103.50577	655.63433
JV_034	18	0	1482.78594	823.26866	936.82791	779.65672
JV_034	18	1	1695.61385	908.88806	1099.01049	874.69403
JV_034	19	0	1576.52886	758.55224	1192.19832	723.33582
JV_034	19	1	1734.34627	740.41791	1356.05981	702.85075
JV_034	20	0	1111.49423	982.95522	1021.40399	950.19403
JV_034	20	1	1203.83421	1013.85075	1110.38615	992.50746
JV_034	21	0	1658.61910	918.20896	1846.46380	909.82836
JV_034	21	1	1717.04512	864.81343	1916.97796	865.83582
JV_034	22	0	1762.85414	923.54478	1675.69780	918.61194
JV_034	22	1	1866.61070	946.04478	1775.08919	944.80597
JV_034	23	0	1775.27807	749.61194	1804.82686	728.12687
