OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
PHSZS1-R3	1	PHSZS1-R3_L25.avi	19169	PHSZS1-R3_R26.avi	18703	10.6601	P1	6.56601	283.49741	3.48242	3.19322	2309.7666	19.78475	12.35858	0.25756	-746.90642	-231.05117	-2173.42308	Labridae	Notolabrus	parilus	37384022	1	M	Passing			
PHSZS1-R3	2	PHSZS1-R3_L25.avi	19182	PHSZS1-R3_R26.avi	18716	10.66733	P1	6.57324	321.18985	5.40485	2.34207	2261.34741	16.198	35.78937	2.18115	-576.98866	-254.98624	-2171.57966	Labridae	Notolabrus	parilus	37384022	1	M	Passing			
PHSZS1-R3	3	PHSZS1-R3_L25.avi	27813	PHSZS1-R3_R26.avi	27347	15.46713	P1	11.37304	177.1685	4.78338	4.63592	2343.3766	12.4904	29.47704	19.8263	-446.77573	-239.27862	-2287.91413	Labridae	Thalassoma	septemfasciatum	37384171	1	F	Passing			
PHSZS1-R3	4	PHSZS1-R3_L25.avi	27818	PHSZS1-R3_R26.avi	27352	15.46991	P1	11.37582	158.13105	3.25882	1.0559	1930.98783	12.78035	26.89939	5.2054	-361.55844	-227.4701	-1883.14812	Labridae	Thalassoma	septemfasciatum	37384171	1	F	Passing			
PHSZS1-R3	5	PHSZS1-R3_L25.avi	28916	PHSZS1-R3_R26.avi	28450	16.08052	P1	11.98643	345.69433	6.74817	1.70861	2377.44117	9.63904	41.90497	9.15625	-304.29781	-256.65271	-2343.87687	Haemulidae	Plectorhinchus	flavomaculatus	37350007	1	AD	Passing			
PHSZS1-R3	10	PHSZS1-R3_L25.avi	44611	PHSZS1-R3_R26.avi	44145	24.8087	P1	20.7146	142.40401	2.50829	3.35029	1811.17534	16.65871	23.30206	21.28	494.68491	-157.68958	-1735.15905	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	11	PHSZS1-R3_L25.avi	44611	PHSZS1-R3_R26.avi	44145	24.8087	P1	20.7146	139.03856	1.10585	3.40834	1428.81584	8.34253	16.22216	52.8418	150.22391	-142.86118	-1413.69663	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	12	PHSZS1-R3_L25.avi	44638	PHSZS1-R3_R26.avi	44172	24.82371	P1	20.72962	292.96848	4.15138	5.00327	2313.58463	6.25546	24.03854	7.2002	-180.26379	-176.2249	-2299.80947	Labridae	Coris	auricularis	37384088	1	M	Passing			
PHSZS1-R3	13	PHSZS1-R3_L25.avi	44642	PHSZS1-R3_R26.avi	44176	24.82594	P1	20.73184	204.73744	4.66829	3.2979	1953.23028	13.28879	51.10611	25.94073	433.07445	-118.40221	-1900.93029	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	19	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	99.33642	2.70922	3.59978	2017.60751	11.33512	18.63953	12.29145	370.07137	-142.48858	-1978.25283	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	15	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	93.05501	2.19504	2.2072	1849.39143	18.0813	13.56123	10.93251	543.70787	-183.96861	-1758.06313	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	18	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	155.91205	4.19325	2.81615	1784.00468	25.15068	66.06863	18.91116	-742.18526	-155.02278	-1614.86893	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	17	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	175.99444	2.99358	2.68794	1699.60817	10.34912	33.97391	8.89901	297.51876	-68.61025	-1671.95788	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	16	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	103.55171	3.2605	2.87218	1642.25434	13.12524	44.64761	15.82845	334.60237	-164.66128	-1599.35213	Labridae	Coris	auricularis	37384088	1	F	Passing			
PHSZS1-R3	14	PHSZS1-R3_L25.avi	44781	PHSZS1-R3_R26.avi	44315	24.90324	P1	20.80914	107.8343	2.6199	2.95449	1614.6688	24.08118	36.4598	12.96157	635.40564	-174.13295	-1474.14136	Labridae	Coris	auricularis	37384088	1	F	Passing			
