Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Observer.length,Successful.count,Successful.length,DBCA_Zone,DBCA_Sanctuary
BISZS1-R1,-30.33213515,115.0039284,20150522,8:57:00,Jurien Bay,No Take,Boullanger Island,1.9,Meg,Unknown,Yes,No,Sanctuary,Boullanger Island
BISZS1-R2,-30.3354833,115.0036499,20150522,9:04:00,Jurien Bay,No Take,Boullanger Island,1.3,Lauren,Unknown,Yes,Yes,Sanctuary,Boullanger Island
BISZS1-R3,-30.33885383,115.0043708,20150522,9:07:00,Jurien Bay,No Take,Boullanger Island,2.2,Meg,Unknown,Yes,No,Sanctuary,Boullanger Island
BISZS1-R4,-30.34193225,115.0017653,20150522,11:17:00,Jurien Bay,No Take,Boullanger Island,2,Lauren,Unknown,Yes,No,Sanctuary,Boullanger Island
BISZS2-R1,-30.34538333,115.0375167,20150524,9:17:00,Jurien Bay,No Take,Boullanger Island,4.9,Meg,Unknown,Yes,Yes,Sanctuary,Boullanger Island
BISZS2-R2,-30.34880919,115.0409405,20150524,9:21:00,Jurien Bay,No Take,Boullanger Island,2.8,Lauren,Unknown,Yes,No,Sanctuary,Boullanger Island
BISZS2-R3,-30.3446101,115.0391656,20150524,9:26:00,Jurien Bay,No Take,Boullanger Island,0.7,Lauren,Unknown,Yes,Yes,Sanctuary,Boullanger Island
BISZS2-R4,-30.34288938,115.0385095,20150524,9:33:00,Jurien Bay,No Take,Boullanger Island,3.6,Lauren,Unknown,Yes,No,Sanctuary,Boullanger Island
FISPZS1-R1,-30.1516166,114.947333,20150523,12:39:00,Jurien Bay,No Take,Fisherman Islands,4.4,Jeff,Unknown,Yes,No,SP Scientific Reference,Fisherman Islands
FISPZS1-R2,-30.1523997,114.950589,20150523,12:42:00,Jurien Bay,No Take,Fisherman Islands,4.9,Meg,Unknown,Yes,No,SP Scientific Reference,Fisherman Islands
FISPZS1-R3,-30.1547,114.953583,20150523,14:13:00,Jurien Bay,No Take,Fisherman Islands,0.6,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS1-R4,-30.1535123,114.956144,20150523,13:01:00,Jurien Bay,No Take,Fisherman Islands,2.5,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS2-R1,-30.1722666,114.945533,20150523,11:40:00,Jurien Bay,No Take,Fisherman Islands,3.6,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS2-R2,-30.1722805,114.94987,20150523,11:43:00,Jurien Bay,No Take,Fisherman Islands,3.9,Jeff,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS2-R3,-30.1699996,114.951814,20150523,11:45:00,Jurien Bay,No Take,Fisherman Islands,4.1,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS2-R4,-30.17125,114.9555,20150523,11:48:00,Jurien Bay,No Take,Fisherman Islands,2.8,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS3-R1,-30.1540837,114.967175,20150523,1:45:00,Jurien Bay,No Take,Fisherman Islands,4.07,Laura,Unknown,Yes,No,SP Scientific Reference,Fisherman Islands
FISPZS3-R2,-30.1567833,114.96685,20150523,1:50:00,Jurien Bay,No Take,Fisherman Islands,4,Lauren,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS3-R3-R,-30.1593666,114.970683,20150523,1:57:00,Jurien Bay,No Take,Fisherman Islands,7.1,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS3-R4,-30.1566479,114.972255,20150523,2:00:00,Jurien Bay,No Take,Fisherman Islands,5.2,Lizzy,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS4-R1,-30.1595,114.994383,20150523,2:08:00,Jurien Bay,No Take,Fisherman Islands,7,Laura,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS4-R2,-30.1568666,114.9955,20150523,2:13:00,Jurien Bay,No Take,Fisherman Islands,4.1,Meg,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS4-R3,-30.1541232,114.994957,20150523,2:20:00,Jurien Bay,No Take,Fisherman Islands,3.5,Lauren,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISPZS4-R4,-30.1516693,114.994039,20150523,2:25:00,Jurien Bay,No Take,Fisherman Islands,4.1,Lizzy,Unknown,Yes,Yes,SP Scientific Reference,Fisherman Islands
FISZS1-R1,-30.13401663,114.9489166,20150523,11:50:00,Jurien Bay,No Take,Fisherman Islands,7.5,Jeff,Unknown,Yes,No,Sanctuary,Fisherman Islands
