OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
JV_034	0	0	0.00000	0	JV-034_L9.avi	114630	29.97000
JV_034	1	0	0.00000	0	JV-034_R10.avi	115215	29.97000
FISPZS1-R4	0	0	0.00000	0	FISPZS1-R4_L9_REPEAT.avi	128685	29.97000
FISPZS1-R4	1	0	0.00000	0	FISPZS1-R4_R10_REPEAT.avi	128250	29.97000
FISPZS1-R3	0	0	0.00000	0	FISPZS1-R3_L25.avi	120300	29.97000
FISPZS1-R3	1	0	0.00000	0	FISPZS1-R3_R26.avi	121185	29.97000
GUZ(JB)S2-R1	0	0	0.00000	0	GUZ(JB)S2-R1_L21.avi	183165	29.97000
GUZ(JB)S2-R1	1	0	0.00000	0	GUZ(JB)S2-R1_R22.avi	110250	29.97000
PHSZS1-R3	0	0	0.00000	0	PHSZS1-R3_L25.avi	131625	29.97000
PHSZS1-R3	1	0	0.00000	0	PHSZS1-R3_R26.avi	131400	29.97000
FISZS1-R3	0	0	0.00000	0	FISZS1-R3_R6.avi	115530	29.97000
BISZS2-R1	0	0	0.00000	0	BISZS2-R1_L3.avi	119685	29.97000
BISZS2-R1	1	0	0.00000	0	BISZS2-R1_R4.avi	117600	29.97000
GUZ(JB)S1-R1	0	0	0.00000	0	GUZ(JB)S1-R1_L13.avi	128385	29.97000
GUZ(JB)S1-R1	1	0	0.00000	0	GUZ(JB)S1-R1_R14.avi	127335	29.97000
BISZS1-R3	0	0	0.00000	0	BISZS1-R3_L5.avi	136320	29.97000
GUZ(SC)S1-R2	0	0	0.00000	0	GUZ(SC)S1-R2_L15.avi	144225	29.97000
GUZ(SC)S1-R2	1	0	0.00000	0	GUZ(SC)S1-R2_R16.avi	144586	29.97000
GUZ(GH)S2-R2	0	0	0.00000	0	GUZ(GH)S2-R2_L23.avi	117315	29.97000
GUZ(GH)S2-R2	1	0	0.00000	0	GUZ(GH)S2-R2_R24.avi	116625	29.97000
JC22_JROR22	0	0	0.00000	0	JC22_JROR22_L3.avi	136890	29.97000
JC22_JROR22	1	0	0.00000	0	JC22_JROR22_R4.avi	133276	29.97000
JC21_JOOR21	0	0	0.00000	0	JC21_JOOR21_L11.avi	129180	29.97000
JC21_JOOR21	1	0	0.00000	0	JC21_JOOR21_R12.avi	177255	29.97000
GUZ(ER)S2-R3	0	0	0.00000	0	GUZ(ER)S2-R3_L13.avi	118725	29.97000
GUZ(ER)S2-R3	1	0	0.00000	0	GUZ(ER)S2-R3_R14.avi	118095	29.97000
GUZ(GH)S2-R4	0	0	0.00000	0	GUZ(GH)S2-R4_L15.avi	118470	29.97000
GUZ(GH)S2-R4	1	0	0.00000	0	GUZ(GH)S2-R4_R16.avi	118000	29.97000
NHSZS1-R3	0	0	0.00000	0	NHSZS1-R3_L25.avi	123540	29.97000
NHSZS1-R3	1	0	0.00000	0	NHSZS1-R3_R26.avi	123285	29.97000
GUZ(GH)S1-R1	0	0	0.00000	0	GUZ(GH)S1-R1_L21.avi	120645	29.97000
GUZ(GH)S1-R1	1	0	0.00000	0	GUZ(GH)S1-R1_R22.avi	120195	29.97000
HRSPZS4-R2	0	0	0.00000	0	HRSPZS4-R2_L5.avi	136710	29.97000
HRSPZS4-R2	1	0	0.00000	0	HRSPZS4-R2_R6.avi	136680	29.97000
FISPZS2-R1	0	0	0.00000	0	FISPZS2-R1_L23.avi	119425	29.97000
FISPZS2-R1	1	0	0.00000	0	FISPZS2-R1_R24.avi	119910	29.97000
HRSPZS2-R1	0	0	0.00000	0	HRSPZS2-R1_L3.avi	160455	29.97000
HRSPZS2-R1	1	0	0.00000	0	HRSPZS2-R1_R4.avi	160770	29.97000
GUZ(C)S2-R4	0	0	0.00000	0	GUZ(C)S2-R4_L3.avi	119685	29.97000
GUZ(C)S2-R4	1	0	0.00000	0	GUZ(C)S2-R4_R4.avi	120570	29.97000
NHSZS2-R3	0	0	0.00000	0	NHSZS2-R3_L21.avi	117465	29.97000
NHSZS2-R3	1	0	0.00000	0	NHSZS2-R3_L22.avi	117345	29.97000
GUZ(C)S1-R1	0	0	0.00000	0	GUZ(C)S1-R1_L11.avi	129810	29.97000
GUZ(C)S1-R1	1	0	0.00000	0	GUZ(C)S1-R1_R12.avi	126870	29.97000
GUZ(GH)S2-R1	0	0	0.00000	0	GUZ(GH)S2-R1_L13.avi	120420	29.97000
GUZ(GH)S2-R1	1	0	0.00000	0	GUZ(GH)S2-R1_R14.avi	119745	29.97000
NHSZS2-R2	0	0	0.00000	0	NHSZS2-R2_L13.avi	117655	29.97000
NHSZS2-R2	1	0	0.00000	0	NHSZS2-R2_R14.avi	117405	29.97000
GUZ(GH)S3-R1	0	0	0.00000	0	GUZ(GH)S3-R1_L3.avi	134115	29.97000
GUZ(GH)S3-R1	1	0	0.00000	0	GUZ(GH)S3-R1_R4.avi	134185	29.97000
FISZS2-R2	0	0	0.00000	0	FISZS2-R2_L13.avi	126855	29.97000
FISZS2-R2	1	0	0.00000	0	FISZS2-R2_R14.avi	127095	29.97000
FISPZS4-R4	0	0	0.00000	0	FISPZS4-R4_L11.avi	167940	29.97000
FISPZS4-R4	1	0	0.00000	0	FISPZS4-R4_R12.avi	168015	29.97000
FISZS2-R4	0	0	0.00000	0	FISZS2-R4_L25.avi	124980	29.97000
GUZ(GH)S3-R3	0	0	0.00000	0	GUZ(GH)S3-R3_L1.avi	128430	29.97000
HRSPZS4-R1	0	0	0.00000	0	HRSPZS4-R1_L21.avi	148185	29.97000
HRSPZS4-R1	1	0	0.00000	0	HRSPZS4-R1_R22.avi	147570	29.97000
GUZ(GH)S3-R2	0	0	0.00000	0	GUZ(GH)S3-R2_L25.avi	131085	29.97000
GUZ(GH)S3-R2	1	0	0.00000	0	GUZ(GH)S3-R2_R26.avi	131310	29.97000
HRSPZS4-R3	0	0	0.00000	0	HRSPZS4-R3_L9.avi	136005	29.97000
HRSPZS4-R3	1	0	0.00000	0	HRSPZS4-R3_R10.avi	136515	29.97000
HRSPZS1-R1	0	0	0.00000	0	HRSPZS1R1_L13.avi	175230	29.97000
HRSPZS1-R1	1	0	0.00000	0	HRSPZS1-R1_R14.avi	177300	29.97000
FISPZS1-R2	0	0	0.00000	0	FISPZS1-R2_L1.avi	122230	29.97000
FISZS1-R1	0	0	0.00000	0	FISZS1-R1_L11.avi	123240	29.97000
NHSZS2-R1	0	0	0.00000	0	NHSZS2-R1_L5.avi	127875	29.97000
NHSZS2-R1	1	0	0.00000	0	NHSZS2-R1_R6.avi	128055	29.97000
GUZ(GH)S1-R2	0	0	0.00000	0	GUZ(GH)S1-R2_L1.avi	123750	29.97000
GUZ(GH)S3-R4	0	0	0.00000	0	GUZ(GH)S3-R4_L13.avi	126855	29.97000
GUZ(GH)S3-R4	1	0	0.00000	0	GUZ(GH)S3-R4_R14.avi	127905	29.97000
JV_046	0	0	0.00000	0	JV_046_L11.avi	118500	29.97000
JV_046	1	0	0.00000	0	JV_046_R12.avi	117750	29.97000
HRSPZS2-R3	0	0	0.00000	0	HRSPZS2-R3_L5.avi	128670	29.97000
HRSPZS2-R3	1	0	0.00000	0	HRSPZS2-R3_R6.avi	110640	29.97000
GUZ(ER)S1-R2	0	0	0.00000	0	GUZ(ER)S1-R2_L3.avi	159460	29.97000
GUZ(ER)S1-R2	1	0	0.00000	0	GUZ(ER)S1-R2_R4.avi	160305	29.97000
GUZ(JB)S1-R2	0	0	0.00000	0	GUZ(JB)S1-R2_L5.avi	121675	29.97000
GUZ(JB)S1-R2	1	0	0.00000	0	GUZ(JB)S1-R2_R6.avi	121290	29.97000
PHSZS1-R1	0	0	0.00000	0	PHSZS1-R1_R22.avi	133290	29.97000
GUZ(SC)S2-R2	0	0	0.00000	0	GUZ(SC)S2-R2_L3.avi	118410	29.97000
GUZ(SC)S2-R2	1	0	0.00000	0	GUZ(SC)S2-R2_R4.avi	118995	29.97000
FISPZS1-R1	0	0	0.00000	0	FISPZS1-R1_L11.avi	122175	29.97000
GUZ(SC)S2-R1	0	0	0.00000	0	GUZ(SC)S2-R1_L25.avi	101100	29.97000
GUZ(SC)S2-R1	1	0	0.00000	0	GUZ(SC)S2-R1_R26.avi	121920	29.97000
FISPZS3-R4	0	0	0.00000	0	FISPZS3-R4_L9.avi	119430	29.97000
FISPZS3-R4	1	0	0.00000	0	FISPZS3-R4_R10.avi	119175	29.97000
FISPZS2-R4	0	0	0.00000	0	FISPZS2-R4_L13.avi	116280	29.97000
FISPZS2-R4	1	0	0.00000	0	FISPZS2-R4_R14.avi	116070	29.97000
FISZS2-R1	0	0	0.00000	0	FISZS2-R1_L21.avi	127935	29.97000
FISZS2-R1	1	0	0.00000	0	FISZS2-R1_R22.avi	127830	29.97000
FISPZS4-R2	0	0	0.00000	0	FISPZS4-R2_L5.avi	164485	29.97000
FISPZS4-R2	1	0	0.00000	0	FISPZS4-R2_R6.avi	163740	29.97000
JV_032	0	0	0.00000	0	JV_032_L9.avi	174960	29.97000
JV_032	1	0	0.00000	0	JV_032_R10.avi	174615	29.97000
GUZ(C)S2-R1	0	0	0.00000	0	GUZ(C)S2-R1_L21.avi	122460	29.97000
GUZ(JB)S1-R3	0	0	0.00000	0	GUZ(JB)S1-R3_R24.avi	125940	29.97000
FISZS1-R2	0	0	0.00000	0	FISZS1-R2_L23.avi	118680	29.97000
FISPZS3-R2	0	0	0.00000	0	FISPZS3-R2_L25.avi	141595	29.97000
FISPZS3-R2	1	0	0.00000	0	FISPZS3-R2_R26.avi	141610	29.97000
HRSPZS4-R4	0	0	0.00000	0	HRSPZS4-R4_L23.avi	132960	29.97000
BISZS1-R1	0	0	0.00000	0	BISZS1-R1_L13.avi	144195	29.97000
GUZ(SC)S1-R4	0	0	0.00000	0	GUZ(SC)S1-R4_L23.avi	140640	29.97000
GUZ(SC)S1-R4	1	0	0.00000	0	GUZ(SC)S1-R4_R24.avi	140325	29.97000
FISPZS3-R3-R	0	0	0.00000	0	FISPZS3-R3_L9_REPEAT.avi	130530	29.97000
FISPZS3-R3-R	1	0	0.00000	0	FISPZS3-R3_R10_REPEAT.avi	130950	29.97000
JC4_GOOR4	0	0	0.00000	0	JC4_GOOR4_L21.avi	131655	29.97000
JC4_GOOR4	1	0	0.00000	0	JC4_GOOR4_R22.avi	131445	29.97000
GUZ(C)S2-R3	0	0	0.00000	0	GUZ(C)S2-R3_L15.avi	118156	29.97000
GUZ(C)S2-R3	1	0	0.00000	0	GUZ(C)S2-R3_R16.avi	119670	29.97000
HRSPZS2-R2	0	0	0.00000	0	HRSPZS2-R2_L21.avi	147900	29.97000
HRSPZS2-R2	1	0	0.00000	0	HRSPZS2-R2_R22.avi	148785	29.97000
GUZ(C)S1-R2	0	0	0.00000	0	GUZ(C)S1-R2_L23.avi	125145	29.97000
GUZ(C)S1-R2	1	0	0.00000	0	GUZ(C)S1-R2_R24.avi	123840	29.97000
BISZS1-R2	0	0	0.00000	0	BISZS1-R2_L21.avi	146100	29.97000
BISZS1-R2	1	0	0.00000	0	BISZS1-R2-R22.avi	146280	29.97000
GUZ(SC)S2-R3	0	0	0.00000	0	GUZ(SC)S2-R3_L13.avi	117090	29.97000
GUZ(SC)S2-R3	1	0	0.00000	0	GUZ(SC)S2-R3_R14.avi	116700	29.97000
GUZ(SC)S2-R4	0	0	0.00000	0	GUZ(SC)S2-R4_L21.avi	115110	29.97000
GUZ(SC)S2-R4	1	0	0.00000	0	GUZ(SC)S2-R4_R22.avi	114735	29.97000
