OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
JV_034	0	P1	JV-034_L9.avi	1769	0.98376	JV-034_L9.avi	109661	60.98376	1
FISPZS1-R4	0	P1	FISPZS1-R4_L9_REPEAT.avi	2488	1.38361	FISPZS1-R4_L9_REPEAT.avi	110380	61.38361	1
FISPZS1-R3	0	P1	FISPZS1-R3_L25.avi	2446	1.36025	FISPZS1-R3_L25.avi	110338	61.36025	1
GUZ(JB)S2-R1	0	P1	GUZ(JB)S2-R1_L21.avi	4100	2.28006	GUZ(JB)S2-R1_L21.avi	111992	62.28006	1
PHSZS1-R3	0	P1	PHSZS1-R3_L25.avi	7362	4.09409	PHSZS1-R3_L25.avi	115628	64.30208	1
FISZS1-R3	0	P1	FISZS1-R3_R6.avi	3172	1.76399	FISZS1-R3_R6.avi	111064	61.76399	1
BISZS2-R1	0	P1	BISZS2-R1_L3.avi	4329	2.40741	BISZS2-R1_L3.avi	112221	62.40741	1
GUZ(JB)S1-R1	0	P1	GUZ(JB)S1-R1_L13.avi	11325	6.29796	GUZ(JB)S1-R1_L13.avi	119217	66.29796	1
BISZS1-R3	0	P1	BISZS1-R3_L5.avi	3536	1.96641	BISZS1-R3_L5.avi	111428	61.96641	1
GUZ(SC)S1-R2	0	P1	GUZ(SC)S1-R2_L15.avi	1245	0.69236	GUZ(SC)S1-R2_L15.avi	109137	60.69236	1
GUZ(GH)S2-R2	0	P1	GUZ(GH)S2-R2_L23.avi	3684	2.04872				0
JC22_JROR22	0	P1	JC22_JROR22_L3.avi	6510	3.62029	JC22_JROR22_L3.avi	114402	63.62029	1
JC21_JOOR21	0	P1	JC21_JOOR21_L11.avi	5349	2.97464	JC21_JOOR21_L11.avi	113241	62.97464	1
GUZ(ER)S2-R3	0	P1	GUZ(ER)S2-R3_L13.avi	4443	2.47080				0
GUZ(GH)S2-R4	0	P1	GUZ(GH)S2-R4_L15.avi	2890	1.60716	GUZ(GH)S2-R4_L15.avi	110782	61.60716	1
NHSZS1-R3	0	P1	NHSZS1-R3_L25.avi	2523	1.40307	NHSZS1-R3_L25.avi	110547	61.47648	1
GUZ(GH)S1-R1	0	P1	GUZ(GH)S1-R1_L21.avi	2806	1.56045	GUZ(GH)S1-R1_L21.avi	110698	61.56045	1
