OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
JV_034	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	JV_034.EMObs
FISPZS1-R4	1.07	2017 05 12 13:11:51	F:\	FISPZS1-R4.EMObs
FISPZS1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	FISPZS1-R3.EMObs
GUZ(JB)S2-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(JB)S2-R1.EMObs
PHSZS1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\Sanctuary Zones\	PHSZS1-R3.EMObs
FISZS1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	FISZS1-R3.EMObs
BISZS2-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\f\Sanctuary Zones\	BISZS2-R1.EMObs
GUZ(JB)S1-R1	1.07	2017 05 12 13:11:51	G:\	GUZ(JB)S1-R1.EMObs
BISZS1-R3	1.07	2017 05 12 13:11:51	F:\Sanctuary Zones\	BISZS1-R3.EMObs
GUZ(SC)S1-R2	1.07	2017 05 12 13:11:51	G:\	GUZ(SC)S1-R2.EMObs
GUZ(GH)S2-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(GH)S2-R2.EMObs
JC22_JROR22	1.07	2017 05 12 13:11:51	G:\	JC22_JROR22.EMObs
JC21_JOOR21	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	JC21_JOOR21.EMObs
GUZ(ER)S2-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(ER)S2-R3.EMObs
GUZ(GH)S2-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\F\	GUZ(GH)S2-R4.EMObs
NHSZS1-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	NHSZS1-R3.EMObs
GUZ(GH)S1-R1	1.07	2017 05 12 13:11:51	G:\	GUZ(GH)S1-R1.EMObs
HRSPZS4-R2	1.07	2017 05 12 13:11:51	G:\	HRSPZS4-R2.EMObs
FISPZS2-R1	1.07	2017 05 12 13:11:51	M:\	FISPZS2-R1.EMObs
HRSPZS2-R1	1.07	2017 05 12 13:11:51	G:\	HRSPZS2-R1.EMObs
GUZ(C)S2-R4	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(C)S2-R4.EMObs
NHSZS2-R3	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	NHSZS2-R3.EMObs
GUZ(C)S1-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(C)S1-R1.EMObs
GUZ(GH)S2-R1	1.07	2017 05 12 13:11:51	\\C-fish-002\f\	GUZ(GH)S2-R1.EMObs
NHSZS2-R2	1.07	2017 05 12 13:11:51	\\C-fish-002\F\Sanctuary Zones\	NHSZS2-R2.EMObs
