Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Successful.count,Successful.length,Observer,Observer.length,DBCA_Zone,DBCA_Sanctuary
BD01-1,-30.3561,114.9626,20210507,7:42:54,Jurien Bay,Fished,NA,32.8,Yes,Yes,Ethan,Damon Driessen,General Use,NA
BD01-2,-30.358,114.9651,20210507,7:48:14,Jurien Bay,Fished,NA,32.5,Yes,Yes,Ethan,Damon Driessen,General Use,NA
BD01-3,-30.3597,114.9643,20210507,7:54:09,Jurien Bay,Fished,NA,33.6,Yes,Yes,Ethan,Damon Driessen,General Use,NA
BD01-4,-30.3563,114.9698,20210507,8:01:44,Jurien Bay,Fished,NA,29.8,Yes,Yes,Ethan,Damon Driessen,General Use,NA
BD02-1,-30.3522,114.9365,20210507,8:13:25,Jurien Bay,Fished,NA,35.3,Yes,Yes,Damon Driessen,Damon Driessen,General Use,NA
BD02-2,-30.3531,114.9343,20210507,8:18:10,Jurien Bay,Fished,NA,35.8,No,No,Damon Driessen,NA,General Use,NA
BD02-3,-30.3509,114.934,20210507,8:22:10,Jurien Bay,Fished,NA,34.8,Yes,Yes,Damon Driessen,Damon Driessen,General Use,NA
BD02-4,-30.3526,114.939,20210507,8:27:29,Jurien Bay,Fished,NA,34.2,Yes,Yes,Damon Driessen,Damon Driessen,General Use,NA
BD03-1,-30.2572,114.9387,20210507,10:00:03,Jurien Bay,Fished,NA,34,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD03-2,-30.2595,114.9323,20210507,10:05:23,Jurien Bay,Fished,NA,35.2,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD03-3,-30.2536,114.9261,20210507,10:09:21,Jurien Bay,Fished,NA,34.7,Yes,No,Chris Douglas,NA,General Use,NA
BD03-4,-30.2503,114.9332,20210507,10:12:44,Jurien Bay,Fished,NA,34.1,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD04-1,-30.2342,114.934,20210507,10:19:01,Jurien Bay,Fished,NA,34.3,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD04-2,-30.2358,114.9331,20210507,10:22:34,Jurien Bay,Fished,NA,33.7,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD04-3,-30.2399,114.9337,20210507,10:26:07,Jurien Bay,Fished,NA,33.6,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BD04-4,-30.2406,114.9424,20210507,10:30:18,Jurien Bay,Fished,NA,33.7,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BISZS1-1,-30.333,115.0039,20210501,10:38:10,Jurien Bay,No-take,NA,3.4,Yes,Yes,Brae,Mike Taylor,Sanctuary,Boullanger Island
BISZS1-2,-30.3354,115.004,20210501,10:42:10,Jurien Bay,No-take,NA,2.2,Yes,Yes,Katrina Bornt,Mike Taylor,Sanctuary,Boullanger Island
BISZS1-3,-30.3383,115.0036,20210501,10:45:27,Jurien Bay,No-take,NA,3.5,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Boullanger Island
BISZS1-4,-30.3422,115.002,20210501,10:49:51,Jurien Bay,No-take,NA,3.5,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Boullanger Island
BISZ2-1,-30.346,115.0376,20210429,14:01:37,Jurien Bay,No-take,NA,5,Yes,Yes,Ethan,Chris Douglas,Sanctuary,Boullanger Island
BIZS2-2,-30.3448,115.0393,20210429,14:06:45,Jurien Bay,No-take,NA,2.7,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Boullanger Island
BIZS2-3,-30.3429,115.0386,20210429,14:10:23,Jurien Bay,No-take,NA,3.8,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Boullanger Island
BIZS2-4,-30.3489,115.0408,20210429,14:15:26,Jurien Bay,No-take,NA,1.8,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Boullanger Island
BS03-1,-30.1717,114.9417,20210506,13:44:28,Jurien Bay,Fished,NA,20.2,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS03-2,-30.1702,114.9411,20210506,13:47:07,Jurien Bay,Fished,NA,21.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS03-3,-30.1672,114.9396,20210506,13:49:48,Jurien Bay,Fished,NA,19.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS03-4,-30.1647,114.9386,20210506,13:52:23,Jurien Bay,Fished,NA,22,Yes,No,Chris Douglas,NA,General Use,NA
BS04-1,-30.2115,114.9583,20210506,13:25:58,Jurien Bay,Fished,NA,20.2,Yes,Yes,Ethan,Damon Driessen,General Use,NA
BS04-2,-30.209,114.9567,20210506,13:28:32,Jurien Bay,Fished,NA,20.4,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS04-3,-30.206,114.9546,20210506,13:31:26,Jurien Bay,Fished,NA,22.9,Yes,Yes,Chris Douglas,Daisy Church,General Use,NA
BS04-4,-30.2035,114.9541,20210506,13:34:13,Jurien Bay,Fished,NA,19.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS05-1,-30.2744,114.9624,20210506,11:50:42,Jurien Bay,Fished,NA,17.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS05-2,-30.2715,114.9603,20210506,11:53:44,Jurien Bay,Fished,NA,20,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS05-3,-30.268,114.9599,20210506,11:57:05,Jurien Bay,Fished,NA,18.2,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS05-4,-30.263,114.9589,20210506,12:00:14,Jurien Bay,Fished,NA,17.9,Yes,No,Chris Douglas,NA,General Use,NA
BS06-1,-30.323,114.968,20210506,11:29:28,Jurien Bay,Fished,NA,22,No,No,Chris Douglas,NA,General Use,NA
BS06-2,-30.3196,114.9662,20210506,11:31:54,Jurien Bay,Fished,NA,21.5,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS06-3,-30.3164,114.9647,20210506,11:34:48,Jurien Bay,Fished,NA,23.2,No,No,Chris Douglas,NA,General Use,NA
BS06-4,-30.3142,114.9651,20210506,11:37:30,Jurien Bay,Fished,NA,21.3,Yes,Yes,Damon Driessen,Daisy Church,General Use,NA
BS07-1,-30.395,114.9759,20210506,9:53:22,Jurien Bay,Fished,NA,18.7,Yes,No,Ethan,NA,General Use,NA
BS07-2,-30.3923,114.978,20210506,9:56:21,Jurien Bay,Fished,NA,21.7,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS07-3,-30.3878,114.98,20210506,9:59:15,Jurien Bay,Fished,NA,20.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS07-4,-30.3837,114.98,20210506,10:02:24,Jurien Bay,Fished,NA,20.7,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS08-1,-30.426,114.978,20210506,9:34:43,Jurien Bay,Fished,NA,23,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS08-2,-30.4224,114.9774,20210506,9:38:21,Jurien Bay,Fished,NA,25.5,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS08-3,-30.4182,114.9775,20210506,9:41:32,Jurien Bay,Fished,NA,23,Yes,Yes,Damon Driessen,Daisy Church,General Use,NA
BS08-4,-30.4134,114.9768,20210506,9:46:10,Jurien Bay,Fished,NA,21,Yes,Yes,Chris Douglas,Daisy Church,General Use,NA
BS09-1,-30.4535,114.9827,20210506,8:04:18,Jurien Bay,Fished,NA,28.5,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS09-2,-30.4486,114.9731,20210506,8:09:08,Jurien Bay,Fished,NA,30,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS09-3,-30.4424,114.9747,20210506,8:14:43,Jurien Bay,Fished,NA,29,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS09-4,-30.4435,114.9847,20210506,8:22:06,Jurien Bay,Fished,NA,21.9,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS10-1,-30.4816,114.994,20210506,7:35:03,Jurien Bay,Fished,NA,23,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS10-2,-30.4785,114.9921,20210506,7:39:17,Jurien Bay,Fished,NA,23.5,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS10-3,-30.4754,114.9909,20210506,7:44:21,Jurien Bay,Fished,NA,22.8,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS10-4,-30.4705,114.9891,20210506,7:49:25,Jurien Bay,Fished,NA,22.3,Yes,No,Chris Douglas,NA,General Use,NA
BS1-1,-30.1121,114.9243,20210506,15:10:00,Jurien Bay,Fished,NA,19,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS1-2,-30.1096,114.9224,20210506,15:14:00,Jurien Bay,Fished,NA,22.6,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS1-3,-30.1067,114.9214,20210506,15:16:00,Jurien Bay,Fished,NA,22,Yes,Yes,Chris Douglas,Damon Driessen,General Use,NA
BS1-4,-30.1022,114.9189,20210506,15:18:00,Jurien Bay,Fished,NA,20.4,Yes,Yes,Chris Douglas,Daisy Church,General Use,NA
BS2-1,-30.1323,114.9318,20210506,15:22:00,Jurien Bay,Fished,NA,19.3,Yes,Yes,Damon Driessen,Daisy Church,General Use,NA
BS2-2,-30.1282,114.9306,20210506,15:24:00,Jurien Bay,Fished,NA,18.6,Yes,Yes,Damon Driessen,Daisy Church,General Use,NA
BS2-3,-30.1247,114.9297,20210506,15:28:00,Jurien Bay,Fished,NA,20.2,Yes,No,Chris Douglas,NA,General Use,NA
BS2-4,-30.1216,114.9279,20210506,15:30:00,Jurien Bay,Fished,NA,20.8,Yes,No,Damon Driessen,NA,General Use,NA
FISPZS2-1,-30.1711,114.9558,20210505,10:47:24,Jurien Bay,No-take,NA,6.5,Yes,Yes,Brae,Daisy Church,SP Scientific Reference,Fisherman Islands
FISPZS2-2,-30.1704,114.9529,20210505,10:51:34,Jurien Bay,No-take,NA,5.9,Yes,Yes,Brae,Daisy Church,SP Scientific Reference,Fisherman Islands
FISPZS2-3,-30.1716,114.9513,20210505,10:57:03,Jurien Bay,No-take,NA,6,Yes,Yes,Damon Driessen,Daisy Church,SP Scientific Reference,Fisherman Islands
FISPZS2-4,-30.1688,114.9469,20210505,11:02:32,Jurien Bay,No-take,NA,5.4,Yes,Yes,Brae,Daisy Church,SP Scientific Reference,Fisherman Islands
FISPZS3-1,-30.1596,114.9699,20210505,9:10:59,Jurien Bay,No-take,NA,4.5,Yes,Yes,Brae,Chris Douglas,SP Scientific Reference,Fisherman Islands
FISPZS3-2,-30.1566,114.9718,20210505,9:16:56,Jurien Bay,No-take,NA,4.9,Yes,Yes,Brae,Chris Douglas,SP Scientific Reference,Fisherman Islands
FISPZS3-3,-30.1542,114.9679,20210505,9:22:20,Jurien Bay,No-take,NA,4.8,Yes,Yes,Brae,Chris Douglas,SP Scientific Reference,Fisherman Islands
FISPZS3-4,-30.157,114.9672,20210505,9:26:01,Jurien Bay,No-take,NA,5.9,Yes,Yes,Brae,Chris Douglas,SP Scientific Reference,Fisherman Islands
FISPZS4-1,-30.1595,114.9944,20210428,14:29:00,Jurien Bay,No-take,NA,6.2,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Fisherman Islands
FISPZS4-2,-30.1569,114.9955,20210428,14:32:00,Jurien Bay,No-take,NA,2.2,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Fisherman Islands
FISPZS4-3,-30.1541,114.995,20210428,14:34:00,Jurien Bay,No-take,NA,3.8,Yes,Yes,Ethan,Mike Taylor,SP Scientific Reference,Fisherman Islands
FISPZS4-4,-30.1517,114.994,20210428,14:38:00,Jurien Bay,No-take,NA,3.5,Yes,Yes,Damon Driessen,Mike Taylor,SP Scientific Reference,Fisherman Islands
FISZS1-1,-30.1341,114.949,20210428,12:19:00,Jurien Bay,No-take,NA,4.2,Yes,Yes,Sarah,Mike Taylor,Sanctuary,Fisherman Islands
FISZS1-2,-30.1347,114.9511,20210428,12:23:00,Jurien Bay,No-take,NA,4.6,No,No,NA,NA,Sanctuary,Fisherman Islands
FISZS1-3,-30.1332,114.9525,20210428,12:25:00,Jurien Bay,No-take,NA,5.1,Yes,Yes,Ethan,Mike Taylor,Sanctuary,Fisherman Islands
