"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186684,114.9987335,"20061023","Jurien Bay","Sanctuary","1","2","Kev Crane","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186684,114.9987335,"20061023","Jurien Bay","Sanctuary","1","2","Kev Crane","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186684,114.9987335,"20061023","Jurien Bay","Sanctuary","1","2","Arianna Polacheck","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186684,114.9987335,"20061023","Jurien Bay","Sanctuary","1","2","Arianna Polacheck","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP10-1",-30.26449966,114.9749985,"20061010","Jurien Bay","General Use","10","6","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP10-2",-30.26449966,114.9749985,"20061010","Jurien Bay","General Use","10","6","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP10-3",-30.26449966,114.9749985,"20061010","Jurien Bay","General Use","10","6","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP10-4",-30.26449966,114.9749985,"20061010","Jurien Bay","General Use","10","6","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP11-1",-30.19646645,114.9886017,"20061026","Jurien Bay","General Use","11","4","Kev Crane","North Head",2006,"11:00:00","Fished","Yes","Yes"
"JBMP11-2",-30.19646645,114.9886017,"20061026","Jurien Bay","General Use","11","4","Kev Crane","North Head",2006,"11:00:00","Fished","Yes","Yes"
"JBMP11-3",-30.19646645,114.9886017,"20061026","Jurien Bay","General Use","11","4","Dave Lenel","North Head",2006,"11:00:00","Fished","Yes","Yes"
"JBMP11-4",-30.19646645,114.9886017,"20061026","Jurien Bay","General Use","11","4","Dave Lenel","North Head",2006,"11:00:00","Fished","Yes","Yes"
"JBMP12-1",-30.18136597,114.9929504,"20061010","Jurien Bay","General Use","12","2","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.18136597,114.9929504,"20061010","Jurien Bay","General Use","12","2","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.18136597,114.9929504,"20061010","Jurien Bay","General Use","12","2","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.18136597,114.9929504,"20061010","Jurien Bay","General Use","12","2","Dave Lenel","Fisherman Islands",2006,"11:00:00","Fished","Yes","Yes"
"JBMP13-1",-30.22683334,114.993515,"20061023","Jurien Bay","Sanctuary","13","4","Kev Crane","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP13-2",-30.22683334,114.993515,"20061023","Jurien Bay","Sanctuary","13","4","Kev Crane","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP13-3",-30.22683334,114.993515,"20061023","Jurien Bay","Sanctuary","13","4","Arianna Polacheck","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP13-4",-30.22683334,114.993515,"20061023","Jurien Bay","Sanctuary","13","4","Arianna Polacheck","North Head",2006,"11:00:00","No-take","Yes","Yes"
"JBMP14-1",-30.15686607,114.9954987,"20061025","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP14-2",-30.15686607,114.9954987,"20061025","Jurien Bay","SP Scientific Reference","14","2","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP14-3",-30.15686607,114.9954987,"20061025","Jurien Bay","SP Scientific Reference","14","2","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP14-4",-30.15686607,114.9954987,"20061025","Jurien Bay","SP Scientific Reference","14","2","Graham Edgar","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.15678406,114.9668503,"20061015","Jurien Bay","SP Scientific Reference","15","5","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.15678406,114.9668503,"20061015","Jurien Bay","SP Scientific Reference","15","5","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.15678406,114.9668503,"20061015","Jurien Bay","SP Scientific Reference","15","5","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.15678406,114.9668503,"20061015","Jurien Bay","SP Scientific Reference","15","5","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP16-1",-30.66884995,115.121933,"20061017","Jurien Bay","SP Scientific Reference","16","3","Arianna Polacheck",NA,2006,"11:00:00","No-take","Yes","Yes"
