"Sample","Family","Genus","Species","Count","Length"
"JBMP1-1","Labridae","Coris","auricularis",2,125
"JBMP1-1","Labridae","Halichoeres","brownfieldi",3,75
"JBMP1-1","Labridae","Notolabrus","parilus",2,100
"JBMP1-1","Pomacentridae","Parma","occidentalis",2,100
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1,100
"JBMP1-1","Labridae","Coris","auricularis",10,150
"JBMP1-1","Labridae","Notolabrus","parilus",2,75
"JBMP1-1","Labridae","Notolabrus","parilus",2,200
"JBMP1-1","Pomacentridae","Parma","occidentalis",2,125
"JBMP1-1","Apogonidae","Ostorhinchus","victoriae",1,75
"JBMP1-1","Apogonidae","Ostorhinchus","victoriae",2,100
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,150
"JBMP1-2","Labridae","Halichoeres","brownfieldi",1,75
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",1,100
"JBMP1-2","Pomacentridae","Parma","mccullochi",1,200
"JBMP1-2","Labridae","Coris","auricularis",1,50
"JBMP1-2","Labridae","Notolabrus","parilus",2,100
"JBMP1-2","Labridae","Coris","auricularis",1,75
"JBMP1-2","Labridae","Coris","auricularis",1,150
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",2,75
"JBMP1-3","Pomacentridae","Parma","mccullochi",1,75
"JBMP1-3","Pomacentridae","Parma","mccullochi",2,150
"JBMP1-3","Labridae","Coris","auricularis",3,75
"JBMP1-3","Pseudochromidae","Labracinus","lineatus",1,250
"JBMP1-3","Pomacentridae","Parma","occidentalis",2,125
"JBMP1-3","Labridae","Pictilabrus","laticlavius",1,150
"JBMP1-3","Cheilodactylidae","Cheilodactylus","gibbosus",1,250
"JBMP1-3","Labridae","Bodianus","frenchii",1,150
"JBMP1-3","Labridae","Austrolabrus","maculatus",1,100
"JBMP1-3","Labridae","Dotalabrus","alleni",2,125
"JBMP1-3","Pomacentridae","Parma","mccullochi",2,200
"JBMP1-3","Labridae","Coris","auricularis",1,100
"JBMP1-3","Cheilodactylidae","Cheilodactylus","gibbosus",1,200
"JBMP1-3","Labridae","Austrolabrus","maculatus",1,75
"JBMP1-3","Labridae","Coris","auricularis",1,250
"JBMP1-3","Labridae","Halichoeres","brownfieldi",2,100
"JBMP1-3","Cheilodactylidae","Cheilodactylus","rubrolabiatus",1,300
"JBMP1-3","Labridae","Thalassoma","septemfasciatum",2,150
"JBMP1-3","Labridae","Notolabrus","parilus",1,100
"JBMP1-3","Pseudochromidae","Labracinus","lineatus",1,200
"JBMP1-3","Scorpididae","Scorpis","georgiana",1,300
"JBMP1-3","Pomacentridae","Pomacentrus","milleri",3,100
"JBMP1-3","Chaetodontidae","Chelmonops","curiosus",1,150
"JBMP1-3","Haemulidae","Plectorhinchus","flavomaculatus",2,200
"JBMP1-3","Pomacentridae","Parma","occidentalis",3,75
"JBMP1-3","Kyphosidae","Kyphosus","cornelii",15,200
"JBMP1-3","Labridae","Thalassoma","septemfasciatum",1,250
"JBMP1-3","Pomacentridae","Pomacentrus","milleri",2,75
"JBMP1-4","Labridae","Notolabrus","parilus",1,200
"JBMP1-4","Labridae","Notolabrus","parilus",1,75
"JBMP1-4","Pomacentridae","Parma","mccullochi",1,100
"JBMP1-4","Labridae","Halichoeres","brownfieldi",1,75
"JBMP1-4","Labridae","Notolabrus","parilus",1,100
"JBMP10-1","Monacanthidae","Meuschenia","hippocrepis",1,250
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1,100
"JBMP10-1","Labridae","Austrolabrus","maculatus",2,75
"JBMP10-1","Pomacentridae","Parma","mccullochi",3,200
"JBMP10-1","Labridae","Coris","auricularis",1,250
"JBMP10-1","Labridae","Coris","auricularis",1,300
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",2,75
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",3,250
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",2,300
"JBMP10-1","Labridae","Austrolabrus","maculatus",1,125
"JBMP10-1","Pomacentridae","Parma","mccullochi",3,150
"JBMP10-1","Labridae","Coris","auricularis",1,150
"JBMP10-1","Labridae","Pictilabrus","viridis",1,125
"JBMP10-1","Labridae","Suezichthys","cyanolaemus",2,25
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",1,150
"JBMP10-1","Labridae","Ophthalmolepis","lineolatus",2,200
"JBMP10-1","Pomacentridae","Parma","mccullochi",4,100
"JBMP10-1","Mullidae","Parupeneus","spilurus",1,100
"JBMP10-1","Labridae","Austrolabrus","maculatus",5,100
"JBMP10-1","Pomacentridae","Parma","mccullochi",3,125
"JBMP10-1","Labridae","Coris","auricularis",15,100
"JBMP10-1","Labridae","Coris","auricularis",10,125
"JBMP10-1","Labridae","Bodianus","frenchii",1,300
"JBMP10-1","Labridae","Notolabrus","parilus",2,100
"JBMP10-1","Labridae","Notolabrus","parilus",1,125
"JBMP10-1","Scorpididae","Scorpis","georgiana",1,300
"JBMP10-1","Labridae","Thalassoma","lutescens",1,125
"JBMP10-1","Labridae","Thalassoma","lutescens",2,150
"JBMP10-1","Pomacentridae","Pomacentrus","milleri",1,100
"JBMP10-2","Labridae","Pictilabrus","laticlavius",1,150
"JBMP10-2","Pomacentridae","Parma","mccullochi",4,200
"JBMP10-2","Labridae","Coris","auricularis",1,250
"JBMP10-2","Labridae","Notolabrus","parilus",1,300
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",1,125
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",3,150
"JBMP10-2","Labridae","Coris","auricularis",9,100
"JBMP10-2","Labridae","Notolabrus","parilus",5,100
"JBMP10-2","Labridae","Austrolabrus","maculatus",1,75
"JBMP10-2","Labridae","Dotalabrus","alleni",1,75
"JBMP10-2","Labridae","Coris","auricularis",2,75
"JBMP10-2","Tetraodontidae","Torquigener","pleurogramma",2,75
"JBMP10-2","Odacidae","Olisthops","cyanomelas",1,300
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",4,250
"JBMP10-2","Labridae","Ophthalmolepis","lineolatus",1,300
"JBMP10-2","Labridae","Coris","auricularis",10,125
"JBMP10-2","Tetraodontidae","Torquigener","pleurogramma",5,100
"JBMP10-3","Labridae","Pictilabrus","laticlavius",2,150
"JBMP10-3","Labridae","Notolabrus","parilus",1,250
"JBMP10-3","Labridae","Notolabrus","parilus",1,300
"JBMP10-3","Odacidae","Olisthops","cyanomelas",1,150
"JBMP10-3","Odacidae","Olisthops","cyanomelas",1,350
"JBMP10-3","Labridae","Dotalabrus","alleni",1,125
"JBMP10-3","Pomacentridae","Parma","mccullochi",1,125
"JBMP10-3","Scorpididae","Scorpis","georgiana",1,250
"JBMP10-3","Scorpididae","Scorpis","georgiana",1,300
"JBMP10-3","Labridae","Ophthalmolepis","lineolatus",1,100
"JBMP10-3","Labridae","Coris","auricularis",3,250
"JBMP10-3","Labridae","Coris","auricularis",1,300
"JBMP10-3","Odacidae","Olisthops","cyanomelas",2,200
"JBMP10-3","Odacidae","Olisthops","cyanomelas",2,300
"JBMP10-3","Labridae","Dotalabrus","alleni",1,210
"JBMP10-3","Labridae","Coris","auricularis",2,125
"JBMP10-3","Labridae","Coris","auricularis",1,150
"JBMP10-4","Kyphosidae","Kyphosus","sydneyanus",7,750
"JBMP10-4","Labridae","Pictilabrus","laticlavius",2,125
"JBMP10-4","Labridae","Pictilabrus","laticlavius",2,150
"JBMP10-4","Labridae","Dotalabrus","alleni",1,50
"JBMP10-4","Labridae","Coris","auricularis",2,25
"JBMP10-4","Labridae","Coris","auricularis",3,250
"JBMP10-4","Labridae","Coris","auricularis",2,300
"JBMP10-4","Labridae","Pseudolabrus","biserialis",2,150
"JBMP10-4","Pomacentridae","Parma","occidentalis",1,250
"JBMP10-4","Labridae","Pictilabrus","viridis",1,150
"JBMP10-4","Kyphosidae","Kyphosus","sydneyanus",4,625
"JBMP10-4","Labridae","Ophthalmolepis","lineolatus",1,150
"JBMP10-4","Labridae","Ophthalmolepis","lineolatus",1,200
"JBMP10-4","Labridae","Austrolabrus","maculatus",3,100
"JBMP10-4","Labridae","Dotalabrus","alleni",2,100
"JBMP10-4","Labridae","Dotalabrus","alleni",1,125
"JBMP10-4","Labridae","Coris","auricularis",5,100
"JBMP10-4","Labridae","Notolabrus","parilus",2,100
"JBMP10-4","Tetraodontidae","Torquigener","pleurogramma",7,100
"JBMP10-4","Labridae","Achoerodus","gouldii",1,1000
"JBMP10-4","Labridae","Austrolabrus","maculatus",1,125
"JBMP10-4","Labridae","Dotalabrus","alleni",1,75
"JBMP10-4","Labridae","Dotalabrus","alleni",1,460
"JBMP10-4","Pomacentridae","Parma","mccullochi",2,125
