"Sample","Family","Genus","Species","Count"
"JBMP1-1","Mullidae","Parupeneus","spilurus",8
"JBMP1-1","Cheilodactylidae","Cheilodactylus","gibbosus",1
"JBMP1-1","Labridae","Coris","auricularis",43
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Labridae","Notolabrus","parilus",2
"JBMP1-1","Labridae","Pictilabrus","laticlavius",2
"JBMP1-1","Odacidae","Olisthops","cyanomelas",1
"JBMP1-1","Mullidae","Parupeneus","spilurus",1
"JBMP1-1","Pempherididae","Pempheris","klunzingeri",1
"JBMP1-1","Pomacentridae","Parma","mccullochi",2
"JBMP1-1","Labridae","Coris","auricularis",6
"JBMP1-1","Labridae","Halichoeres","brownfieldi",1
"JBMP1-1","Labridae","Notolabrus","parilus",5
"JBMP1-1","Labridae","Notolabrus","parilus",1
"JBMP1-1","Pempherididae","Pempheris","klunzingeri",8
"JBMP1-1","Pomacentridae","Parma","mccullochi",2
"JBMP1-1","Labridae","Coris","auricularis",2
"JBMP1-1","Labridae","Coris","auricularis",2
"JBMP1-1","Labridae","Coris","auricularis",2
"JBMP1-1","Labridae","Halichoeres","brownfieldi",5
"JBMP1-1","Labridae","Notolabrus","parilus",1
"JBMP1-1","Labridae","Notolabrus","parilus",1
"JBMP1-2","Kyphosidae","Kyphosus","sydneyanus",2
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Labridae","Coris","auricularis",15
"JBMP1-2","Labridae","Notolabrus","parilus",4
"JBMP1-2","Pomacentridae","Pomacentrus","milleri",1
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Coris","auricularis",2
"JBMP1-2","Labridae","Pictilabrus","viridis",2
"JBMP1-2","Labridae","Notolabrus","parilus",1
"JBMP1-2","Labridae","Pictilabrus","laticlavius",1
"JBMP1-2","Mullidae","Parupeneus","spilurus",5
"JBMP1-2","Pomacentridae","Parma","mccullochi",1
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Coris","auricularis",1
"JBMP1-2","Labridae","Pictilabrus","viridis",1
"JBMP1-2","Labridae","Notolabrus","parilus",5
"JBMP1-2","Labridae","Notolabrus","parilus",3
"JBMP1-2","Mullidae","Parupeneus","spilurus",1
"JBMP1-2","Pomacentridae","Parma","mccullochi",5
"JBMP1-2","Labridae","Coris","auricularis",10
"JBMP1-2","Labridae","Coris","auricularis",4
"JBMP1-2","Labridae","Notolabrus","parilus",1
"JBMP1-2","Labridae","Notolabrus","parilus",1
"JBMP1-2","Kyphosidae","Kyphosus","cornelii",3
"JBMP1-2","Kyphosidae","Kyphosus","cornelii",4
"JBMP1-3","Pomacentridae","Parma","mccullochi",3
"JBMP1-3","Labridae","Coris","auricularis",1
"JBMP1-3","Labridae","Halichoeres","brownfieldi",13
"JBMP1-3","Labridae","Halichoeres","brownfieldi",2
"JBMP1-3","Pomacentridae","Parma","mccullochi",1
"JBMP1-3","Pomacentridae","Parma","mccullochi",1
"JBMP1-3","Labridae","Coris","auricularis",3
"JBMP1-3","Labridae","Coris","auricularis",3
"JBMP1-3","Labridae","Pictilabrus","viridis",1
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Labridae","Notolabrus","parilus",1
"JBMP1-3","Kyphosidae","Kyphosus","cornelii",1
"JBMP1-3","Labridae","Halichoeres","brownfieldi",13
"JBMP1-3","Labridae","Pictilabrus","viridis",2
"JBMP1-3","Labridae","Notolabrus","parilus",2
"JBMP1-3","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP1-3","Labridae","Pictilabrus","laticlavius",1
"JBMP1-3","Mullidae","Parupeneus","spilurus",1
"JBMP1-3","Pomacentridae","Parma","mccullochi",3
"JBMP1-3","Labridae","Coris","auricularis",3
