OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S1	1	MC_UVC_S1_MODERATE_L.MP4	47429	MC_UVC_S1_MODERATE_R.MP4	52851	536.80283	1	0.49167	-712.82386	-528.68039	-2045.71646	1.82387	1.44275	4.90393	0.96492	2229.92750	23.64911	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S1	3	MC_UVC_S1_MODERATE_L.MP4	53017	MC_UVC_S1_MODERATE_R.MP4	58439	538.66550	2	0.09867	-329.38375	-642.08466	-2388.09173	1.39217	2.18002	7.59603	0.41356	2494.74417	17.10641	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	5	MC_UVC_S1_MODERATE_L.MP4	53179	MC_UVC_S1_MODERATE_R.MP4	58601	538.71950	2	0.15267	735.75560	-514.31646	-2830.81514	2.75368	2.07588	10.14002	0.29698	2969.74276	17.78452	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	8	MC_UVC_S1_MODERATE_L.MP4	53445	MC_UVC_S1_MODERATE_R.MP4	58867	538.80817	2	0.24133	-796.91239	-212.10640	-1768.16499	1.62647	0.76773	3.39468	0.50008	1951.01663	25.09017	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	11	MC_UVC_S1_MODERATE_L.MP4	53823	MC_UVC_S1_MODERATE_R.MP4	59245	538.93417	2	0.36733	657.78169	-154.82924	-1741.66460	1.46665	0.73354	3.55076	0.91095	1868.16605	21.28346	Pomacentridae	Parma	occidentalis	37372094	1	AD	Passing			
JMP-S1	16	MC_UVC_S1_MODERATE_L.MP4	54032	MC_UVC_S1_MODERATE_R.MP4	59454	539.00383	2	0.43700	-1021.76172	-343.53623	-2143.73731	2.32664	1.07645	4.80136	0.45410	2399.50491	26.80151	Labridae	Coris	auricularis	37384088	2	AD	Passing			
JMP-S1	18	MC_UVC_S1_MODERATE_L.MP4	54033	MC_UVC_S1_MODERATE_R.MP4	59455	539.00417	2	0.43733	-347.87903	-283.94934	-1597.50667	0.96898	0.85420	3.34683	1.98406	1659.41996	15.90979	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	21	MC_UVC_S1_MODERATE_L.MP4	55211	MC_UVC_S1_MODERATE_R.MP4	60633	539.39683	2	0.83000	216.32998	-558.43905	-1863.00119	0.90587	1.52193	4.61873	0.32402	1956.89199	18.12663	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	27	MC_UVC_S1_MODERATE_L.MP4	58537	MC_UVC_S1_MODERATE_R.MP4	63959	540.50550	3	0.13867	-1148.79949	-379.05498	-2359.42469	2.79951	1.23111	5.73944	3.59363	2651.47276	27.24946	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	30	MC_UVC_S1_MODERATE_L.MP4	59253	MC_UVC_S1_MODERATE_R.MP4	64675	540.74417	3	0.37733	-731.29160	-174.29436	-1661.64818	1.45159	0.69689	3.04149	4.39974	1823.79840	24.42130	Labridae	Notolabrus	parilus	37384022	1	AD	Passing			
JMP-S1	32	MC_UVC_S1_MODERATE_L.MP4	72387	MC_UVC_S1_MODERATE_R.MP4	77809	545.12217	4	0.73167	723.68539	-554.98156	-1976.24102	1.72739	1.40306	4.45181	4.11061	2176.52329	24.97310	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	33	MC_UVC_S1_MODERATE_L.MP4	72545	MC_UVC_S1_MODERATE_R.MP4	77967	545.17483	4	0.78433	-627.20250	-210.86816	-1678.96127	1.37846	0.75923	3.31741	0.42641	1804.64936	21.61672	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	37	MC_UVC_S1_MODERATE_L.MP4	72555	MC_UVC_S1_MODERATE_R.MP4	77977	545.17817	4	0.78767	-588.20426	-99.65849	-1427.66250	1.10483	0.56927	2.32407	0.74630	1547.29967	22.73589	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	40	MC_UVC_S1_MODERATE_L.MP4	72688	MC_UVC_S1_MODERATE_R.MP4	78110	545.22250	4	0.83200	-767.24627	-205.21446	-2163.41534	2.09326	0.97815	5.61252	0.14669	2304.59232	20.24594	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	47	MC_UVC_S1_MODERATE_L.MP4	73878	MC_UVC_S1_MODERATE_R.MP4	79300	545.61917	4	1.22867	800.21723	-308.92687	-3345.91908	3.57509	1.82052	14.47907	3.94905	3454.12188	14.50028	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	48	MC_UVC_S1_MODERATE_L.MP4	73878	MC_UVC_S1_MODERATE_R.MP4	79300	545.61917	4	1.22867	1123.30044	-218.93890	-3648.24799	5.04763	1.68396	16.42523	1.79589	3823.53913	17.48201	Labridae	Coris	auricularis	37384088	2	AD	Passing			
JMP-S1	49	MC_UVC_S1_MODERATE_L.MP4	73912	MC_UVC_S1_MODERATE_R.MP4	79334	545.63050	4	1.24000	67.97181	-314.35950	-2443.17723	1.03208	1.41850	8.30922	4.33196	2464.25588	7.82029	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
JMP-S1	50	MC_UVC_S1_MODERATE_L.MP4	73912	MC_UVC_S1_MODERATE_R.MP4	79334	545.63050	4	1.24000	1243.51816	-542.08469	-4421.50181	6.81985	3.30974	24.42646	0.46979	4624.91854	17.18988	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
JMP-S1	51	MC_UVC_S1_MODERATE_L.MP4	73939	MC_UVC_S1_MODERATE_R.MP4	79361	545.63950	4	1.24900	1483.19163	1.61449	-3220.93071	4.98317	1.20678	11.06382	3.17413	3546.01955	24.72708	Labridae	Coris	auricularis	37384088	4	AD	Passing			
JMP-S1	58	MC_UVC_S1_MODERATE_L.MP4	127315	MC_UVC_S1_MODERATE_R.MP4	132737	563.43150	5	1.16633	-522.83845	-57.67366	-2641.10225	2.07828	1.08501	9.32943	4.31446	2692.97371	11.30442	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S1	60	MC_UVC_S1_MODERATE_L.MP4	130444	MC_UVC_S1_MODERATE_R.MP4	135866	564.47450	6	0.47433	752.20074	-619.36994	-2464.55382	2.33713	2.00193	7.34166	0.49495	2650.17935	21.78172	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S1	65	MC_UVC_S1_MODERATE_L.MP4	138565	MC_UVC_S1_MODERATE_R.MP4	143987	567.18150	7	1.28133	1293.28662	-114.85695	-4083.06561	6.40553	1.66873	20.42298	1.94991	4284.53115	17.67212	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	67	MC_UVC_S1_MODERATE_L.MP4	138582	MC_UVC_S1_MODERATE_R.MP4	144004	567.18717	7	1.28700	-49.28749	-80.20494	-2940.03426	1.23561	1.24125	12.08535	2.20859	2941.54102	2.12037	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S1	69	MC_UVC_S1_MODERATE_L.MP4	138717	MC_UVC_S1_MODERATE_R.MP4	144139	567.23217	7	1.33200	1286.64642	-429.14713	-3003.60542	4.17141	1.73963	9.88741	0.05787	3295.64437	24.40799	Labridae	Coris	auricularis	37384088	4	AD	Passing			
JMP-S1	72	MC_UVC_S1_MODERATE_L.MP4	138832	MC_UVC_S1_MODERATE_R.MP4	144254	567.27050	7	1.37033	1150.87655	-385.03413	-2518.74897	3.05767	1.34281	6.73619	4.45976	2795.86560	25.83138	Labridae	Coris	auricularis	37384088	3	AD	Passing			
JMP-S10	1	JV_032_L.MP4	15208	JV_032_R.MP4	12865	682.23267	1	0.01600	219.15525	21.84315	-3747.01986	1.89079	1.56087	19.46725	2.71492	3753.48691	3.34724	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S10	5	JV_032_L.MP4	15332	JV_032_R.MP4	12989	682.27400	1	0.05733	-1098.09035	-183.79916	-2255.14196	2.59982	0.92723	5.29947	4.81731	2515.00493	26.33160	Pomacentridae	Pomacentrus	milleri	37372117	1	AD	Passing			
