OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
JMP-S1	0	0	1497.06777	934.39852	1113.86307	949.07011
JMP-S1	0	1	1248.54772	974.02952	895.43983	985.15867
JMP-S1	1	0	438.17427	1037.49077	245.64315	1010.92251
JMP-S1	2	0	972.14661	829.40221	863.30152	829.29520
JMP-S1	2	1	932.75519	823.20295	816.60719	821.54613
JMP-S1	3	0	801.99170	1024.20664	674.52282	1014.90775
JMP-S1	4	0	1104.45643	950.33579	1094.36515	959.14022
JMP-S1	4	1	1041.60719	936.16605	1037.71231	943.64207
JMP-S1	5	0	1460.92531	846.73801	1424.19640	873.61624
JMP-S1	6	0	1505.43845	906.30258	1232.40387	928.61255
JMP-S1	6	1	1628.48133	774.78967	1410.10788	796.65683
JMP-S1	7	0	593.12310	860.52399	351.15353	850.10332
JMP-S1	7	1	494.42324	879.56458	253.78147	861.39483
JMP-S1	8	0	277.51037	782.43542	5.31120	762.50923
JMP-S1	9	0	885.16321	752.12915	721.32642	748.97786
JMP-S1	9	1	837.58368	707.18450	671.31259	704.25461
JMP-S1	10	0	909.11480	900.95941	778.64730	896.22140
JMP-S1	10	1	872.60028	868.19188	739.47718	861.46125
JMP-S1	11	0	1800.49793	681.47601	1522.98755	705.38745
JMP-S1	12	0	1085.00277	929.89668	901.57676	935.20295
JMP-S1	12	1	1224.23237	998.96679	1029.45920	1015.22878
JMP-S1	13	0	658.06916	635.09225	426.64315	633.75646
JMP-S1	13	1	752.78562	680.47970	531.98202	679.58672
JMP-S1	14	0	397.01245	710.70111	120.82988	702.73063
JMP-S1	14	1	290.78838	761.18081	0.00000	751.88192
JMP-S1	15	0	519.17012	777.12177	229.70954	769.15129
JMP-S1	15	1	489.95851	880.73801	161.99170	876.75277
JMP-S1	16	0	148.71369	871.43911	7.96680	838.22878
JMP-S1	17	0	365.14523	693.43173	118.17427	678.81919
JMP-S1	17	1	244.31535	673.50554	7.96680	657.56458
JMP-S1	18	0	768.79668	859.48339	427.55187	851.51292
JMP-S1	19	0	1338.57400	889.38007	1317.83541	912.61993
JMP-S1	19	1	1298.73997	843.54982	1272.46888	860.14760
JMP-S1	20	0	740.17981	855.35055	684.67082	845.07380
JMP-S1	20	1	679.98617	874.61255	627.79668	863.22878
JMP-S1	21	0	1314.52282	1064.05904	1060.91286	1078.67159
JMP-S1	22	0	1322.69848	955.45756	1343.23098	977.71587
JMP-S1	22	1	1364.52420	928.22509	1387.49101	955.79705
JMP-S1	23	0	1682.65422	1031.07011	1384.22822	1052.98893
JMP-S1	23	1	1619.80498	959.55720	1349.92669	977.49077
JMP-S1	24	0	1413.25311	1064.50185	1103.95851	1073.80074
JMP-S1	24	1	1366.33748	1031.51292	1076.29599	1040.14760
JMP-S1	25	0	1323.29737	1052.10332	1034.69156	1063.39483
JMP-S1	25	1	1400.97372	1037.04797	1118.34302	1051.21771
JMP-S1	26	0	672.57815	680.95203	158.57123	680.68635
JMP-S1	26	1	823.50484	677.63100	364.38036	676.70111
JMP-S1	27	0	92.94606	874.09594	13.27801	842.21402
JMP-S1	28	0	681.68465	836.70111	540.23375	825.48708
JMP-S1	28	1	509.07054	824.74539	342.83402	809.10332
JMP-S1	29	0	1157.02075	817.11808	893.26833	823.36531
JMP-S1	29	1	999.01245	813.57565	719.10512	817.60886
JMP-S1	30	0	323.98340	745.23985	6.63900	739.92620
JMP-S1	31	0	1357.01245	700.07380	1351.38036	710.57196
JMP-S1	31	1	1475.68050	686.93727	1481.06224	702.82288
JMP-S1	32	0	1765.97510	1042.80443	1561.49378	1074.68635
JMP-S1	33	0	458.09129	781.10701	148.71369	767.82288
JMP-S1	34	0	423.31812	778.45387	149.82019	770.16974
JMP-S1	34	1	331.92116	786.86716	16.59751	773.49077
JMP-S1	35	0	1268.15076	780.25092	1230.87137	806.34686
JMP-S1	35	1	1345.38451	736.41328	1305.22822	754.53875
JMP-S1	36	0	896.10927	752.11439	857.47026	752.33948
JMP-S1	36	1	963.38451	704.95572	922.31120	706.73063
JMP-S1	37	0	443.48548	677.49077	6.63900	670.84871
JMP-S1	38	0	315.93914	713.06642	309.61687	690.98155
JMP-S1	38	1	419.50761	724.80074	389.04564	706.71587
JMP-S1	39	0	416.60858	714.41328	268.73306	693.08487
JMP-S1	39	1	493.62102	675.88930	341.54080	661.20295
JMP-S1	40	0	416.60858	726.14760	267.18396	709.24723
JMP-S1	41	0	633.77455	940.52399	420.16044	928.67159
JMP-S1	41	1	792.44675	827.38745	592.99585	824.16974
JMP-S1	42	0	815.51176	746.05166	738.68326	743.26937
JMP-S1	42	1	861.54219	713.94834	802.63900	713.38007
JMP-S1	43	0	832.35408	872.27675	784.96819	861.84133
