Opcode,Period,Transect,Latitude_dd,Longitude_dd,Date_time,Site,Location,Status,Depth_m,Successful_count,Successful_length,Observer_count,Observer_length,Transect_Length,DBCA_Zone,DBCA_Sanctuary
JMP-S10,1,JMP-S10-1,-30.26946392,114.9700154,2021-05-05T11:22:13+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,2,JMP-S10-2,-30.26947842,114.9696375,2021-05-05T11:24:04+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,3,JMP-S10-3,-30.26941292,114.9692978,2021-05-05T11:24:52+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,4,JMP-S10-4,-30.26913475,114.9691008,2021-05-05T11:26:57+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,5,JMP-S10-5,-30.26894825,114.969339,2021-05-05T11:28:27+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,6,JMP-S10-6,-30.26870408,114.9695753,2021-05-05T11:30:11+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,7,JMP-S10-7,-30.26843908,114.9697885,2021-05-05T11:31:49+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,8,JMP-S10-8,-30.26813917,114.9699283,2021-05-05T11:33:35+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,9,JMP-S10-9,-30.26787075,114.9701044,2021-05-05T11:35:35+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,10,JMP-S10-10,-30.26759917,114.9703159,2021-05-05T11:37:02+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,11,JMP-S10-11,-30.26750867,114.9706278,2021-05-05T11:38:43+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S10,12,JMP-S10-12,-30.26737225,114.9709248,2021-05-05T11:41:00+08:00,S10,JMP,Fished,11,Yes,Yes,Sarah Jessop,Sarah Jessop,25,Sanctuary,North Head
JMP-S14,1,JMP-S14-1,-30.15493908,114.9959551,2021-04-29T08:57:39+08:00,S14,JMP,No-take,3.7,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,2,JMP-S14-2,-30.15544192,114.9959913,2021-04-29T09:02:53+08:00,S14,JMP,No-take,1.1,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,3,JMP-S14-3,-30.15556067,114.9956821,2021-04-29T09:05:15+08:00,S14,JMP,No-take,3.2,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,4,JMP-S14-4,-30.1557515,114.9955753,2021-04-29T09:07:34+08:00,S14,JMP,No-take,3.7,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,5,JMP-S14-5,-30.15588175,114.9955108,2021-04-29T09:10:33+08:00,S14,JMP,No-take,3.7,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,6,JMP-S14-6,-30.156167,114.995496,2021-04-29T09:12:21+08:00,S14,JMP,No-take,2.5,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,7,JMP-S14-7,-30.15638858,114.9952573,2021-04-29T09:14:34+08:00,S14,JMP,No-take,3.5,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,8,JMP-S14-8,-30.15664708,114.995311,2021-04-29T09:17:02+08:00,S14,JMP,No-take,3,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,9,JMP-S14-9,-30.15683367,114.9950449,2021-04-29T09:19:35+08:00,S14,JMP,No-take,4.6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,10,JMP-S14-10,-30.1570955,114.9950748,2021-04-29T09:22:35+08:00,S14,JMP,No-take,4.6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,11,JMP-S14-11,-30.157334,114.994848,2021-04-29T09:25:08+08:00,S14,JMP,No-take,5.1,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S14,12,JMP-S14-12,-30.15757658,114.9949668,2021-04-29T09:27:36+08:00,S14,JMP,No-take,5.5,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,1,JMP-S15-1,-30.15642142,114.9673223,2021-05-02T08:45:07+08:00,S15,JMP,Fished,4.8,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,2,JMP-S15-2,-30.15655433,114.9671513,2021-05-02T08:47:12+08:00,S15,JMP,Fished,5.4,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,3,JMP-S15-3,-30.156668,114.9668705,2021-05-02T08:49:00+08:00,S15,JMP,Fished,6.3,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,4,JMP-S15-4,-30.1565535,114.966539,2021-05-02T08:50:30+08:00,S15,JMP,Fished,6.8,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,5,JMP-S15-5,-30.156857,114.9666055,2021-05-02T08:51:57+08:00,S15,JMP,Fished,6.9,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,6,JMP-S15-6,-30.15715267,114.9665168,2021-05-02T08:53:14+08:00,S15,JMP,Fished,6.3,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,7,JMP-S15-7,-30.15745158,114.9665368,2021-05-02T08:54:39+08:00,S15,JMP,Fished,5.6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,8,JMP-S15-8,-30.15773908,114.9665135,2021-05-02T08:55:57+08:00,S15,JMP,Fished,6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,9,JMP-S15-9,-30.15767725,114.9667643,2021-05-02T08:57:33+08:00,S15,JMP,Fished,5.6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,10,JMP-S15-10,-30.15743242,114.9669508,2021-05-02T08:59:02+08:00,S15,JMP,Fished,5.6,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
JMP-S15,11,JMP-S15-11,-30.15719908,114.9671588,2021-05-02T09:00:30+08:00,S15,JMP,Fished,4.4,Yes,Yes,Sarah Jessop,Sarah Jessop,25,SP Scientific Reference,Fisherman Islands
