OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
JMP-S1	0	0	520.99317	1	MC_UVC_S1_MODERATE_L.MP4	194400	50.00000
JMP-S1	1	0	0.00000	1	MC_UVC_S1_MODERATE_R.MP4	202632	50.00000
JMP-S10	0	0	677.16333	1	JV_032_L.MP4	101544	50.00000
JMP-S10	0	0	677.16333	1	JV_032_L.MP4	101546	50.00000
JMP-S10	1	0	0.00000	1	JV_032_R.MP4	100104	50.00000
JMP-S10	1	0	0.00000	1	JV_032_R.MP4	100106	50.00000
JMP-S14	0	0	513.14667	1	MC_UVC_S14_HIGH_L.MP4	187730	50.00000
JMP-S14	0	0	513.14667	1	MC_UVC_S14_HIGH_L.MP4	187728	50.00000
JMP-S14	1	0	0.00000	1	MC_UVC_S14_HIGH_R.MP4	184536	50.00000
JMP-S14	1	0	0.00000	1	MC_UVC_S14_HIGH_R.MP4	184538	50.00000
JMP-S15	0	0	512.17833	1	MC_UVC_S15_HIGH_L.MP4	154152	50.00000
JMP-S15	0	0	512.17833	1	MC_UVC_S15_HIGH_L.MP4	154154	50.00000
JMP-S15	1	0	0.00000	1	MC_UVC_S15_HIGH_R.MP4	155688	50.00000
JMP-S15	1	0	0.00000	1	MC_UVC_S15_HIGH_R.MP4	155690	50.00000
JMP-S18	0	0	542.98050	1	S18_L.MP4	108434	50.00000
JMP-S18	1	0	0.00000	1	S18_R.MP4	112322	50.00000
JMP-S22	0	0	893.02067	1	S22_L.MP4	115130	50.00000
JMP-S22	1	0	0.00000	1	S22_R.MP4	110258	50.00000
JMP-S23	0	0	462.24167	1	MC_UVC_S23_L.MP4	133728	50.00000
JMP-S23	0	0	462.24167	1	MC_UVC_S23_L.MP4	133730	50.00000
JMP-S23	1	0	0.00000	0	MC_UVC_S23_R.MP4	132480	50.00000
JMP-S23	1	0	0.00000	0	MC_UVC_S23_R.MP4	132482	50.00000
JMP-S24	0	0	885.92333	1	MC_UVC_S24_HIGH_L.MP4	132122	50.00000
JMP-S24	0	0	885.92333	1	MC_UVC_S24_HIGH_L.MP4	132120	50.00000
JMP-S24	1	0	0.00000	1	MC_UVC_S24_HIGH_R.MP4	131810	50.00000
JMP-S24	1	0	0.00000	1	MC_UVC_S24_HIGH_R.MP4	131808	50.00000
JMP-S25	0	0	596.06167	1	MC_UVC_S25_HIGH_L.MP4	131882	50.00000
JMP-S25	0	0	596.06167	1	MC_UVC_S25_HIGH_L.MP4	131880	50.00000
JMP-S25	1	0	0.00000	1	MC_UVC_S25_HIGH_R.MP4	129554	50.00000
JMP-S25	1	0	0.00000	1	MC_UVC_S25_HIGH_R.MP4	129552	50.00000
JMP-S26	0	0	866.92067	1	S26_L.MP4	133514	50.00000
JMP-S26	1	0	0.00000	1	S26_R.MP4	133634	50.00000
JMP-S28	0	0	832.64900	1	S28_L.MP4	149186	50.00000
JMP-S28	1	0	0.00000	1	S28_R.MP4	145008	50.00000
JMP-S3	0	0	812.71333	1	MC_UVC_S3_HIGH_L.MP4	114458	50.00000
JMP-S3	0	0	812.71333	1	MC_UVC_S3_HIGH_L.MP4	114456	50.00000
