OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
JMP-S1	0	1	MC_UVC_S1_MODERATE_L.MP4	45954	536.31117	MC_UVC_S1_MODERATE_L.MP4	50633	537.87083	1
JMP-S1	1	2	MC_UVC_S1_MODERATE_L.MP4	52721	538.56683	MC_UVC_S1_MODERATE_L.MP4	56483	539.82083	1
JMP-S1	2	3	MC_UVC_S1_MODERATE_L.MP4	58121	540.36683	MC_UVC_S1_MODERATE_L.MP4	62871	541.95017	1
JMP-S1	3	4	MC_UVC_S1_MODERATE_L.MP4	70192	544.39050	MC_UVC_S1_MODERATE_L.MP4	74420	545.79983	1
JMP-S1	4	5	MC_UVC_S1_MODERATE_L.MP4	123816	562.26517	MC_UVC_S1_MODERATE_L.MP4	127376	563.45183	1
JMP-S1	5	6	MC_UVC_S1_MODERATE_L.MP4	129021	564.00017	MC_UVC_S1_MODERATE_L.MP4	132971	565.31683	1
JMP-S1	6	7	MC_UVC_S1_MODERATE_L.MP4	134721	565.90017	MC_UVC_S1_MODERATE_L.MP4	138832	567.27050	1
JMP-S10	0	1	JV_032_L.MP4	15160	682.21667	JV_032_L.MP4	18460	683.31667	1
JMP-S10	1	2	JV_032_L.MP4	20710	684.06667	JV_032_L.MP4	22656	684.71533	1
JMP-S10	2	3	JV_032_L.MP4	23110	684.86667	JV_032_L.MP4	27910	686.46667	1
JMP-S10	3	4	JV_032_L.MP4	29360	686.95000	JV_032_L.MP4	33060	688.18333	1
JMP-S10	4	5	JV_032_L.MP4	33860	688.45000	JV_032_L.MP4	37943	689.81100	1
JMP-S10	5	6	JV_032_L.MP4	39060	690.18333	JV_032_L.MP4	42810	691.43333	1
JMP-S10	6	7	JV_032_L.MP4	43960	691.81667	JV_032_L.MP4	47410	692.96667	1
JMP-S10	7	8	JV_032_L.MP4	49260	693.58333	JV_032_L.MP4	54210	695.23333	1
JMP-S10	8	9	JV_032_L.MP4	55260	695.58333	JV_032_L.MP4	58710	696.73333	1
JMP-S10	9	10	JV_032_L.MP4	59610	697.03333	JV_032_L.MP4	62910	698.13333	1
JMP-S10	10	11	JV_032_L.MP4	64660	698.71667	JV_032_L.MP4	70718	700.73600	1
JMP-S10	11	12	JV_032_L.MP4	71510	701.00000	JV_032_L.MP4	75310	702.26667	1
JMP-S14	0	1	MC_UVC_S14_HIGH_L.MP4	73510	537.65000	MC_UVC_S14_HIGH_L.MP4	81010	540.15000	1
JMP-S14	1	2	MC_UVC_S14_HIGH_L.MP4	89208	542.88267	MC_UVC_S14_HIGH_L.MP4	93560	544.33333	1
JMP-S14	2	3	MC_UVC_S14_HIGH_L.MP4	96310	545.25000	MC_UVC_S14_HIGH_L.MP4	101210	546.88333	1
JMP-S14	3	4	MC_UVC_S14_HIGH_L.MP4	103260	547.56667	MC_UVC_S14_HIGH_L.MP4	109837	549.75900	1
JMP-S14	4	5	MC_UVC_S14_HIGH_L.MP4	112210	550.55000	MC_UVC_S14_HIGH_L.MP4	116060	551.83333	1
JMP-S14	5	6	MC_UVC_S14_HIGH_L.MP4	117610	552.35000	MC_UVC_S14_HIGH_L.MP4	122010	553.81667	1
JMP-S14	6	7	MC_UVC_S14_HIGH_L.MP4	124260	554.56667	MC_UVC_S14_HIGH_L.MP4	129460	556.30000	1
JMP-S14	7	8	MC_UVC_S14_HIGH_L.MP4	131660	557.03333	MC_UVC_S14_HIGH_L.MP4	136460	558.63333	1
JMP-S14	8	9	MC_UVC_S14_HIGH_L.MP4	139310	559.58333	MC_UVC_S14_HIGH_L.MP4	145960	561.80000	1
JMP-S14	9	10	MC_UVC_S14_HIGH_L.MP4	148310	562.58333	MC_UVC_S14_HIGH_L.MP4	153360	564.26667	1
JMP-S14	10	11	MC_UVC_S14_HIGH_L.MP4	155960	565.13333	MC_UVC_S14_HIGH_L.MP4	161010	566.81667	1
JMP-S14	11	12	MC_UVC_S14_HIGH_L.MP4	163360	567.60000	MC_UVC_S14_HIGH_L.MP4	169060	569.50000	1
JMP-S15	0	1	MC_UVC_S15_HIGH_L.MP4	38819	525.11800	MC_UVC_S15_HIGH_L.MP4	43119	526.55133	1
JMP-S15	1	2	MC_UVC_S15_HIGH_L.MP4	45069	527.20133	MC_UVC_S15_HIGH_L.MP4	49034	528.52300	1
JMP-S15	2	3	MC_UVC_S15_HIGH_L.MP4	50469	529.00133	MC_UVC_S15_HIGH_L.MP4	53469	530.00133	1
JMP-S15	3	4	MC_UVC_S15_HIGH_L.MP4	54969	530.50133	MC_UVC_S15_HIGH_L.MP4	57769	531.43467	1
JMP-S15	4	5	MC_UVC_S15_HIGH_L.MP4	59319	531.95133	MC_UVC_S15_HIGH_L.MP4	61969	532.83467	1
JMP-S15	5	6	MC_UVC_S15_HIGH_L.MP4	63169	533.23467	MC_UVC_S15_HIGH_L.MP4	65819	534.11800	1
JMP-S15	6	7	MC_UVC_S15_HIGH_L.MP4	67419	534.65133	MC_UVC_S15_HIGH_L.MP4	69819	535.45133	1
JMP-S15	7	8	MC_UVC_S15_HIGH_L.MP4	71319	535.95133	MC_UVC_S15_HIGH_L.MP4	75069	537.20133	1
JMP-S15	8	9	MC_UVC_S15_HIGH_L.MP4	76119	537.55133	MC_UVC_S15_HIGH_L.MP4	79269	538.60133	1
JMP-S15	9	10	MC_UVC_S15_HIGH_L.MP4	80569	539.03467	MC_UVC_S15_HIGH_L.MP4	83926	540.15367	1
JMP-S15	10	11	MC_UVC_S15_HIGH_L.MP4	84969	540.50133	MC_UVC_S15_HIGH_L.MP4	88369	541.63467	1
JMP-S15	11	12	MC_UVC_S15_HIGH_L.MP4	89919	542.15133	MC_UVC_S15_HIGH_L.MP4	93169	543.23467	1
JMP-S18	0	1	S18_L.MP4	27862	552.26783	S18_L.MP4	30861	553.26750	1
JMP-S18	1	2	S18_L.MP4	32161	553.70083	S18_L.MP4	35410	554.78383	1
JMP-S18	2	3	S18_L.MP4	36711	555.21750	S18_L.MP4	39311	556.08417	1
JMP-S18	3	4	S18_L.MP4	40610	556.51717	S18_L.MP4	44011	557.65083	1
JMP-S18	4	5	S18_L.MP4	45311	558.08417	S18_L.MP4	48061	559.00083	1
JMP-S18	5	6	S18_L.MP4	49660	559.53383	S18_L.MP4	52561	560.50083	1
JMP-S18	6	7	S18_L.MP4	53810	560.91717	S18_L.MP4	56547	561.82950	1
JMP-S18	7	8	S18_L.MP4	57860	562.26717	S18_L.MP4	61111	563.35083	1
JMP-S18	8	9	S18_L.MP4	62961	563.96750	S18_L.MP4	66361	565.10083	1
JMP-S18	9	10	S18_L.MP4	67660	565.53383	S18_L.MP4	70511	566.48417	1
JMP-S18	10	11	S18_L.MP4	71561	566.83417	S18_L.MP4	74561	567.83417	1
JMP-S18	11	12	S18_L.MP4	76161	568.36750	S18_L.MP4	79161	569.36750	1
JMP-S22	0	1	S22_L.MP4	31271	903.44433	S22_L.MP4	33947	904.33633	1
JMP-S22	1	2	S22_L.MP4	35638	904.90000	S22_L.MP4	39039	906.03367	1
JMP-S22	2	3	S22_L.MP4	44043	907.70167	S22_L.MP4	46558	908.54000	1
JMP-S22	3	4	S22_L.MP4	48088	909.05000	S22_L.MP4	50877	909.97967	1
JMP-S22	4	5	S22_L.MP4	52338	910.46667	S22_L.MP4	55338	911.46667	1
JMP-S22	5	6	S22_L.MP4	56521	911.86100	S22_L.MP4	59839	912.96700	1
JMP-S22	6	7	S22_L.MP4	60988	913.35000	S22_L.MP4	64002	914.35467	1
JMP-S22	7	8	S22_L.MP4	65338	914.80000	S22_L.MP4	68550	915.87067	1
JMP-S22	8	9	S22_L.MP4	76438	918.50000	S22_L.MP4	79771	919.61100	1
JMP-S22	9	10	S22_L.MP4	81038	920.03333	S22_L.MP4	84458	921.17333	1
JMP-S22	10	11	S22_L.MP4	86538	921.86667	S22_L.MP4	90209	923.09033	1
JMP-S22	11	12	S22_L.MP4	91952	923.67133	S22_L.MP4	94939	924.66700	1
JMP-S23	0	1	MC_UVC_S23_L.MP4	45975	477.56667	MC_UVC_S23_L.MP4	48534	478.41967	1
JMP-S23	1	2	MC_UVC_S23_L.MP4	51575	479.43333	MC_UVC_S23_L.MP4	52625	479.78333	1
JMP-S23	2	3	MC_UVC_S23_L.MP4	53775	480.16667	MC_UVC_S23_L.MP4	58875	481.86667	1
JMP-S23	3	4	MC_UVC_S23_L.MP4	60575	482.43333	MC_UVC_S23_L.MP4	66175	484.30000	1
JMP-S23	4	5	MC_UVC_S23_L.MP4	67075	484.60000	MC_UVC_S23_L.MP4	73825	486.85000	1
JMP-S23	5	6	MC_UVC_S23_L.MP4	76425	487.71667	MC_UVC_S23_L.MP4	81425	489.38333	1
JMP-S23	6	7	MC_UVC_S23_L.MP4	82075	489.60000	MC_UVC_S23_L.MP4	84575	490.43333	1
JMP-S23	7	8	MC_UVC_S23_L.MP4	86825	491.18333	MC_UVC_S23_L.MP4	93525	493.41667	1
JMP-S23	8	9	MC_UVC_S23_L.MP4	93825	493.51667	MC_UVC_S23_L.MP4	94975	493.90000	1
JMP-S23	9	10	MC_UVC_S23_L.MP4	96325	494.35000	MC_UVC_S23_L.MP4	100925	495.88333	1
JMP-S23	10	11	MC_UVC_S23_L.MP4	101625	496.11667	MC_UVC_S23_L.MP4	109225	498.65000	1
JMP-S23	11	12	MC_UVC_S23_L.MP4	110825	499.18333	MC_UVC_S23_L.MP4	116925	501.21667	1
JMP-S24	0	1	MC_UVC_S24_HIGH_L.MP4	23830	893.86667	MC_UVC_S24_HIGH_L.MP4	28180	895.31667	1
JMP-S24	1	2	MC_UVC_S24_HIGH_L.MP4	29230	895.66667	MC_UVC_S24_HIGH_L.MP4	33430	897.06667	1
JMP-S24	2	3	MC_UVC_S24_HIGH_L.MP4	36230	898.00000	MC_UVC_S24_HIGH_L.MP4	42180	899.98333	1
JMP-S24	3	4	MC_UVC_S24_HIGH_L.MP4	44630	900.80000	MC_UVC_S24_HIGH_L.MP4	48830	902.20000	1
JMP-S24	4	5	MC_UVC_S24_HIGH_L.MP4	50430	902.73333	MC_UVC_S24_HIGH_L.MP4	58280	905.35000	1
JMP-S24	5	6	MC_UVC_S24_HIGH_L.MP4	58780	905.51667	MC_UVC_S24_HIGH_L.MP4	62780	906.85000	1
JMP-S24	6	7	MC_UVC_S24_HIGH_L.MP4	64980	907.58333	MC_UVC_S24_HIGH_L.MP4	72030	909.93333	1
JMP-S24	7	8	MC_UVC_S24_HIGH_L.MP4	73380	910.38333	MC_UVC_S24_HIGH_L.MP4	78980	912.25000	1
JMP-S24	8	9	MC_UVC_S24_HIGH_L.MP4	80280	912.68333	MC_UVC_S24_HIGH_L.MP4	85730	914.50000	1
JMP-S24	9	10	MC_UVC_S24_HIGH_L.MP4	87880	915.21667	MC_UVC_S24_HIGH_L.MP4	91880	916.55000	1
JMP-S24	10	11	MC_UVC_S24_HIGH_L.MP4	93680	917.15000	MC_UVC_S24_HIGH_L.MP4	100630	919.46667	1
JMP-S24	11	12	MC_UVC_S24_HIGH_L.MP4	104130	920.63333	MC_UVC_S24_HIGH_L.MP4	105480	921.08333	1
JMP-S25	0	1	MC_UVC_S25_HIGH_L.MP4	21565	603.25000	MC_UVC_S25_HIGH_L.MP4	23765	603.98333	1
JMP-S25	1	2	MC_UVC_S25_HIGH_L.MP4	26415	604.86667	MC_UVC_S25_HIGH_L.MP4	31015	606.40000	1
JMP-S25	2	3	MC_UVC_S25_HIGH_L.MP4	33565	607.25000	MC_UVC_S25_HIGH_L.MP4	39839	609.34133	1
JMP-S25	3	4	MC_UVC_S25_HIGH_L.MP4	41815	610.00000	MC_UVC_S25_HIGH_L.MP4	45344	611.17633	1
JMP-S25	4	5	MC_UVC_S25_HIGH_L.MP4	46665	611.61667	MC_UVC_S25_HIGH_L.MP4	52415	613.53333	1
JMP-S25	5	6	MC_UVC_S25_HIGH_L.MP4	56615	614.93333	MC_UVC_S25_HIGH_L.MP4	59605	615.93000	1
JMP-S25	6	7	MC_UVC_S25_HIGH_L.MP4	71015	619.73333	MC_UVC_S25_HIGH_L.MP4	77121	621.76867	1
JMP-S25	7	8	MC_UVC_S25_HIGH_L.MP4	79365	622.51667	MC_UVC_S25_HIGH_L.MP4	83315	623.83333	1
JMP-S25	8	9	MC_UVC_S25_HIGH_L.MP4	85915	624.70000	MC_UVC_S25_HIGH_L.MP4	89915	626.03333	1
