Sample,Family,Genus,Species,Count
JBMP15-1,Labridae,Coris,auricularis,29
JBMP15-1,Pomacentridae,Pomacentrus,milleri,1
JBMP15-1,Scorpididae,Neatypus,obliquus,1
JBMP15-1,Pseudochromidae,Labracinus,lineatus,1
JBMP15-1,Apogonidae,Ostorhinchus,victoriae,13
JBMP15-1,Kyphosidae,Kyphosus,cornelii,1
JBMP15-1,Pomacentridae,Parma,mccullochi,1
JBMP15-2,Labridae,Coris,auricularis,40
JBMP15-2,Kyphosidae,Kyphosus,cornelii,1
JBMP15-2,Kyphosidae,Kyphosus,sydneyanus,10
JBMP15-2,Scorpididae,Scorpis,georgiana,3
JBMP15-2,Serranidae,Epinephelides,armatus,1
JBMP15-2,Pomacentridae,Parma,mccullochi,1
JBMP15-2,Labridae,Notolabrus,parilus,1
JBMP15-3,Scorpididae,Neatypus,obliquus,4
JBMP15-3,Kyphosidae,Kyphosus,cornelii,10
JBMP15-3,Labridae,Coris,auricularis,27
JBMP15-3,Labridae,Thalassoma,lutescens,3
JBMP15-3,Kyphosidae,Kyphosus,sydneyanus,13
JBMP15-3,Pomacentridae,Parma,mccullochi,2
JBMP15-3,Labridae,Notolabrus,parilus,1
JBMP15-3,Scorpididae,Scorpis,georgiana,6
JBMP15-3,Pomacentridae,Pomacentrus,milleri,2
JBMP15-4,Pempherididae,Pempheris,klunzingeri,5
JBMP15-4,Labridae,Thalassoma,lutescens,1
JBMP15-4,Labridae,Coris,auricularis,14
JBMP15-4,Chaetodontidae,Chelmonops,curiosus,1
JBMP15-4,Pomacentridae,Parma,mccullochi,2
JBMP15-4,Scorpididae,Scorpis,georgiana,1
JBMP15-4,Kyphosidae,Kyphosus,cornelii,1
JBMP15-4,Labridae,Pseudolabrus,biserialis,1
JBMP8-1,Mullidae,Parupeneus,spilurus,1
JBMP8-1,Labridae,Coris,auricularis,64
JBMP8-1,Labridae,Thalassoma,lutescens,1
JBMP8-1,Kyphosidae,Kyphosus,cornelii,20
JBMP8-1,Labridae,Pseudolabrus,biserialis,1
JBMP8-1,Chaetodontidae,Chelmonops,curiosus,1
JBMP8-1,Labridae,Notolabrus,parilus,1
JBMP8-1,Labridae,Thalassoma,lunare,1
JBMP8-1,Pomacentridae,Pomacentrus,milleri,27
JBMP8-1,Pomacentridae,Parma,mccullochi,1
JBMP8-1,Labridae,Choerodon,rubescens,1
JBMP8-1,Pomacentridae,Stegastes,obreptus,1
JBMP8-2,Labridae,Coris,auricularis,72
JBMP8-2,Labridae,Thalassoma,lutescens,2
JBMP8-2,Kyphosidae,Kyphosus,cornelii,25
JBMP8-2,Labridae,Pseudolabrus,biserialis,1
JBMP8-2,Labridae,Notolabrus,parilus,1
JBMP8-2,Labridae,Thalassoma,lunare,2
JBMP8-2,Pomacentridae,Pomacentrus,milleri,51
JBMP8-2,Pomacentridae,Parma,mccullochi,7
JBMP8-2,Labridae,Choerodon,rubescens,2
JBMP8-2,Pomacentridae,Stegastes,obreptus,3
JBMP8-2,Pomacentridae,Parma,occidentalis,1
JBMP8-2,Serranidae,Epinephelides,armatus,1
JBMP8-2,Labridae,Austrolabrus,maculatus,1
JBMP8-2,Labridae,Anampses,geographicus,1
JBMP8-2,Pempherididae,Pempheris,klunzingeri,16
JBMP8-3,Labridae,Thalassoma,lutescens,1
JBMP8-3,Labridae,Thalassoma,lunare,1
JBMP8-3,Kyphosidae,Kyphosus,cornelii,50
JBMP8-3,Labridae,Coris,auricularis,17
JBMP8-3,Pomacentridae,Pomacentrus,milleri,6
JBMP8-3,Pomacentridae,Stegastes,obreptus,1
JBMP8-3,Pomacentridae,Parma,mccullochi,1
JBMP8-3,Mullidae,Parupeneus,spilurus,7
JBMP8-3,Carangidae,Pseudocaranx,georgianus,1
JBMP8-4,Labridae,Thalassoma,lutescens,3
JBMP8-4,Labridae,Thalassoma,lunare,4
JBMP8-4,Kyphosidae,Kyphosus,cornelii,70
JBMP8-4,Labridae,Coris,auricularis,62
JBMP8-4,Pomacentridae,Pomacentrus,milleri,11
JBMP8-4,Pomacentridae,Parma,mccullochi,3
JBMP8-4,Labridae,Notolabrus,parilus,1
JBMP8-4,Labridae,Austrolabrus,maculatus,1
JBMP8-4,Labridae,Anampses,geographicus,1
JBMP8-4,Labridae,Choerodon,rubescens,1
JBMP8-4,Pempherididae,Pempheris,klunzingeri,13
JBMP8-4,Pomacentridae,Parma,occidentalis,1
JBMP35-1,Labridae,Halichoeres,brownfieldi,6
JBMP35-1,Labridae,Coris,auricularis,1
JBMP35-1,Labridae,Choerodon,rubescens,1
JBMP35-2,Labridae,Choerodon,rubescens,4
JBMP35-2,Labridae,Coris,auricularis,42
JBMP35-2,Chaetodontidae,Chaetodon,assarius,1
JBMP35-2,Labridae,Notolabrus,parilus,2
JBMP35-2,Mullidae,Parupeneus,spilurus,2
JBMP35-3,Labridae,Thalassoma,septemfasciatum,1
JBMP35-3,Labridae,Coris,auricularis,23
JBMP35-3,Labridae,Choerodon,rubescens,2
JBMP35-3,Chaetodontidae,Chaetodon,assarius,1
JBMP35-3,Kyphosidae,Kyphosus,cornelii,3
JBMP35-4,Labridae,Coris,auricularis,83
JBMP35-4,Labridae,Choerodon,rubescens,1
JBMP35-4,Chaetodontidae,Chaetodon,assarius,2
JBMP35-4,Kyphosidae,Kyphosus,cornelii,2
JBMP35-4,Labridae,Anampses,geographicus,1
JBMP35-4,Mullidae,Parupeneus,spilurus,5
JBMP35-4,Labridae,Leptoscarus,vaigiensis,2
JBMP35-4,Labridae,Notolabrus,parilus,3
JBMP35-4,Labridae,Thalassoma,septemfasciatum,1
