"","Species","Year","Month","Day","Region","Location","Site","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50","Age","AgeClass"
"1","Pink Snapper",2005,1,15,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",855,850,840,850,13.16667,13
"2","Pink Snapper",2005,1,4,"Metro","Seabird",NA,NA,NA,"Recreational","LINE",710,710,700,700,NA,NA
"3","Pink Snapper",2005,1,20,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",559,550,540,550,4.16667,4
"4","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",412,410,400,400,2.25,2
"5","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",448,440,440,400,3.25,3
"6","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",418,410,400,400,3.25,3
"7","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",414,410,400,400,3.25,3
"8","Pink Snapper",2005,2,16,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",453,450,440,450,5.25,5
"9","Pink Snapper",2005,2,20,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",819,810,800,800,12.25,12
"10","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",681,680,680,650,7.25,7
"11","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",762,760,760,750,7.25,7
"12","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",619,610,600,600,6.25,6
"13","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",605,600,600,600,6.25,6
"14","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",680,680,680,650,6.25,6
"15","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",583,580,580,550,5.25,5
"16","Pink Snapper",2005,2,3,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",639,630,620,600,7.25,7
"17","Pink Snapper",2005,2,3,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",526,520,520,500,4.25,4
"18","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",651,650,640,650,NA,NA
"19","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",532,530,520,500,NA,NA
"20","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",657,650,640,650,6.25,6
"21","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",620,620,620,600,4.25,4
"22","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",610,610,600,600,NA,NA
"23","Pink Snapper",2005,2,7,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",600,600,600,600,6.25,6
"24","Pink Snapper",2005,2,20,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",436,430,420,400,3.25,3
"25","Pink Snapper",2005,3,5,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",595,590,580,550,NA,NA
"26","Pink Snapper",2005,3,13,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",491,490,480,450,NA,NA
"27","Pink Snapper",2005,3,13,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",442,440,440,400,NA,NA
"28","Pink Snapper",2005,3,15,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",584,580,580,550,NA,NA
"29","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",626,620,620,600,8.33333,8
"30","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",660,660,660,650,7.33333,7
"31","Pink Snapper",2005,3,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",673,670,660,650,7.33333,7
"32","Pink Snapper",2005,4,16,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",534,530,520,500,4.41667,4
"33","Pink Snapper",2005,4,25,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",589,580,580,550,5.41667,5
"34","Pink Snapper",2005,4,25,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",421,420,420,400,3.41667,3
"35","Pink Snapper",2005,5,22,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",870,870,860,850,24.5,24
"36","Pink Snapper",2005,8,11,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",634,630,620,600,5.75,5
"37","Pink Snapper",2005,8,11,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",504,500,500,500,NA,NA
"38","Pink Snapper",2005,8,14,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",550,550,540,550,NA,NA
"39","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",570,570,560,550,4.75,4
"40","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",535,530,520,500,5.75,5
"41","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",556,550,540,550,5.75,5
"42","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",510,510,500,500,4.75,4
"43","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",536,530,520,500,5.75,5
"44","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",560,560,560,550,4.75,4
"45","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",593,590,580,550,5.75,5
"46","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",572,570,560,550,5.75,5
"47","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",628,620,620,600,5.75,5
"48","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",695,690,680,650,7.75,7
"49","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",792,790,780,750,8.75,8
"50","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",712,710,700,700,6.75,6
"51","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",666,660,660,650,7.75,7
"52","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",739,730,720,700,8.75,8
"53","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",528,520,520,500,4.75,4
"54","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",533,530,520,500,4.75,4
"55","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",522,520,520,500,5.75,5
"56","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",542,540,540,500,6.75,6
"57","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",495,490,480,450,5.75,5
"58","Pink Snapper",2005,8,20,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",477,470,460,450,5.75,5
"59","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",637,630,620,600,6.75,6
"60","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",770,770,760,750,8.75,8
"61","Pink Snapper",2005,8,21,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",736,730,720,700,9.75,9
"62","Pink Snapper",2005,8,8,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",621,620,620,600,NA,NA
"63","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",515,510,500,500,NA,NA
"64","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",639,630,620,600,NA,NA
"65","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",454,450,440,450,NA,NA
"66","Pink Snapper",2005,8,21,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",565,560,560,550,NA,NA
"67","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",531,530,520,500,4.75,4
"68","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",510,510,500,500,5.75,5
"69","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",515,510,500,500,5.75,5
"70","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",487,480,480,450,4.75,4
"71","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",515,510,500,500,5.75,5
"72","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",490,490,480,450,4.75,4
"73","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",484,480,480,450,5.75,5
"74","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",516,510,500,500,6.75,6
"75","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",532,530,520,500,5.75,5
"76","Pink Snapper",2005,8,25,"South-West","South Of Mandurah",NA,NA,NA,"Commercial","LINE",497,490,480,450,7.75,7
"77","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",679,670,660,650,NA,NA
"78","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",631,630,620,600,NA,NA
"79","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",699,690,680,650,NA,NA
"80","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",615,610,600,600,NA,NA
"81","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",600,600,600,600,NA,NA
"82","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",506,500,500,500,NA,NA
"83","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",576,570,560,550,NA,NA
"84","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",527,520,520,500,NA,NA
"85","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",600,600,600,600,NA,NA
"86","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",535,530,520,500,NA,NA
"87","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",510,510,500,500,NA,NA
"88","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",489,480,480,450,NA,NA
"89","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",550,550,540,550,NA,NA
"90","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",570,570,560,550,NA,NA
"91","Pink Snapper",2005,8,27,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",556,550,540,550,NA,NA
"92","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",468,460,460,450,4.75,4
"93","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",503,500,500,500,4.75,4
"94","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",525,520,520,500,5.75,5
"95","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",467,460,460,450,4.75,4
"96","Pink Snapper",2005,8,29,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",491,490,480,450,5.75,5
"97","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",607,600,600,600,NA,NA
"98","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",592,590,580,550,4.83333,4
"99","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",576,570,560,550,3.83333,3
"100","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",590,590,580,550,3.83333,3
"101","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",570,570,560,550,5.83333,5
"102","Pink Snapper",2005,9,15,"Metro","Mandurah",NA,NA,NA,"Commercial","LINE",585,580,580,550,4.83333,4
"103","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",446,440,440,400,NA,NA
"104","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",449,440,440,400,4.83333,4
"105","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",455,450,440,450,NA,NA
"106","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",472,470,460,450,NA,NA
"107","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",453,450,440,450,4.83333,4
"108","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",455,450,440,450,NA,NA
"109","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",441,440,440,400,NA,NA
"110","Pink Snapper",2005,9,10,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",485,480,480,450,NA,NA
"111","Pink Snapper",2005,9,2,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",479,470,460,450,NA,NA
"112","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",772,770,760,750,NA,NA
"113","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",650,650,640,650,NA,NA
"114","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",738,730,720,700,NA,NA
"115","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",436,430,420,400,NA,NA
"116","Pink Snapper",2005,10,15,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",500,500,500,500,NA,NA
"117","Pink Snapper",2005,10,15,"South-West","Geographe Bay",NA,NA,NA,"Commercial","LINE",698,690,680,650,NA,NA
"118","Pink Snapper",2005,10,14,"Metro","Dawesville",NA,NA,NA,"Recreational","LINE",546,540,540,500,NA,NA
"119","Pink Snapper",2005,10,15,"Metro","Dawesville",NA,NA,NA,"Recreational","LINE",592,590,580,550,NA,NA
"120","Pink Snapper",2005,10,21,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",638,630,620,600,NA,NA
"121","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",806,800,800,800,NA,NA
"122","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",611,610,600,600,NA,NA
"123","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",511,510,500,500,NA,NA
"124","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",502,500,500,500,NA,NA
"125","Pink Snapper",2005,10,23,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",595,590,580,550,NA,NA
"126","Pink Snapper",2005,11,2,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",547,540,540,500,NA,NA
"127","Pink Snapper",2005,11,15,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",534,530,520,500,NA,NA
"128","Pink Snapper",2005,12,18,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",546,540,540,500,NA,NA
"129","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",645,640,640,600,NA,NA
"130","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",709,700,700,700,NA,NA
"131","Pink Snapper",2006,1,6,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",953,950,940,950,NA,NA
"132","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",564,560,560,550,NA,NA
"133","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",622,620,620,600,NA,NA
"134","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",616,610,600,600,NA,NA
"135","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",645,640,640,600,NA,NA
"136","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",627,620,620,600,NA,NA
"137","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",564,560,560,550,NA,NA
"138","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",570,570,560,550,NA,NA
"139","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",599,590,580,550,NA,NA
"140","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",602,600,600,600,NA,NA
"141","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",622,620,620,600,NA,NA
"142","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",620,620,620,600,NA,NA
"143","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",545,540,540,500,NA,NA
"144","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",488,480,480,450,NA,NA
"145","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",563,560,560,550,NA,NA
"146","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",608,600,600,600,NA,NA
"147","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",618,610,600,600,NA,NA
"148","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",553,550,540,550,NA,NA
"149","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",518,510,500,500,NA,NA
"150","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",546,540,540,500,NA,NA
"151","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",603,600,600,600,NA,NA
"152","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",609,600,600,600,NA,NA
"153","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",537,530,520,500,NA,NA
"154","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",672,670,660,650,NA,NA
"155","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",642,640,640,600,NA,NA
"156","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",689,680,680,650,NA,NA
"157","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",656,650,640,650,NA,NA
"158","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",659,650,640,650,NA,NA
"159","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",537,530,520,500,NA,NA
"160","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",602,600,600,600,NA,NA
"161","Pink Snapper",2006,2,15,"South-West","Busselton",NA,NA,NA,"Recreational","LINE",470,470,460,450,NA,NA
"162","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",641,640,640,600,NA,NA
"163","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",630,630,620,600,NA,NA
"164","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",675,670,660,650,NA,NA
"165","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",606,600,600,600,NA,NA
"166","Pink Snapper",2006,2,15,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Commercial","LINE",581,580,580,550,NA,NA
"167","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",452,450,440,450,NA,NA
"168","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",581,580,580,550,NA,NA
"169","Pink Snapper",2006,2,14,"South-West","West Of Cape Naturaliste",NA,NA,NA,"Recreational","LINE",525,520,520,500,NA,NA
"170","Pink Snapper",2006,3,4,"Metro","Ocean Reef",NA,NA,NA,"Recreational","LINE",545,540,540,500,NA,NA
"171","Pink Snapper",2006,4,20,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",513,510,500,500,6.41667,6
"172","Pink Snapper",2006,5,12,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",459,450,440,450,3.5,3
"173","Pink Snapper",2006,8,9,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",653,650,640,650,6.75,6
"174","Pink Snapper",2006,9,3,"Metro","Point Peron",NA,NA,NA,"Recreational","LINE",565,560,560,550,4.83333,4
"175","Pink Snapper",2006,9,13,"Metro","South West Bank",NA,NA,NA,"Recreational","LINE",525,520,520,500,6.83333,6
"176","Pink Snapper",2006,9,27,"Metro","South West Bank",NA,NA,NA,"Recreational","LINE",575,570,560,550,6.83333,6
"177","Pink Snapper",2006,10,15,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",428,420,420,400,1.91667,1
"178","Pink Snapper",2006,10,26,"Metro","Hillarys",NA,NA,NA,"Recreational","LINE",454,450,440,450,6.91667,6
"179","Pink Snapper",2006,11,2,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",464,460,460,450,5,5
"180","Pink Snapper",2006,11,10,"Metro","Mandurah",NA,NA,NA,"Recreational","LINE",552,550,540,550,5,5
"181","Pink Snapper",2006,11,26,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",467,460,460,450,5,5
"182","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",555,550,540,550,4.08333,4
"183","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",425,420,420,400,4.08333,4
"184","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",649,640,640,600,8.08333,8
"185","Pink Snapper",2006,12,20,"Metro","Lancelin",NA,NA,NA,"Recreational","LINE",427,420,420,400,4.08333,4
"186","Pink Snapper",2006,12,21,"South-West","Bunbury",NA,NA,NA,"Recreational","LINE",531,530,520,500,NA,NA
"187","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",477,470,460,450,3.08333,3
"188","Pink Snapper",2006,12,27,"Metro","Garden Island",NA,NA,NA,"Recreational","LINE",424,420,420,400,3.08333,3
