"","Species","Year","Month","Day","Region","Location","Site","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50"
"1","Pink Snapper",2005,1,15,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",855,850,840,850
"2","Pink Snapper",2005,1,4,"Metro","Seabird",NA,NA,NA,"Recreational","LINE",710,710,700,700
"3","Pink Snapper",2005,1,20,"South-West","Geographe Bay",NA,NA,NA,"Recreational","LINE",559,550,540,550
"4","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",412,410,400,400
"5","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",448,440,440,400
"6","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",418,410,400,400
"7","Pink Snapper",2005,2,15,"South-West","Cape Naturaliste",NA,NA,NA,"Recreational","LINE",414,410,400,400
"8","Pink Snapper",2005,2,16,"Metro","Rottnest",NA,NA,NA,"Recreational","LINE",453,450,440,450
"9","Pink Snapper",2005,2,20,"Metro","Two Rocks",NA,NA,NA,"Recreational","LINE",819,810,800,800
"10","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",681,680,680,650
"11","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",762,760,760,750
"12","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",619,610,600,600
"13","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",605,600,600,600
"14","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",680,680,680,650
"15","Pink Snapper",2005,2,2,"South-West","Cape Naturaliste",NA,-33.20833397,114.7916679,"Commercial","LINE",583,580,580,550
