"","sample","length","campaignid","scientific"
"1","NCB1210",582.21896,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"2","NCB1210",580.23626,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"3","NCB1210",513.04157,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"4","NCB1210",475.09925,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"5","NCB1210",495.8232,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"6","NCB1210",477.97246,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"7","NCB1210",589.78818,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"8","NCB1210",484.71157,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"9","NCB1184",457.3774,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"10","NCB1184",511.0303,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"11","NCB1184",507.8832,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"12","NCB1184",415.819,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"13","NCB1184",455.45757,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"14","NCB1184",398.75639,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"15","NCB1140",664.03843,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"16","NCB1190",589.30014,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"17","NCB1190",656.22254,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"18","NCB1142",641.38968,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"19","NCB1213",518.62939,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"20","NCB1213",493.20592,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"21","NCB1213",484.14175,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"22","NCB1213",500.06358,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"23","NCB1213",475.22514,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"24","NCB1213",539.21188,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"25","NCB1045",211.23829,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"26","NCB1038",613.24007,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"27","NCB1145",551.52679,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"28","NCB1145",592.9365,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"29","NCB1145",517.30838,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"30","NCB1145",561.87886,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"31","NCB1145",507.30685,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"32","NCB1145",534.02387,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"33","NCB1145",543.59566,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"34","NCB1126",369.35779,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"35","NCB1188",274.95112,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"36","NCB1188",316.64852,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"37","NCB1188",366.15629,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"38","NCB1188",263.55184,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"39","NCB1188",505.26349,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"40","NCB1188",286.18055,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"41","NCB1188",343.77473,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"42","NCB1188",377.60387,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"43","NCB1188",377.05445,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"44","NCB1048",450.55183,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"45","NCB1174",605.43625,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"46","NCB1182",364.46439,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"47","NCB1182",319.19673,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"48","NCB1182",480.50431,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"49","NCB1152",438.14262,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"50","NCB1152",503.15658,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"51","NCB1180",555.61666,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"52","NCB1039",649.46525,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"53","NCB1173",678.65589,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"54","NCB1173",418.25435,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"55","NCB1173",429.45682,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"56","NCB1173",563.41035,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"57","NCB1173",426.47276,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"58","NCB1173",426.22841,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"59","NCB1041",398.27966,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"60","NCB1041",371.10218,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"61","NCB1041",456.62892,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"62","NCB1149",453.62579,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"63","NCB1149",441.71084,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"64","NCB1149",453.67895,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"65","NCB1149",431.99249,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"66","NCB1186",595.45052,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"67","NCB1186",558.8192,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"68","NCB1186",537.6579,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"69","NCB1186",474.14137,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"70","NCB1186",562.39648,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"71","NCB1211",572.09701,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"72","NCB1211",562.09266,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"73","NCB1211",522.3665,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"74","NCB1211",440.71713,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"75","NCB1187",378.35514,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"76","NCB1165",334.19528,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"77","NCB1165",487.44268,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"78","NCB1209",610.35726,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"79","NCB1216",522.36483,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"80","NCB1181",233.89982,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"81","NCB1181",427.55366,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"82","NCB1164",400.01945,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"83","NCB1164",420.81459,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"84","NCB1164",393.93369,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"85","NCB1164",405.08391,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"86","NCB1164",427.56621,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"87","NCB1164",531.55316,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"88","NCB1164",442.76514,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"89","NCB1164",366.39702,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"90","NCB1164",432.92027,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"91","NCB1164",480.18555,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"92","NCB1164",363.67618,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"93","NCB1053",510.18429,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"94","NCB1167",312.33164,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"95","NCB1167",578.8814,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"96","NCB1167",367.65847,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"97","NCB1167",503.65824,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"98","NCB1167",483.93869,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"99","NCB1167",531.68715,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"100","NCB1176",567.90431,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"101","NCB1150",415.62435,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"102","NCB1192",478.0961,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"103","NCB1192",670.55894,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"104","NCB1178",509.05147,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"105","NCB1178",571.35804,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"106","NCB1178",466.78428,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"107","NCB1178",532.45232,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"108","NCB1178",440.83814,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"109","NCB1178",476.65452,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"110","NCB1178",491.75823,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"111","NCB1178",439.0826,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"112","NCB1178",496.78387,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"113","NCB1178",378.55515,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"114","NCB1178",397.42192,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"115","NCB1178",427.19562,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"116","NCB1178",471.90079,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
"117","NCB1178",425.77596,"2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","Lethrinus nebulosus"
