Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone
CF1_1,-34.0127,114.959,20090301,0:00:00,Ngari Capes,Fished,CF1,29,,Yes,Yes,General Use
CF1_2,-34.0347,114.9619,20090301,16:07:00,Ngari Capes,Fished,CF1,31,,Yes,No,General Use
CF1_3,-34.0283,114.9645,20090301,0:00:00,Ngari Capes,Fished,CF1,31,,Yes,Yes,General Use
CF1_4,-34.0304,114.9596,20090301,0:00:00,Ngari Capes,Fished,CF1,32,,Yes,Yes,General Use
CF1_5,-34.0314,114.9672,20090301,0:00:00,Ngari Capes,Fished,CF1,28,,Yes,Yes,General Use
CF2_1,-34.0488,114.9616,20090301,14:50:00,Ngari Capes,Fished,CF2,30,,Yes,No,General Use
CF2_2,-34.0488,114.9582,20090301,14:47:00,Ngari Capes,Fished,CF2,31,,Yes,No,General Use
CF2_3,-34.0461,114.9615,20090301,14:52:00,Ngari Capes,Fished,CF2,30,,Yes,No,General Use
CF2_4,-34.0518,114.9614,20090301,14:44:00,Ngari Capes,Fished,CF2,32,,Yes,No,General Use
CF2_5,-34.0502,114.9645,20090301,14:55:00,Ngari Capes,Fished,CF2,33,,Yes,No,General Use
CF6_1,-34.1275,114.9704,20090301,0:00:00,Ngari Capes,Fished,CF6,31,,Yes,Yes,General Use
CF6_2,-34.131,114.9652,20090301,9:03:00,Ngari Capes,Fished,CF6,34,,Yes,No,General Use
CF6_3,-34.131,114.9708,20090301,0:00:00,Ngari Capes,Fished,CF6,32,,Yes,Yes,General Use
CF6_4,-34.1285,114.9674,20090301,0:00:00,Ngari Capes,Fished,CF6,32,,Yes,Yes,General Use
CF6_5,-34.1269,114.9641,20090301,0:00:00,Ngari Capes,Fished,CF6,32,,Yes,Yes,General Use
CF7_1,-34.1445,114.9778,20090301,0:00:00,Ngari Capes,Fished,CF7,30,,Yes,Yes,General Use
CF7_2,-34.1477,114.9773,20090301,11:18:00,Ngari Capes,Fished,CF7,30,,Yes,No,General Use
CF7_3,-34.1458,114.9815,20090301,0:00:00,Ngari Capes,Fished,CF7,30,,Yes,Yes,General Use
CF7_4,-34.1446,114.9736,20090301,0:00:00,Ngari Capes,Fished,CF7,32,,Yes,Yes,General Use
CF7_5,-34.1415,114.9792,20090301,0:00:00,Ngari Capes,Fished,CF7,30,,Yes,Yes,General Use
CL1_1,-34.35721,115.06417,20090301,8:12:00,Ngari Capes,Fished,CL1,26,,Yes,No,General Use
CL1_2,-34.35542,115.06177,20090301,8:00:00,Ngari Capes,Fished,CL1,23,,Yes,No,General Use
CL1_3,-34.35844,115.06157,20090301,0:00:00,Ngari Capes,Fished,CL1,28,,Yes,Yes,General Use
CL1_4,-34.35532,115.06578,20090301,0:00:00,Ngari Capes,Fished,CL1,23,,Yes,Yes,General Use
CL1_5,-34.35745,115.06715,20090301,0:00:00,Ngari Capes,Fished,CL1,25,,Yes,Yes,General Use
CL2_1,-34.3644,115.07297,20090301,8:32:00,Ngari Capes,Fished,CL2,27,,Yes,No,General Use
CL2_2,-34.36204,115.07282,20090301,8:24:00,Ngari Capes,Fished,CL2,25,,Yes,No,General Use
CL2_3,-34.36375,115.07592,20090301,8:28:00,Ngari Capes,Fished,CL2,23,,Yes,No,General Use
CL2_4,-34.36358,115.07009,20090301,8:20:00,Ngari Capes,Fished,CL2,28,,Yes,No,General Use
CL2_5,-34.36616,115.07069,20090301,8:37:00,Ngari Capes,Fished,CL2,29,,Yes,Yes,General Use
CL6_1,-34.40822,115.12167,20090301,13:22:00,Ngari Capes,Fished,CL6,29,,Yes,No,General Use
CL6_2,-34.40657,115.12447,20090301,13:25:00,Ngari Capes,Fished,CL6,25,,Yes,No,General Use
CL6_3,-34.40568,115.12019,20090301,0:00:00,Ngari Capes,Fished,CL6,28,,Yes,Yes,General Use
CL6_4,-34.41005,115.11918,20090301,0:00:00,Ngari Capes,Fished,CL6,24,,Yes,Yes,General Use
CL6_5,-34.40795,115.11758,20090301,0:00:00,Ngari Capes,Fished,CL6,26,,Yes,Yes,General Use
CL7_1,-34.41598,115.1302,20090301,0:00:00,Ngari Capes,Fished,CL7,29,,Yes,Yes,General Use
CL7_2,-34.41317,115.12935,20090301,13:32:00,Ngari Capes,Fished,CL7,29,,Yes,No,General Use
CL7_3,-34.4152,115.12618,20090301,0:00:00,Ngari Capes,Fished,CL7,29,,Yes,Yes,General Use
CL7_4,-34.41515,115.12649,20090301,0:00:00,Ngari Capes,Fished,CL7,31,,Yes,Yes,General Use
CL7_5,-34.41844,115.12946,20090301,0:00:00,Ngari Capes,Fished,CL7,27,,Yes,Yes,General Use
CNB1_1,-33.5198,115.023,20090301,0:00:00,Ngari Capes,Fished,CNB1,20,,Yes,Yes,General Use
CNB1_2,-33.5219,115.0237,20090301,13:06:00,Ngari Capes,Fished,CNB1,20,,Yes,No,General Use
CNB1_3,-33.5188,115.0253,20090301,0:00:00,Ngari Capes,Fished,CNB1,27,,Yes,Yes,General Use
CNB1_4,-33.5174,115.0232,20090301,0:00:00,Ngari Capes,Fished,CNB1,27,,Yes,Yes,General Use
CNB1_5,-33.5214,115.0263,20090301,0:00:00,Ngari Capes,Fished,CNB1,23,,Yes,Yes,General Use
CNB2_1,-33.52,115.0172,20090301,13:19:00,Ngari Capes,Fished,CNB2,15,,Yes,No,General Use
CNB2_2,-33.5154,115.0165,20090301,13:25:00,Ngari Capes,Fished,CNB2,31,,Yes,No,General Use
CNB2_3,-33.5185,115.0151,20090301,13:22:00,Ngari Capes,Fished,CNB2,28,,Yes,No,General Use
CNB2_4,-33.5183,115.018,20090301,13:30:00,Ngari Capes,Fished,CNB2,28,,Yes,No,General Use
CNB2_5,-33.517,115.0165,20090301,13:28:00,Ngari Capes,Fished,CNB2,29,,Yes,No,General Use
CNB6_1,-33.5481,114.9986,20090301,0:00:00,Ngari Capes,Fished,CNB6,18,,Yes,Yes,General Use
CNB6_2,-33.5459,114.9983,20090301,8:15:00,Ngari Capes,Fished,CNB6,28,,Yes,No,General Use
CNB6_3,-33.5451,114.9959,20090301,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB6_4,-33.5453,115.0005,20090301,0:00:00,Ngari Capes,Fished,CNB6,9,,Yes,Yes,General Use
CNB6_5,-33.5435,114.9984,20090301,0:00:00,Ngari Capes,Fished,CNB6,28,,Yes,Yes,General Use
CNB7_1,-33.5539,114.9992,20090301,0:00:00,Ngari Capes,Fished,CNB7,17,,Yes,Yes,General Use
CNB7_2,-33.5547,114.9971,20090301,7:54:00,Ngari Capes,Fished,CNB7,14,,Yes,No,General Use
CNB7_3,-33.5561,114.9994,20090301,0:00:00,Ngari Capes,Fished,CNB7,14,,Yes,Yes,General Use
CNB7_4,-33.5537,115.0014,20090301,0:00:00,Ngari Capes,Fished,CNB7,9,,Yes,Yes,General Use
CNB7_5,-33.5523,114.9988,20090301,0:00:00,Ngari Capes,Fished,CNB7,17,,Yes,Yes,General Use
INB1_1,-33.6632,114.9891,20090301,0:00:00,Ngari Capes,Fished,INB1,14,,Yes,Yes,General Use
INB1_2,-33.6633,114.993,20090301,7:47:00,Ngari Capes,Fished,INB1,5,,Yes,No,General Use
INB1_3,-33.6642,114.9883,20090301,7:56:00,Ngari Capes,Fished,INB1,7,,Yes,No,General Use
INB1_4,-33.6604,114.9934,20090301,8:01:00,Ngari Capes,Fished,INB1,16,,Yes,No,General Use
INB1_5,-33.6648,114.9904,20090301,0:00:00,Ngari Capes,Fished,INB1,1,,Yes,Yes,General Use
INB2_1,-33.6696,114.9817,20090301,7:34:00,Ngari Capes,Fished,INB2,40,,Yes,No,General Use
INB2_2,-33.6713,114.9816,20090301,7:26:00,Ngari Capes,Fished,INB2,40,,Yes,No,General Use
INB2_3,-33.6703,114.9843,20090301,7:31:00,Ngari Capes,Fished,INB2,25,,Yes,No,General Use
INB2_4,-33.6726,114.9851,20090301,7:23:00,Ngari Capes,Fished,INB2,25,,Yes,No,General Use
INB2_5,-33.6686,114.9857,20090301,7:38:00,Ngari Capes,Fished,INB2,27,,Yes,No,General Use
INB6_1,-33.7109,114.9604,20090301,0:00:00,Ngari Capes,Fished,INB6,35,,Yes,Yes,General Use
INB6_2,-33.7118,114.9576,20090301,13:31:00,Ngari Capes,Fished,INB6,41,,Yes,No,General Use
INB6_3,-33.7132,114.9607,20090301,0:00:00,Ngari Capes,Fished,INB6,38,,Yes,Yes,General Use
INB6_4,-33.7089,114.9589,20090301,0:00:00,Ngari Capes,Fished,INB6,41,,Yes,Yes,General Use
INB6_5,-33.7118,114.9628,20090301,0:00:00,Ngari Capes,Fished,INB6,30,,Yes,Yes,General Use
INB7_1,-33.7205,114.9673,20090301,0:00:00,Ngari Capes,Fished,INB7,19,,Yes,Yes,General Use
INB7_2,-33.7234,114.9739,20090301,13:51:00,Ngari Capes,Fished,INB7,13,,Yes,No,General Use
INB7_3,-33.7205,114.9711,20090301,0:00:00,Ngari Capes,Fished,INB7,16,,Yes,Yes,General Use
INB7_4,-33.7226,114.9705,20090301,0:00:00,Ngari Capes,Fished,INB7,18,,Yes,Yes,General Use
INB7_5,-33.7184,114.9703,20090301,0:00:00,Ngari Capes,Fished,INB7,18,,Yes,Yes,General Use
CF3_1,-34.0705,114.9601,20090301,0:00:00,Ngari Capes,No-take,CF3,30,,Yes,Yes,Sanctuary Zone
CF3_2,-34.0676,114.9593,20090301,14:36:00,Ngari Capes,No-take,CF3,29,,Yes,No,Sanctuary Zone
CF3_3,-34.0702,114.9557,20090301,0:00:00,Ngari Capes,No-take,CF3,30,,Yes,Yes,Sanctuary Zone
CF3_4,-34.0707,114.9639,20090301,14:39:00,Ngari Capes,No-take,CF3,31,,Yes,No,Sanctuary Zone
CF3_5,-34.0735,114.9588,20090301,0:00:00,Ngari Capes,No-take,CF3,32,,Yes,Yes,Sanctuary Zone
CF4_1,-34.0875,114.9633,20090301,0:00:00,Ngari Capes,No-take,CF4,32,,Yes,Yes,Sanctuary Zone
CF4_2,-34.088,114.9596,20090301,13:03:00,Ngari Capes,No-take,CF4,32,,Yes,No,Sanctuary Zone
CF4_3,-34.0849,114.9612,20090301,0:00:00,Ngari Capes,No-take,CF4,31,,Yes,Yes,Sanctuary Zone
CF4_4,-34.0861,114.9669,20090301,0:00:00,Ngari Capes,No-take,CF4,32,,Yes,Yes,Sanctuary Zone
CF4_5,-34.0897,114.9657,20090301,12:56:00,Ngari Capes,No-take,CF4,30,,Yes,No,Sanctuary Zone
CF5_1,-34.1042,114.96,20090301,0:00:00,Ngari Capes,No-take,CF5,29,,Yes,Yes,Sanctuary Zone
CF5_2,-34.1027,114.9568,20090301,12:44:00,Ngari Capes,No-take,CF5,33,,Yes,No,Sanctuary Zone
CF5_3,-34.1099,114.955,20090301,0:00:00,Ngari Capes,No-take,CF5,31,,Yes,Yes,Sanctuary Zone
CF5_4,-34.1078,114.9603,20090301,0:00:00,Ngari Capes,No-take,CF5,26,,Yes,Yes,Sanctuary Zone
CF5_5,-34.1058,114.956,20090301,12:41:00,Ngari Capes,No-take,CF5,32,,Yes,No,Sanctuary Zone
CL3_1,-34.37869,115.0885,20090301,0:00:00,Ngari Capes,No-take,CL3,25,,Yes,Yes,Sanctuary Zone
CL3_2,-34.37764,115.0855,20090301,9:55:00,Ngari Capes,No-take,CL3,25,,Yes,No,Sanctuary Zone
