Sample	Family	Genus	Species	Count	Length
CF1_1	Aracanidae	Anoplocapros	lenticularis	1	257.0687
CF1_1	Labridae	Austrolabrus	maculatus	1	97.3084
CF1_1	Labridae	Coris	auricularis	1	62.4997
CF1_1	Labridae	Coris	auricularis	1	66.4612
CF1_1	Labridae	Coris	auricularis	2	66.7504
CF1_1	Labridae	Coris	auricularis	1	73.2038
CF1_1	Labridae	Coris	auricularis	1	74.091
CF1_1	Labridae	Coris	auricularis	3	81.8207
CF1_1	Labridae	Coris	auricularis	2	108.2167
CF1_1	Labridae	Coris	auricularis	1	111.9815
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	119.3114
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	123.6373
CF1_1	Labridae	Ophthalmolepis	lineolatus	2	141.3714
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	161.6106
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	181.1735
CF1_1	Labridae	Ophthalmolepis	lineolatus	3	190.1841
CF1_1	Labridae	Ophthalmolepis	lineolatus	1	270.6981
CF1_1	Labridae	Pseudolabrus	biserialis	1	85.6853
CF1_1	Labridae	Pseudolabrus	biserialis	1	101.1723
CF1_1	Labridae	Pseudolabrus	biserialis	1	133.8625
CF1_1	Labridae	Pseudolabrus	biserialis	2	171.2568
CF1_1	Monacanthidae	Meuschenia	galii	1	232.1784
CF1_1	Pomacentridae	Chromis	klunzingeri	1	66.4924
CF1_1	Pomacentridae	Chromis	klunzingeri	1	74.1596
CF1_1	Scorpididae	Neatypus	obliquus	1	50.6901
CF1_1	Scorpididae	Neatypus	obliquus	1	55.0419
CF1_1	Serranidae	Caesioperca	rasor	1	196.8553
CF1_1	Serranidae	Hypoplectrodes	nigroruber	1	169.1769
CF1_2	Gerreidae	Parequula	melbournensis	1	NA
CF1_2	Labridae	Austrolabrus	maculatus	1	NA
CF1_2	Labridae	Coris	auricularis	3	NA
CF1_2	Labridae	Notolabrus	parilus	1	NA
CF1_2	Labridae	Ophthalmolepis	lineolatus	10	NA
CF1_2	Labridae	Pseudolabrus	biserialis	5	NA
CF1_2	Monacanthidae	Acanthaluteres	vittiger	1	NA
CF1_2	Monacanthidae	Meuschenia	galii	2	NA
CF1_2	Monacanthidae	Scobinichthys	granulatus	1	NA
CF1_2	Mullidae	Upeneichthys	vlamingii	2	NA
CF1_2	Scorpididae	Neatypus	obliquus	2	NA
CF1_2	Urolophidae	Urolophus	circularis	1	NA
CF1_3	Dasyatidae	Bathytoshia	brevicaudata	1	596.1812
CF1_3	Labridae	Austrolabrus	maculatus	1	105.7609
CF1_3	Labridae	Coris	auricularis	1	104.2619
CF1_3	Labridae	Coris	auricularis	1	104.3301
CF1_3	Labridae	Notolabrus	parilus	1	413.1589
CF1_3	Labridae	Ophthalmolepis	lineolatus	3	109.7989
CF1_3	Labridae	Ophthalmolepis	lineolatus	7	115.2472
CF1_3	Labridae	Ophthalmolepis	lineolatus	1	144.5919
CF1_3	Labridae	Ophthalmolepis	lineolatus	2	160.6974
CF1_3	Labridae	Ophthalmolepis	lineolatus	5	165.322
CF1_3	Labridae	Ophthalmolepis	lineolatus	6	167.4316
CF1_3	Labridae	Ophthalmolepis	lineolatus	1	196.3578
CF1_3	Labridae	Ophthalmolepis	lineolatus	4	239.3506
CF1_3	Labridae	Pictilabrus	laticlavius	1	183.3744
CF1_3	Labridae	Pseudolabrus	biserialis	2	119.869
CF1_3	Labridae	Pseudolabrus	biserialis	1	125.1703
CF1_3	Labridae	Pseudolabrus	biserialis	1	139.0273
CF1_3	Labridae	Pseudolabrus	biserialis	3	144.1793
CF1_3	Labridae	Pseudolabrus	biserialis	4	167.1506
CF1_3	Monacanthidae	Meuschenia	galii	1	228.4959
CF1_3	Monacanthidae	Meuschenia	galii	1	237.3287
CF1_3	Pomacentridae	Chromis	klunzingeri	12	51.1937
CF1_3	Pomacentridae	Chromis	klunzingeri	11	52.4575
