Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone,,,,,,,,,,,,,,,
CF1_1,-34.03191,114.96272,20130101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CF1_2,-34.03489,114.96169,20130101,0:00:00,Ngari Capes,Fished,CF1,34,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CF1_3,-34.02855,114.96413,20130101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CF1_4,-34.03055,114.95936,20130101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CF1_5,-34.03157,114.96696,20130101,0:00:00,Ngari Capes,Fished,CF1,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CF2_1,-34.04905,114.96148,20130101,0:00:00,Ngari Capes,Fished,CF2,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CF2_2,-34.0488,114.95819,20130101,0:00:00,Ngari Capes,Fished,CF2,34,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CF2_3,-34.04633,114.96125,20130101,0:00:00,Ngari Capes,Fished,CF2,32,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CF6_1,-34.12745,114.9704,20130101,0:00:00,Ngari Capes,Fished,CF6,32.7,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CF6_2,-34.13093,114.96524,20130101,0:00:00,Ngari Capes,Fished,CF6,34,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CF6_3,-34.131,114.97077,20130101,10:10:00,Ngari Capes,Fished,CF6,32,,Yes,No,General Use,,,,,,,,,,,,,,,3
CF6_4,-34.12856,114.96747,20130101,10:20:00,Ngari Capes,Fished,CF6,34,,Yes,No,General Use,,,,,,,,,,,,,,,4
CF6_5,-34.12694,114.96409,20130101,0:00:00,Ngari Capes,Fished,CF6,33,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CF7_1,-34.14448,114.97774,20130101,0:00:00,Ngari Capes,Fished,CF7,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,1
CF7_2,-34.14769,114.97721,20130101,0:00:00,Ngari Capes,Fished,CF7,34,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CF7_3,-34.14556,114.98145,20130101,0:00:00,Ngari Capes,Fished,CF7,33.5,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CF7_4,-34.14455,114.97364,20130101,0:00:00,Ngari Capes,Fished,CF7,35,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CF7_5,-34.14146,114.97915,20130101,0:00:00,Ngari Capes,Fished,CF7,33,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CL1_1,-34.35721,115.06417,20130101,9:28:00,Ngari Capes,Fished,CL1,28.8,,Yes,No,General Use,,,,,,,,,,,,,,,1
CL1_2,-34.35542,115.06177,20130101,0:00:00,Ngari Capes,Fished,CL1,29.8,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CL1_3,-34.35844,115.06157,20130101,0:00:00,Ngari Capes,Fished,CL1,31.9,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CL1_4,-34.35532,115.06578,20130101,0:00:00,Ngari Capes,Fished,CL1,22.8,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
CL1_5,-34.35745,115.06715,20130101,0:00:00,Ngari Capes,Fished,CL1,21.7,,Yes,Yes,General Use,,,,,,,,,,,,,,,5
CL2_1,-34.3644,115.07297,20130101,10:53:00,Ngari Capes,Fished,CL2,29.2,,Yes,No,General Use,,,,,,,,,,,,,,,1
CL2_2,-34.36204,115.07282,20130101,0:00:00,Ngari Capes,Fished,CL2,26.7,,Yes,Yes,General Use,,,,,,,,,,,,,,,2
CL2_3,-34.36375,115.07592,20130101,0:00:00,Ngari Capes,Fished,CL2,24.6,,Yes,Yes,General Use,,,,,,,,,,,,,,,3
CL2_4,-34.36358,115.07009,20130101,0:00:00,Ngari Capes,Fished,CL2,29.5,,Yes,Yes,General Use,,,,,,,,,,,,,,,4
