Sample	Family	Genus	Species	Count
CF1_1	Carangidae	Pseudocaranx	spp.	2
CF1_1	Labridae	Coris	auricularis	24
CF1_1	Labridae	Notolabrus	parilus	2
CF1_1	Labridae	Ophthalmolepis	lineolatus	12
CF1_1	Labridae	Pseudolabrus	biserialis	5
CF1_1	Monacanthidae	Meuschenia	galii	1
CF1_1	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_1	Pomacentridae	Chromis	klunzingeri	21
CF1_1	Scorpididae	Neatypus	obliquus	10
CF1_1	Serranidae	Caesioperca	rasor	3
CF1_2	Labridae	Austrolabrus	maculatus	4
CF1_2	Labridae	Coris	auricularis	35
CF1_2	Labridae	Eupetrichthys	angustipes	1
CF1_2	Labridae	Halichoeres	brownfieldi	1
CF1_2	Labridae	Ophthalmolepis	lineolatus	7
CF1_2	Labridae	Pseudolabrus	biserialis	3
CF1_2	Monacanthidae	Meuschenia	galii	1
CF1_2	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_2	Neosebastidae	Neosebastes	pandus	1
CF1_2	Pomacentridae	Chromis	klunzingeri	6
CF1_2	Rhinobatidae	Trygonorrhina	dumerilii	1
CF1_2	Scorpididae	Neatypus	obliquus	6
CF1_2	Serranidae	Caesioperca	spp	1
CF1_3	Labridae	Austrolabrus	maculatus	1
CF1_3	Labridae	Coris	auricularis	5
CF1_3	Labridae	Notolabrus	parilus	1
CF1_3	Labridae	Ophthalmolepis	lineolatus	6
CF1_3	Labridae	Pictilabrus	laticlavius	1
CF1_3	Labridae	Pseudolabrus	biserialis	3
CF1_3	Monacanthidae	Scobinichthys	granulatus	1
CF1_3	Mullidae	Upeneichthys	vlamingii	1
CF1_3	Myliobatidae	Myliobatis	tenuicaudatus	1
CF1_3	Pomacentridae	Chromis	klunzingeri	8
CF1_3	Scorpididae	Neatypus	obliquus	4
CF1_3	Serranidae	Caesioperca	spp	1
CF1_4	Aracanidae	Anoplocapros	amygdaloides	2
CF1_4	Carangidae	Pseudocaranx	spp.	4
CF1_4	Dasyatidae	Bathytoshia	brevicaudata	1
CF1_4	Heterodontidae	Heterodontus	portusjacksoni	1
CF1_4	Labridae	Austrolabrus	maculatus	1
CF1_4	Labridae	Coris	auricularis	4
CF1_4	Labridae	Notolabrus	parilus	2
CF1_4	Labridae	Ophthalmolepis	lineolatus	14
CF1_4	Labridae	Pseudolabrus	biserialis	3
CF1_4	Monacanthidae	Meuschenia	galii	1
CF1_4	Monacanthidae	Scobinichthys	granulatus	1
CF1_4	Mullidae	Upeneichthys	vlamingii	1
CF1_4	Pomacentridae	Chromis	klunzingeri	3
CF1_4	Scorpididae	Neatypus	obliquus	3
CF1_4	Serranidae	Caesioperca	spp	12
CF1_5	Carangidae	Pseudocaranx	spp.	1
CF1_5	Labridae	Austrolabrus	maculatus	1
CF1_5	Labridae	Bodianus	frenchii	1
CF1_5	Labridae	Coris	auricularis	24
CF1_5	Labridae	Notolabrus	parilus	1
CF1_5	Labridae	Ophthalmolepis	lineolatus	6
CF1_5	Labridae	Pseudolabrus	biserialis	4
CF1_5	Monacanthidae	Meuschenia	flavolineata	1
CF1_5	Monacanthidae	Meuschenia	galii	1
CF1_5	Monacanthidae	Scobinichthys	granulatus	1
CF1_5	Plesiopidae	Trachinops	noarlungae	4
CF1_5	Pomacentridae	Chromis	klunzingeri	7
CF1_5	Pomacentridae	Parma	mccullochi	1
CF1_5	Scorpididae	Neatypus	obliquus	2
CF1_5	Scorpididae	Scorpis	georgiana	1
CF1_5	Serranidae	Caesioperca	rasor	1
CF2_1	Carangidae	Pseudocaranx	spp.	2
CF2_1	Dasyatidae	Bathytoshia	brevicaudata	1
CF2_1	Heterodontidae	Heterodontus	portusjacksoni	1
CF2_1	Labridae	Coris	auricularis	13
CF2_1	Labridae	Notolabrus	parilus	1
CF2_1	Labridae	Ophthalmolepis	lineolatus	7
CF2_1	Labridae	Pseudolabrus	biserialis	4
CF2_1	Mullidae	Upeneichthys	vlamingii	1
CF2_1	Serranidae	Caesioperca	spp	1
CF2_1	Serranidae	Epinephelides	armatus	1
CF2_2	Labridae	Austrolabrus	maculatus	1
CF2_2	Labridae	Bodianus	frenchii	1
CF2_2	Labridae	Coris	auricularis	10
CF2_2	Labridae	Notolabrus	parilus	2
CF2_2	Labridae	Ophthalmolepis	lineolatus	18
CF2_2	Labridae	Pseudolabrus	biserialis	6
CF2_2	Monacanthidae	Meuschenia	galii	3
CF2_2	Monacanthidae	Scobinichthys	granulatus	1
CF2_2	Muraenidae	Gymnothorax	prasinus	2
CF2_2	Pempherididae	Pempheris	klunzingeri	79
CF2_2	Scorpididae	Neatypus	obliquus	1
CF2_2	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF2_3	Carangidae	Pseudocaranx	spp.	10
CF2_3	Dasyatidae	Bathytoshia	brevicaudata	1
CF2_3	Labridae	Austrolabrus	maculatus	3
CF2_3	Labridae	Coris	auricularis	10
CF2_3	Labridae	Notolabrus	parilus	1
CF2_3	Labridae	Ophthalmolepis	lineolatus	19
CF2_3	Labridae	Pseudolabrus	biserialis	3
CF2_3	Mullidae	Upeneichthys	vlamingii	1
CF2_3	Odacidae	Heteroscarus	acroptilus	1
CF2_3	Rhinobatidae	Trygonorrhina	dumerilii	1
CF2_3	Scorpididae	Neatypus	obliquus	9
CF2_3	Serranidae	Caesioperca	spp	1
CF2_4	Carangidae	Pseudocaranx	spp.	1
CF2_4	Carangidae	Seriola	hippos	1
CF2_4	Cheilodactylidae	Nemadactylus	valenciennesi	1
CF2_4	Labridae	Coris	auricularis	7
CF2_4	Labridae	Ophthalmolepis	lineolatus	11
CF2_4	Labridae	Pseudolabrus	biserialis	2
CF2_4	Monacanthidae	Meuschenia	galii	2
CF2_4	Scorpididae	Tilodon	sexfasciatus	1
CF2_4	Scyliorhinidae	Aulohalaelurus	labiosus	1
CF2_4	Sparidae	Chrysophrys	auratus	1
CF2_5	Heterodontidae	Heterodontus	portusjacksoni	1
CF2_5	Labridae	Coris	auricularis	2
CF2_5	Labridae	Notolabrus	parilus	1
CF2_5	Labridae	Ophthalmolepis	lineolatus	8
CF2_5	Labridae	Pictilabrus	laticlavius	2
CF2_5	Labridae	Pseudolabrus	biserialis	3
CF2_5	Monacanthidae	Meuschenia	galii	1
CF2_5	Monacanthidae	Meuschenia	hippocrepis	1
CF2_5	Monacanthidae	Meuschenia	venusta	1
CF2_5	Monacanthidae	Scobinichthys	granulatus	1
CF2_5	Orectolobidae	Orectolobus	hutchinsi	1
CF2_5	Pempherididae	Pempheris	klunzingeri	8
CF3_1	Carangidae	Pseudocaranx	spp.	4
CF3_1	Dasyatidae	Bathytoshia	brevicaudata	1
CF3_1	Labridae	Coris	auricularis	4
CF3_1	Labridae	Notolabrus	parilus	1
CF3_1	Labridae	Ophthalmolepis	lineolatus	8
CF3_1	Labridae	Pseudolabrus	biserialis	1
CF3_1	Monacanthidae	Acanthaluteres	vittiger	1
CF3_1	Myliobatidae	Myliobatis	tenuicaudatus	1
CF3_1	Pempherididae	Pempheris	klunzingeri	45
CF3_1	Scorpididae	Neatypus	obliquus	7
CF3_2	Kyphosidae	Kyphosus	sydneyanus	1
CF3_2	Labridae	Austrolabrus	maculatus	1
CF3_2	Labridae	Coris	auricularis	11
CF3_2	Labridae	Halichoeres	brownfieldi	2
CF3_2	Labridae	Notolabrus	parilus	2
CF3_2	Labridae	Ophthalmolepis	lineolatus	11
CF3_2	Labridae	Pseudolabrus	biserialis	2
CF3_2	Monacanthidae	Meuschenia	flavolineata	2
CF3_2	Monacanthidae	Meuschenia	galii	2
CF3_2	Odacidae	Olisthops	cyanomelas	2
CF3_2	Pempherididae	Pempheris	klunzingeri	12
CF3_2	Scorpididae	Scorpis	aequipinnis	1
CF3_2	Sparidae	Chrysophrys	auratus	1
CF3_3	Labridae	Austrolabrus	maculatus	1
CF3_3	Labridae	Coris	auricularis	10
CF3_3	Labridae	Halichoeres	brownfieldi	10
CF3_3	Labridae	Notolabrus	parilus	1
CF3_3	Labridae	Ophthalmolepis	lineolatus	7
CF3_3	Labridae	Pictilabrus	laticlavius	1
CF3_3	Labridae	Pseudolabrus	biserialis	2
CF3_3	Myliobatidae	Myliobatis	tenuicaudatus	1
CF3_3	Odacidae	Olisthops	cyanomelas	1
