"","Family","Sector","Year","Site","mean"
"1","Acroporidae","Eastern Sector",2011,"BUNBR",0.466666666666667
"2","Acroporidae","Eastern Sector",2011,"BUNN",0.133333333333333
"3","Acroporidae","Eastern Sector",2011,"BUNN+",0.0666666666666667
"4","Acroporidae","Eastern Sector",2012,"BUNBR",0
"5","Acroporidae","Eastern Sector",2012,"BUNN",0.133333333333333
"6","Acroporidae","Eastern Sector",2012,"BUNN+",0
"7","Acroporidae","Eastern Sector",2013,"BUNBR",0
"8","Acroporidae","Eastern Sector",2013,"BUNN",0
"9","Acroporidae","Eastern Sector",2013,"BUNN+",0
"10","Acroporidae","Eastern Sector",2014,"BUNBR",0
"11","Acroporidae","Eastern Sector",2014,"BUNN",0.2
"12","Acroporidae","Eastern Sector",2014,"BUNN+",0
"13","Acroporidae","Eastern Sector",2015,"BUNBR",0.2
"14","Acroporidae","Eastern Sector",2015,"BUNN",0.571428571428571
"15","Acroporidae","Eastern Sector",2015,"BUNN+",0.0769230769230769
"16","Acroporidae","Eastern Sector",2016,"BUNBR",0.133333333333333
"17","Acroporidae","Eastern Sector",2016,"BUNN",0.0666666666666667
"18","Acroporidae","Eastern Sector",2016,"BUNN+",0
"19","Acroporidae","Eastern Sector",2017,"BUNBR",0.133333333333333
"20","Acroporidae","Eastern Sector",2017,"BUNN",0.266666666666667
"21","Acroporidae","Eastern Sector",2017,"BUNN+",0.133333333333333
"22","Acroporidae","Eastern Sector",2018,"BUNBR",3.4
"23","Acroporidae","Eastern Sector",2018,"BUNN",4
"24","Acroporidae","Eastern Sector",2018,"BUNN+",0.933333333333333
"25","Acroporidae","Eastern Sector",2019,"BUNBR",1.86666666666667
"26","Acroporidae","Eastern Sector",2019,"BUNN",0.785714285714286
"27","Acroporidae","Eastern Sector",2019,"BUNN+",0.666666666666667
"28","Acroporidae","Eastern Sector",2020,"BUNBR",0.0666666666666667
"29","Acroporidae","Eastern Sector",2020,"BUNN",0.0666666666666667
"30","Acroporidae","Eastern Sector",2020,"BUNN+",0
"31","Acroporidae","Eastern Sector",2021,"BUNBR",0.285714285714286
"32","Acroporidae","Eastern Sector",2021,"BUNN",0.2
"33","Acroporidae","Eastern Sector",2021,"BUNN+",0.333333333333333
"34","Acroporidae","Northern Sector",2011,"JUR",0
"35","Acroporidae","Northern Sector",2011,"TLC",0
"36","Acroporidae","Northern Sector",2011,"TLSZ",0.6
"37","Acroporidae","Northern Sector",2012,"JUR",1.86666666666667
"38","Acroporidae","Northern Sector",2012,"TLC",0.727272727272727
"39","Acroporidae","Northern Sector",2012,"TLSZ",0.333333333333333
"40","Acroporidae","Northern Sector",2013,"JUR",0
"41","Acroporidae","Northern Sector",2013,"TLC",0.0666666666666667
"42","Acroporidae","Northern Sector",2013,"TLSZ",0.0769230769230769
"43","Acroporidae","Northern Sector",2014,"JUR",1.86666666666667
"44","Acroporidae","Northern Sector",2014,"TLC",3.78571428571429
"45","Acroporidae","Northern Sector",2014,"TLSZ",3.93333333333333
"46","Acroporidae","Northern Sector",2015,"JUR",1.41666666666667
"47","Acroporidae","Northern Sector",2015,"TLC",1
"48","Acroporidae","Northern Sector",2015,"TLSZ",0.0714285714285714
"49","Acroporidae","Northern Sector",2016,"JUR",1.6
"50","Acroporidae","Northern Sector",2016,"TLC",0.333333333333333
"51","Acroporidae","Northern Sector",2016,"TLSZ",0.2
"52","Acroporidae","Northern Sector",2017,"JUR",2.66666666666667
"53","Acroporidae","Northern Sector",2017,"TLC",1
"54","Acroporidae","Northern Sector",2017,"TLSZ",0.666666666666667
"55","Acroporidae","Northern Sector",2018,"JUR",0.533333333333333
"56","Acroporidae","Northern Sector",2018,"TLC",2.46666666666667
"57","Acroporidae","Northern Sector",2018,"TLSZ",0.533333333333333
"58","Acroporidae","Northern Sector",2019,"JUR",1.66666666666667
"59","Acroporidae","Northern Sector",2019,"TLC",0.538461538461538
"60","Acroporidae","Northern Sector",2019,"TLSZ",0.533333333333333
"61","Acroporidae","Northern Sector",2020,"JUR",42.7333333333333
"62","Acroporidae","Northern Sector",2020,"TLC",15.3333333333333
"63","Acroporidae","Northern Sector",2020,"TLSZ",3.46666666666667
"64","Acroporidae","Northern Sector",2021,"JUR",3
"65","Acroporidae","Northern Sector",2021,"TLC",0.666666666666667
"66","Acroporidae","Northern Sector",2021,"TLSZ",4
"67","Acroporidae","Southern Sector",2011,"CBBR",3.33333333333333
"68","Acroporidae","Southern Sector",2011,"CBIL",15.3333333333333
"69","Acroporidae","Southern Sector",2011,"CBLN",5.8
"70","Acroporidae","Southern Sector",2011,"CBOB",2.06666666666667
"71","Acroporidae","Southern Sector",2011,"CBSL",1.46666666666667
"72","Acroporidae","Southern Sector",2012,"CBBR",0.2
"73","Acroporidae","Southern Sector",2012,"CBIL",3.8
"74","Acroporidae","Southern Sector",2012,"CBLN",1.93333333333333
"75","Acroporidae","Southern Sector",2012,"CBOB",0.2
"76","Acroporidae","Southern Sector",2013,"CBBR",0.133333333333333
"77","Acroporidae","Southern Sector",2013,"CBIL",0
"78","Acroporidae","Southern Sector",2013,"CBOB",0
"79","Acroporidae","Southern Sector",2014,"CBBR",2.4
"80","Acroporidae","Southern Sector",2014,"CBIL",1.4
"81","Acroporidae","Southern Sector",2014,"CBLN",2.26666666666667
"82","Acroporidae","Southern Sector",2014,"CBOB",5.73333333333333
"83","Acroporidae","Southern Sector",2015,"CBBR",0.0833333333333333
"84","Acroporidae","Southern Sector",2015,"CBIL",0.8
"85","Acroporidae","Southern Sector",2015,"CBLN",0.214285714285714
"86","Acroporidae","Southern Sector",2015,"CBOB",0.0666666666666667
"87","Acroporidae","Southern Sector",2016,"CBBR",0.266666666666667
"88","Acroporidae","Southern Sector",2016,"CBIL",2.13333333333333
"89","Acroporidae","Southern Sector",2016,"CBLN",0.133333333333333
"90","Acroporidae","Southern Sector",2016,"CBOB",0.2
"91","Acroporidae","Southern Sector",2017,"CBBR",0.466666666666667
"92","Acroporidae","Southern Sector",2017,"CBIL",1.66666666666667
"93","Acroporidae","Southern Sector",2017,"CBLN",0.466666666666667
"94","Acroporidae","Southern Sector",2017,"CBOB",0.266666666666667
"95","Acroporidae","Southern Sector",2018,"CBBR",0.666666666666667
"96","Acroporidae","Southern Sector",2018,"CBIL",5.26666666666667
"97","Acroporidae","Southern Sector",2018,"CBLN",3.66666666666667
"98","Acroporidae","Southern Sector",2018,"CBOB",0.733333333333333
"99","Acroporidae","Southern Sector",2019,"CBBR",0.333333333333333
"100","Acroporidae","Southern Sector",2019,"CBIL",4.66666666666667
"101","Acroporidae","Southern Sector",2019,"CBLN",1.33333333333333
"102","Acroporidae","Southern Sector",2019,"CBOB",0.266666666666667
"103","Acroporidae","Southern Sector",2020,"CBBR",0.666666666666667
"104","Acroporidae","Southern Sector",2020,"CBIL",2.73333333333333
"105","Acroporidae","Southern Sector",2020,"CBLN",1.5
"106","Acroporidae","Southern Sector",2020,"CBOB",0
"107","Acroporidae","Southern Sector",2021,"CBBR",2.42857142857143
"108","Acroporidae","Southern Sector",2021,"CBIL",6.4
"109","Acroporidae","Southern Sector",2021,"CBLN",2.2
"110","Acroporidae","Southern Sector",2021,"CBOB",0.933333333333333
"221","Other","Eastern Sector",2011,"BUNBR",0.8
"222","Other","Eastern Sector",2011,"BUNN",0.4
"223","Other","Eastern Sector",2011,"BUNN+",0.533333333333333
"224","Other","Eastern Sector",2012,"BUNBR",0.666666666666667
"225","Other","Eastern Sector",2012,"BUNN",0
"226","Other","Eastern Sector",2012,"BUNN+",0
"227","Other","Eastern Sector",2013,"BUNBR",0
"228","Other","Eastern Sector",2013,"BUNN",0
"229","Other","Eastern Sector",2013,"BUNN+",0
"230","Other","Eastern Sector",2014,"BUNBR",0.266666666666667
"231","Other","Eastern Sector",2014,"BUNN",0.0666666666666667
"232","Other","Eastern Sector",2014,"BUNN+",0
"233","Other","Eastern Sector",2015,"BUNBR",0
"234","Other","Eastern Sector",2015,"BUNN",0
"235","Other","Eastern Sector",2015,"BUNN+",0
"236","Other","Eastern Sector",2016,"BUNBR",0
"237","Other","Eastern Sector",2016,"BUNN",0
"238","Other","Eastern Sector",2016,"BUNN+",0
"239","Other","Eastern Sector",2017,"BUNBR",0.0666666666666667
"240","Other","Eastern Sector",2017,"BUNN",0
"241","Other","Eastern Sector",2017,"BUNN+",0
"242","Other","Eastern Sector",2018,"BUNBR",0
"243","Other","Eastern Sector",2018,"BUNN",0
"244","Other","Eastern Sector",2018,"BUNN+",0
"245","Other","Eastern Sector",2019,"BUNBR",0
"246","Other","Eastern Sector",2019,"BUNN",0
"247","Other","Eastern Sector",2019,"BUNN+",0
"248","Other","Eastern Sector",2020,"BUNBR",0.0666666666666667
"249","Other","Eastern Sector",2020,"BUNN",0
