"","Sector","Year","Site","mean","sd","se"
"1","Eastern Sector",2011,"BUNBR",1.26666666666667,2.34419241856083,1.04835472004833
"2","Eastern Sector",2011,"BUNN",0.533333333333333,0.833809387832792,0.372890894294322
"3","Eastern Sector",2011,"BUNN+",0.6,1.0555973258235,0.472077475481666
"4","Eastern Sector",2012,"BUNBR",0.666666666666667,2.09307247388913,0.936050466689952
"5","Eastern Sector",2012,"BUNN",0.133333333333333,0.351865775274498,0.157359158493889
"6","Eastern Sector",2012,"BUNN+",0,0,0
"7","Eastern Sector",2013,"BUNBR",0,0,0
"8","Eastern Sector",2013,"BUNN",0,0,0
"9","Eastern Sector",2013,"BUNN+",0,0,0
"10","Eastern Sector",2014,"BUNBR",0.466666666666667,0.915475416434127,0.409413052575327
"11","Eastern Sector",2014,"BUNN",0.266666666666667,0.593616839704664,0.265473521233645
"12","Eastern Sector",2014,"BUNN+",0,0,0
"13","Eastern Sector",2015,"BUNBR",1,1.0690449676497,0.478091443733757
"14","Eastern Sector",2015,"BUNN",1.85714285714286,2.79455252402309,1.24976188208185
"15","Eastern Sector",2015,"BUNN+",0.153846153846154,0.375533808099405,0.167943824551926
"16","Eastern Sector",2016,"BUNBR",2.53333333333333,2.2318047362958,0.998093420572682
"17","Eastern Sector",2016,"BUNN",0.133333333333333,0.351865775274498,0.157359158493889
"18","Eastern Sector",2016,"BUNN+",0.2,0.560611910581388,0.250713268211203
"19","Eastern Sector",2017,"BUNBR",2.13333333333333,1.88477610139267,0.842897497016209
"20","Eastern Sector",2017,"BUNN",0.4,0.736788397613007,0.329501788419166
"21","Eastern Sector",2017,"BUNN+",0.266666666666667,0.593616839704664,0.265473521233645
"22","Eastern Sector",2018,"BUNBR",NA,NA,NA
"23","Eastern Sector",2018,"BUNN",4.14285714285714,5.1717746226274,2.31288792410064
"24","Eastern Sector",2018,"BUNN+",1.13333333333333,1.40746310109799,0.629436633975554
"25","Eastern Sector",2019,"BUNBR",5.46666666666667,5.92653436029941,2.65042674012354
"26","Eastern Sector",2019,"BUNN",0.857142857142857,1.23145585242976,0.55072379946458
"27","Eastern Sector",2019,"BUNN+",0.666666666666667,1.17513930278601,0.525538272812244
"28","Eastern Sector",2020,"BUNBR",5.2,7.32120208708925,3.27414110874898
"29","Eastern Sector",2020,"BUNN",0.0666666666666667,0.258198889747161,0.115470053837925
"30","Eastern Sector",2020,"BUNN+",0.0714285714285714,0.267261241912424,0.119522860933439
"31","Eastern Sector",2021,"BUNBR",3.35714285714286,3.00274599599825,1.34286883324348
"32","Eastern Sector",2021,"BUNN",0.266666666666667,0.457737708217063,0.204706526287664
"33","Eastern Sector",2021,"BUNN+",1,1.13389341902768,0.50709255283711
"34","Northern Sector",2011,"JUR",0.142857142857143,0.363136519601281,0.16239958858823
"35","Northern Sector",2011,"TLC",0.714285714285714,1.11269728052837,0.497613351528119
"36","Northern Sector",2011,"TLSZ",2.6,4.86679712806218,2.17649784220956
"37","Northern Sector",2012,"JUR",2.66666666666667,2.28868854108532,1.02353263143832
"38","Northern Sector",2012,"TLC",1.54545454545455,1.80906806746658,0.80903983495589
"39","Northern Sector",2012,"TLSZ",3,2.90320020470023,1.2983506020002
"40","Northern Sector",2013,"JUR",0.0666666666666667,0.258198889747161,0.115470053837925
"41","Northern Sector",2013,"TLC",0.4,0.50709255283711,0.226778683805536
"42","Northern Sector",2013,"TLSZ",1.07692307692308,1.03774904332554,0.464095480892257
"43","Northern Sector",2014,"JUR",2.06666666666667,2.91465917308321,1.30347520845148
"44","Northern Sector",2014,"TLC",4.5,2.98070719538424,1.33301278198038
"45","Northern Sector",2014,"TLSZ",13.0666666666667,21.5256214997937,9.62655058629394
"46","Northern Sector",2015,"JUR",1.5,1.38169855941551,0.617914380653325
"47","Northern Sector",2015,"TLC",1.42857142857143,1.22249969100425,0.5467184823116
"48","Northern Sector",2015,"TLSZ",1.14285714285714,1.61040572322834,0.720195333698656
"49","Northern Sector",2016,"JUR",2,2.39045721866879,1.0690449676497
"50","Northern Sector",2016,"TLC",1.13333333333333,1.06009882737862,0.474090608177282
