OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NIN_PSZ1-3-4_20130415	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1781996667	-0.0184653286	4.1847410919	0.0021536870	0.0002243808	0.0000000000	0.0019364894	0.0000437603	0.0000000000	0.0012081511	-336.4128730315	0.0000000000	0.0000000000	0.9778045743	-6.4073177209	-0.6664980685	mm
NIN_PSZ1-3-4_20130415	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1268750270	-0.0367067090	4.1835800596	0.0017733117	0.0003284371	0.0000000000	0.0020016870	-0.0007306882	0.0000000000	0.0005866786	336.4128730315	0.0000000000	0.0000000000	-0.9778045743	6.8047564900	2.7511294220	mm
NIN_CNZ1-1-1_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	-0.0031275577	-0.1336691058	4.1765125861	0.0043574125	-0.0002847098	0.0000000000	0.0006109248	-0.0021743519	0.0000000000	-0.0010462119	-333.8483381005	0.0000000000	0.0000000000	-0.0177452930	-7.8378183619	-0.8587172159	mm
NIN_CNZ1-1-1_20130417	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0149278673	-0.0623511919	4.1871460238	0.0020356296	0.0009932042	0.0000000000	-0.0003476485	-0.0006570319	0.0000000000	-0.0013617056	333.8483381005	0.0000000000	0.0000000000	0.0177452930	9.2253181119	1.8249735865	mm
NIN_CNZ1-1-2_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1075962679	-0.1093972918	4.1896993452	0.0049811629	-0.0005372094	0.0000000000	0.0010767374	-0.0015369280	0.0000000000	-0.0004461345	-331.2643474157	0.0000000000	0.0000000000	-0.5227376640	-8.0071055637	-2.5920433730	mm
NIN_CNZ1-1-2_20130417	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1401098800	0.0465973285	4.1837678000	0.0032388249	0.0006381924	0.0000000000	0.0019557876	0.0019467041	0.0000000000	-0.0005501877	331.2643474157	0.0000000000	0.0000000000	0.5227376640	5.2138993093	-0.9844856340	mm
NIN_CNZ1-1-3_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0983324878	-0.0742134898	4.1968613169	0.0039772212	0.0002011722	0.0000000000	0.0008222945	-0.0009671318	0.0000000000	-0.0005161451	-335.3663389116	0.0000000000	0.0000000000	-0.1419909267	-6.3696250919	-0.2099446890	mm
NIN_CNZ1-1-3_20130417	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0701595355	0.0663078568	4.1897135440	0.0022658059	0.0006218257	0.0000000000	0.0011282977	0.0009010949	0.0000000000	-0.0009695705	335.3663389116	0.0000000000	0.0000000000	0.1419909267	7.1930977495	-0.3138451935	mm
NIN_CNZ1-1-4_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0627590696	-0.0201292378	4.1880666676	0.0038901581	-0.0001777153	0.0000000000	0.0012315368	-0.0001385197	0.0000000000	-0.0001027798	-336.4666410463	0.0000000000	0.0000000000	0.3163313188	-7.4998957109	-2.3503446701	mm
NIN_CNZ1-1-4_20130417	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0495822471	0.0005360291	4.1787592469	0.0029558276	0.0003343077	0.0000000000	0.0008881842	-0.0006625170	0.0000000000	-0.0005204905	336.4666410463	0.0000000000	0.0000000000	-0.3163313188	8.3152759496	0.0335869272	mm
NIN_CNZ1-1-5_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0524043734	-0.0619241767	4.1814510391	0.0036708801	-0.0004808891	0.0000000000	0.0008780333	-0.0009985386	0.0000000000	-0.0002952864	-337.6851988680	0.0000000000	0.0000000000	0.2077262737	-5.9897127135	1.8306071128	mm
NIN_CNZ1-1-5_20130417	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0751082983	-0.0890267176	4.1766189143	0.0059511636	-0.0014608779	0.0000000000	0.0010923584	-0.0014534912	0.0000000000	-0.0009413795	337.6851988680	0.0000000000	0.0000000000	-0.2077262737	8.0577655569	-0.9486969753	mm
NIN_CNZ1-1-6_20130417	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0777477028	-0.1332963779	4.1962149653	0.0036306509	-0.0000790914	0.0000000000	0.0007283042	-0.0021555722	0.0000000000	-0.0011785470	-335.8469664546	0.0000000000	0.0000000000	-0.4084617090	-6.7729809937	-0.5943014489	mm
