OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NIN_PSZ1-3-4_20130415	0	0	1455.82478	705.85095	486.92491	657.83092
NIN_PSZ1-3-4_20130415	0	1	1452.22028	801.35706	488.72716	752.73637
NIN_PSZ1-3-4_20130415	1	0	831.79850	566.50834	595.86233	518.50501
NIN_PSZ1-3-4_20130415	1	1	768.11890	563.50501	520.76846	512.49833
NIN_PSZ1-3-4_20130415	2	0	1317.59700	682.49833	1135.03755	659.54171
NIN_PSZ1-3-4_20130415	2	1	1247.30914	671.68632	1068.35419	642.72303
NIN_PSZ1-3-4_20130415	3	0	1450.21277	610.27809	1241.15144	598.26474
NIN_PSZ1-3-4_20130415	3	1	1370.91364	600.66741	1172.66583	582.64739
NIN_PSZ1-3-4_20130415	4	0	957.59700	909.41046	778.57322	861.35706
NIN_PSZ1-3-4_20130415	4	1	859.07384	897.39711	714.89362	846.94105
NIN_PSZ1-3-4_20130415	5	0	1032.57822	970.07786	842.57822	925.02781
NIN_PSZ1-3-4_20130415	5	1	1121.48936	992.30256	914.06758	952.65851
NIN_PSZ1-3-4_20130415	6	0	899.92491	958.66518	723.37672	899.79978
NIN_PSZ1-3-4_20130415	6	1	986.43304	973.08120	799.07134	917.81980
NIN_PSZ1-3-4_20130415	7	0	1683.30413	842.13571	1698.92365	870.96774
NIN_PSZ1-3-4_20130415	7	1	1732.56571	851.74638	1754.19274	882.98109
NIN_PSZ1-3-4_20130415	8	0	1504.88110	977.88654	1304.39549	980.88988
NIN_PSZ1-3-4_20130415	8	1	1414.76846	964.67186	1226.29787	953.25918
NIN_PSZ1-3-4_20130415	9	0	1339.67459	888.98776	1248.36045	880.57842
NIN_PSZ1-3-4_20130415	9	1	1509.08636	904.60512	1376.92115	910.61179
NIN_PSZ1-3-4_20130415	10	0	1282.00250	665.53949	1033.29161	640.31146
NIN_PSZ1-3-4_20130415	10	1	1891.16395	499.75528	1649.66208	503.35929
NIN_PSZ1-3-4_20130415	11	0	1802.25282	706.38487	1333.66708	724.40489
NIN_PSZ1-3-4_20130415	11	1	1901.97747	750.83426	1424.98123	754.43826
NIN_PSZ1-3-4_20130415	12	0	1407.06383	384.04561	1129.24906	357.87764
NIN_PSZ1-3-4_20130415	12	1	1495.97497	421.88765	1214.55569	399.32369
NIN_PSZ1-3-4_20130415	13	0	1095.08260	527.92436	901.15269	490.70300
NIN_PSZ1-3-4_20130415	13	1	1175.58323	549.54839	971.44055	517.13237
NIN_PSZ1-3-4_20130415	14	0	1525.30663	433.66296	1231.52566	412.32703
NIN_PSZ1-3-4_20130415	14	1	1610.61327	465.49833	1333.65332	450.16908
NIN_PSZ1-3-4_20130415	15	0	1706.73342	614.12236	1038.09762	588.65406
NIN_PSZ1-3-4_20130415	15	1	1873.14143	629.13904	1157.04631	613.88209
