OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NIN_PSZ1-3-4_20130415	Ryan D	42.1	LeftQ	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-1_20130417	Ryan D	45.4	LeftO	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-2_20130417	Ryan D	42.7	LeftW	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-3_20130417	Ryan D	48.6	LeftU	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-4_20130417	Ryan D	48	LeftE	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-5_20130417	Ryan D	56	LeftK	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-1-6_20130417	Ryan D	55.8	LeftC	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_PNZ1-1-5_20130414	Ryan D	42	LeftA	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-3-1_20130416	Ryan D	45.3	LeftS	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-3-3_20130416	Ryan D	58	LeftA	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-3-6_20130416	Ryan D	54.1	LeftI	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-1_20130417	Ryan D	52.6	LeftS	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-2_20130417	Ryan D	54.7	LeftY	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-3_20130417	Ryan D	53.7	LeftA	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-4_20130417	Ryan D	52.5	LeftQ	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-5_20130417	Ryan D	49.4	LeftM	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CNZ1-3-6_20130417	Ryan D	55.6	LeftI	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-1-1_20130417	Ryan D	47.3	LeftO	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-1-2_20130417	Ryan D	54.3	LeftW	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-1-3_20130417	Ryan D	48.8	LeftU	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
NIN_CSZ1-1-4_20130417	Ryan D	47.8	LeftE	Spare		Spare		Spare		Spare		Spare		Spare		Spare		Spare	
