OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NIN_PSZ1-3-4_20130415	0	NIN_PSZ1-3-4_20130415_LeftQ.avi	4889	NIN_PSZ1-3-4_20130415_RightR.avi	5091	2.71883	1	0	49.95611	0.56104	6.12959	831.71765	7.4751	88.93622	81.5445	-30.89898	-103.69689	-824.64929	Unknown	Unknown	spp	NA	0	NA	NA	Time Seabed	NA	NA
NIN_PSZ1-3-4_20130415	1	NIN_PSZ1-3-4_20130415_LeftQ.avi	16481	NIN_PSZ1-3-4_20130415_RightR.avi	16683	9.16528	1	6.44645	84.52676	3.89396	12.70175	1816.7525	12.12976	39.53111	2.60286	-381.65345	-8.48671	-1776.19207	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	2	NIN_PSZ1-3-4_20130415_LeftQ.avi	16518	NIN_PSZ1-3-4_20130415_RightR.avi	16720	9.18585	1	6.46702	87.40347	2.23223	8.78441	2074.51356	7.15025	13.23619	9.37292	208.31298	-152.58571	-2058.38038	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	3	NIN_PSZ1-3-4_20130415_LeftQ.avi	16558	NIN_PSZ1-3-4_20130415_RightR.avi	16760	9.2081	1	6.48927	93.97716	3.85899	11.16297	1969.76218	9.90332	32.5441	7.2204	332.55145	-64.62096	-1940.41148	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	4	NIN_PSZ1-3-4_20130415_LeftQ.avi	29121	NIN_PSZ1-3-4_20130415_RightR.avi	29323	16.19453	1	13.4757	173.89221	6.22269	18.15738	2229.26111	13.45835	45.38402	2.94301	-260.24969	-448.84262	-2168.04417	Tetraodontidae	Torquigener	spp	NA	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	5	NIN_PSZ1-3-4_20130415_LeftQ.avi	38043	NIN_PSZ1-3-4_20130415_RightR.avi	38245	21.15616	1	18.43733	116.94154	3.72667	12.32064	2129.29978	14.37472	27.4539	7.80557	-56.39333	-525.60885	-2062.63732	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	6	NIN_PSZ1-3-4_20130415_LeftQ.avi	38070	NIN_PSZ1-3-4_20130415_RightR.avi	38272	21.17117	1	18.45234	109.51816	2.13028	12.1558	2173.4079	14.78097	10.93043	7.38729	-218.84723	-509.47518	-2101.48586	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	7	NIN_PSZ1-3-4_20130415_LeftQ.avi	38081	NIN_PSZ1-3-4_20130415_RightR.avi	38283	21.17729	1	18.45846	80.10637	6.80007	10.04851	3136.94295	24.20468	17.26521	7.80287	1175.58079	-521.69224	-2861.16376	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	8	NIN_PSZ1-3-4_20130415_LeftQ.avi	38308	NIN_PSZ1-3-4_20130415_RightR.avi	38510	21.30353	1	18.5847	110.62943	4.50912	8.8298	2152.82354	18.15079	34.47131	3.46283	421.62967	-521.52988	-2045.69895	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	9	NIN_PSZ1-3-4_20130415_LeftQ.avi	42812	NIN_PSZ1-3-4_20130415_RightR.avi	43014	23.80825	1	21.08942	306.24578	8.77222	11.73663	2486.83567	16.39587	58.44034	4.83883	492.20586	-500.48796	-2385.70678	Synodontidae	Trachinocephalus	myops	37118002	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	10	NIN_PSZ1-3-4_20130415_LeftQ.avi	58944	NIN_PSZ1-3-4_20130415_RightR.avi	59146	32.77945	1	30.06062	640.26422	2.21204	10.22485	1798.8825	14.32925	16.16827	15.62922	443.49439	-39.07015	-1742.91838	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	11	NIN_PSZ1-3-4_20130415_LeftQ.avi	66077	NIN_PSZ1-3-4_20130415_RightR.avi	66279	36.74619	1	34.02736	73.75735	1.51571	13.01471	1383.72007	20.74817	20.6468	19.21863	467.31186	-148.03372	-1293.98102	Carangidae	Gnathanodon	speciosus	37337012	1	J	Passing	NA	NA	NA
NIN_PSZ1-3-4_20130415	12	NIN_PSZ1-3-4_20130415_LeftQ.avi	66082	NIN_PSZ1-3-4_20130415_RightR.avi	66284	36.74897	1	34.03014	97.24342	1.54425	9.43154	1709.77682	11.00853	11.22705	24.67069	288.56123	152.73702	-1678.3148	Carangidae	Atule	mate	37337024	1	AD	Passing	NA	NA	NA
