Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,DBCA_Zone,DBCA_Sanctuary
NIN_CNZ1-1-1_20130417,-22.46673,113.68806,20130417,0:00:00,Cloates,Fished,CNZ1-1,45.4,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-1-2_20130417,-22.46853,113.6862,20130417,0:00:00,Cloates,Fished,CNZ1-1,42.7,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-1-3_20130417,-22.46761,113.68245,20130417,0:00:00,Cloates,Fished,CNZ1-1,48.6,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-1-4_20130417,-22.46788,113.67946,20130417,0:00:00,Cloates,Fished,CNZ1-1,48,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-1-5_20130417,-22.46581,113.67763,20130417,0:00:00,Cloates,Fished,CNZ1-1,56,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-1-6_20130417,-22.46724,113.67504,20130417,0:00:00,Cloates,Fished,CNZ1-1,55.8,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-2-1_20130417,-22.49915,113.65745,20130417,0:00:00,Cloates,Fished,CNZ1-2,51.1,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-2-2_20130417,-22.5014,113.65653,20130417,0:00:00,Cloates,Fished,CNZ1-2,50.5,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-2-3_20130417,-22.5035,113.65549,20130417,0:00:00,Cloates,Fished,CNZ1-2,50,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-2-4_20130417,-22.50459,113.65724,20130417,0:00:00,Cloates,Fished,CNZ1-2,42,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-2-5_20130417,-22.50622,113.6538,20130417,0:00:00,Cloates,Fished,CNZ1-2,51.2,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-1_20130417,-22.52446,113.64489,20130417,0:00:00,Cloates,Fished,CNZ1-3,52.6,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-2_20130417,-22.52731,113.64394,20130417,0:00:00,Cloates,Fished,CNZ1-3,54.7,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-3_20130417,-22.52958,113.64306,20130417,0:00:00,Cloates,Fished,CNZ1-3,53.7,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-4_20130417,-22.53223,113.64315,20130417,0:00:00,Cloates,Fished,CNZ1-3,52.5,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-5_20130417,-22.53462,113.64346,20130417,0:00:00,Cloates,Fished,CNZ1-3,49.4,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CNZ1-3-6_20130417,-22.53602,113.6411,20130417,0:00:00,Cloates,Fished,CNZ1-3,55.6,Ryan D,Yes,Yes,NA,General Use,Cloates
NIN_CSZ1-1-1_20130417,-22.61709,113.60854,20130417,0:00:00,Cloates,No-take,CSZ1-1,47.3,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-1-2_20130417,-22.61818,113.60583,20130417,0:00:00,Cloates,No-take,CSZ1-1,54.3,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-1-3_20130417,-22.61986,113.60838,20130417,0:00:00,Cloates,No-take,CSZ1-1,48.8,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-1-4_20130417,-22.62246,113.60704,20130417,0:00:00,Cloates,No-take,CSZ1-1,47.8,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-1-5_20130417,-22.62496,113.60632,20130417,0:00:00,Cloates,No-take,CSZ1-1,50,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-1-6_20130417,-22.6278,113.60467,20130417,0:00:00,Cloates,No-take,CSZ1-1,48.6,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-2-2_20130416,-22.64991,113.59356,20130416,0:00:00,Cloates,No-take,CSZ1-2,52.1,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-2-3_20130416,-22.65233,113.59263,20130416,0:00:00,Cloates,No-take,CSZ1-2,47,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-2-4_20130416,-22.65463,113.59377,20130416,0:00:00,Cloates,No-take,CSZ1-2,51.2,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-2-5_20130416,-22.6567,113.59148,20130416,0:00:00,Cloates,No-take,CSZ1-2,50.8,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-1_20130416,-22.70694,113.5997,20130416,0:00:00,Cloates,No-take,CSZ1-3,45.3,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-2_20130416,-22.70756,113.59711,20130416,0:00:00,Cloates,No-take,CSZ1-3,58,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-3_20130416,-22.71001,113.59845,20130416,0:00:00,Cloates,No-take,CSZ1-3,58,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-4_20130416,-22.71236,113.60046,20130416,0:00:00,Cloates,No-take,CSZ1-3,59,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-5_20130416,-22.7147,113.60197,20130416,0:00:00,Cloates,No-take,CSZ1-3,59,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_CSZ1-3-6_20130416,-22.71701,113.60374,20130416,0:00:00,Cloates,No-take,CSZ1-3,54.1,Ryan D,Yes,Yes,NA,Sanctuary,Cloates
NIN_MNZ1-1-1_20130412,-21.98968,113.89778,20130412,0:00:00,Mandu,Fished,MNZ1-1,47,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-1-1-R_20130418,-21.98968,113.89778,20130418,0:00:00,Mandu,Fished,MNZ1-1,49,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-1-2-R_20130418,-21.992,113.89704,20130418,0:00:00,Mandu,Fished,MNZ1-1,49.3,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-1-3-R_20130418,-21.99353,113.89486,20130418,0:00:00,Mandu,Fished,MNZ1-1,53,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-1-5-R_20130418,-21.99858,113.89518,20130418,0:00:00,Mandu,Fished,MNZ1-1,45.5,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-1-6-R_20130418,-22.00068,113.89376,20130418,0:00:00,Mandu,Fished,MNZ1-1,49.5,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-2-1_20130411,-22.01765,113.88696,20130411,0:00:00,Mandu,Fished,MNZ1-2,42,RyanD,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-2-2_20130411,-22.02024,113.88701,20130411,0:00:00,Mandu,Fished,MNZ1-2,45.4,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-2-4_20130411,-22.02446,113.88677,20130411,0:00:00,Mandu,Fished,MNZ1-2,42,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-2-5_20130411,-22.02659,113.88432,20130411,0:00:00,Mandu,Fished,MNZ1-2,47.2,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-2-6_20130411,-22.02895,113.8861,20130411,0:00:00,Mandu,Fished,MNZ1-2,48,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-3-2_20130411,-22.04716,113.88296,20130411,0:00:00,Mandu,Fished,MNZ1-3,54,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-3-3_20130411,-22.05054,113.88249,20130411,0:00:00,Mandu,Fished,MNZ1-3,50,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ1-3-6_20130411,-22.0583,113.87731,20130411,0:00:00,Mandu,Fished,MNZ1-3,56,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-1-1-R_20130411,-21.84926,113.96913,20130411,0:00:00,Mandu,Fished,MNZ2-1,39.8,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-1-3_20130410,-21.852815,113.96608,20130410,0:00:00,Mandu,Fished,MNZ2-1,54.1,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-1-4-R_20130411,-21.85418,113.96422,20130411,0:00:00,Mandu,Fished,MNZ2-1,40.1,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-1-5-R_20130411,-21.85624,113.96299,20130411,0:00:00,Mandu,Fished,MNZ2-1,40.9,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-1-6-R_20130411,-21.85845,113.96177,20130411,0:00:00,Mandu,Fished,MNZ2-1,41.9,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-2-3_20130410,-21.88913,113.92901,20130410,0:00:00,Mandu,Fished,MNZ2-2,54.1,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-2-5-R_20130411,-21.89266,113.92574,20130411,0:00:00,Mandu,Fished,MNZ2-2,35.2,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-2-6-R_20130411,-21.89501,113.92456,20130411,0:00:00,Mandu,Fished,MNZ2-2,52,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-3-3_20130410,-21.91783,113.91596,20130410,0:00:00,Mandu,Fished,MNZ2-3,43.5,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-3-4-R_20130411,-21.92002,113.91502,20130411,0:00:00,Mandu,Fished,MNZ2-3,45.5,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MNZ2-3-6-R_20130411,-21.92472,113.91395,20130411,0:00:00,Mandu,Fished,MNZ2-3,44.1,Ryan D,Yes,Yes,NA,General Use,Mandu SP
NIN_MSZ1-1-5_20130411,-22.09052,113.8672,20130411,0:00:00,Mandu,Fished,MSZ1-1,50,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-1-6_20130411,-22.09389,113.867,20130411,0:00:00,Mandu,Fished,MSZ1-1,46,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-1_20130412,-22.11174,113.8626,20130412,0:00:00,Mandu,Fished,MSZ1-2,48,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-2_20130412,-22.11398,113.86365,20130412,0:00:00,Mandu,Fished,MSZ1-2,45.4,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-3_20130412,-22.11615,113.8628,20130412,0:00:00,Mandu,Fished,MSZ1-2,47.3,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-4_20130412,-22.11754,113.85983,20130412,0:00:00,Mandu,Fished,MSZ1-2,42,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-5_20130412,-22.11936,113.86251,20130412,0:00:00,Mandu,Fished,MSZ1-2,47.7,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-2-6_20130412,-22.12127,113.85828,20130412,0:00:00,Mandu,Fished,MSZ1-2,54.5,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-3-2_20130412,-22.14314,113.85012,20130412,0:00:00,Mandu,Fished,MSZ1-3,51,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-3-3_20130412,-22.14553,113.8503,20130412,0:00:00,Mandu,Fished,MSZ1-3,48.8,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-3-4_20130412,-22.14703,113.84806,20130412,0:00:00,Mandu,Fished,MSZ1-3,55.8,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_MSZ1-3-5_20130412,-22.14943,113.84912,20130412,0:00:00,Mandu,Fished,MSZ1-3,48.6,Ryan D,Yes,Yes,NA,SP Benthic Protection,Mandu SP
NIN_ONZ1-1-1_20130412,-22.1659,113.84189,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-1-2_20130412,-22.16804,113.84097,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-1-3_20130412,-22.17059,113.84198,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-1-4_20130412,-22.17153,113.83928,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-1-5_20130412,-22.17413,113.83959,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-1-6_20130412,-22.17427,113.83827,20130412,0:00:00,Osprey,Fished,ONZ1-1,50,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-2-4_20130412,-22.19094,113.83154,20130412,0:00:00,Osprey,Fished,ONZ1-2,42.6,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-2-5_20130412,-22.19207,113.8291,20130412,0:00:00,Osprey,Fished,ONZ1-2,51.9,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-2-6,-22.19337,113.83128,20130412,0:00:00,Osprey,Fished,ONZ1-2,42,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-3-1_20130413,-22.20872,113.82484,20130413,0:00:00,Osprey,Fished,ONZ1-3,42,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-3-2_20130413,-22.21155,113.82578,20130413,0:00:00,Osprey,Fished,ONZ1-3,42.2,Ryan D,Yes,Yes,NA,General Use,Osprey
NIN_ONZ1-3-4_20130413,-22.21553,113.82334,20130413,0:00:00,Osprey,Fished,ONZ1-3,51.4,Ryan D,Yes,Yes,NA,General Use,Osprey
