OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NIN_PSZ1-3-4_20130415	0	1	NIN_PSZ1-3-4_20130415_LeftQ.avi	4889	2.71883	NIN_PSZ1-3-4_20130415_LeftQ.avi	112781	62.71883	1
NIN_CNZ1-1-1_20130417	0	1	NIN_CNZ1-1-1_20130417_LeftO.avi	5437	3.02358	NIN_CNZ1-1-1_20130417_LeftO.avi	113329	63.02358	1
NIN_CNZ1-1-2_20130417	0	1	NIN_CNZ1-1-2_20130417_LeftW.avi	6517	3.62418	NIN_CNZ1-1-2_20130417_LeftW.avi	114409	63.62418	1
NIN_CNZ1-1-3_20130417	0	1	NIN_CNZ1-1-3_20130417_LeftU.avi	7974	4.43443	NIN_CNZ1-1-3_20130417_LeftU.avi	115866	64.43443	1
NIN_CNZ1-1-4_20130417	0	1	NIN_CNZ1-1-4_20130417_LeftE.avi	5746	3.19542	NIN_CNZ1-1-4_20130417_LeftE.avi	113638	63.19542	1
NIN_CNZ1-1-5_20130417	0	1	NIN_CNZ1-1-5_20130417_LeftK.avi	6904	3.83939	NIN_CNZ1-1-5_20130417_LeftK.avi	114796	63.83939	1
NIN_CNZ1-1-6_20130417	0	1	NIN_CNZ1-1-6_20130417_LeftC.avi	9094	5.05728	NIN_CNZ1-1-6_20130417_LeftC.avi	116986	65.05728	1
NIN_PNZ1-1-5_20130414	0	1	NIN_PNZ1-1-5_20130414_LeftA.avi	8105	4.50729	NIN_PNZ1-1-5_20130414_LeftA.avi	115997	64.50728	1
NIN_CSZ1-3-1_20130416	0	1	NIN_CSZ1-3-1_20130416_LeftS.avi	7879	4.38160	NIN_CSZ1-3-1_20130416_LeftS.avi	115771	64.38160	1
NIN_CSZ1-3-3_20130416	0	1	NIN_CSZ1-3-3_20130416_LeftA.avi	6387	3.55189	NIN_CSZ1-3-3_20130416_LeftA.avi	114279	63.55189	1
NIN_CSZ1-3-6_20130416	0	1	NIN_CSZ1-3-6_20130416_LeftI.avi	5480	3.04749	NIN_CSZ1-3-6_20130416_LeftI.avi	113372	63.04749	1
NIN_CNZ1-3-1_20130417	0	1	NIN_CNZ1-3-1_20130417_LeftS.avi	7075	3.93449				0
NIN_CNZ1-3-2_20130417	0	1	NIN_CNZ1-3-2_20130417_LeftY.avi	7673	4.26704	NIN_CNZ1-3-2_20130417_LeftY.avi	115565	64.26704	1
NIN_CNZ1-3-3_20130417	0	1	NIN_CNZ1-3-3_20130417_LeftA.avi	6455	3.58970	NIN_CNZ1-3-3_20130417_LeftA.avi	114347	63.58970	1
NIN_CNZ1-3-4_20130417	0	1	NIN_CNZ1-3-4_20130417_LeftQ.avi	6013	3.34390	NIN_CNZ1-3-4_20130417_LeftQ.avi	113905	63.34390	1
NIN_CNZ1-3-5_20130417	0	1	NIN_CNZ1-3-5_20130417_LeftM.avi	7356	4.09076	NIN_CNZ1-3-5_20130417_LeftM.avi	115248	64.09076	1
NIN_CNZ1-3-6_20130417	0	1	NIN_CNZ1-3-6_20130417_LeftI.avi	6082	3.38227	NIN_CNZ1-3-6_20130417_LeftI.avi	113974	63.38227	1
NIN_CSZ1-1-1_20130417	0	1	NIN_CSZ1-1-1_20130417_LeftO.avi	6138	3.41341	NIN_CSZ1-1-1_20130417_LeftO.avi	114030	63.41341	1
NIN_CSZ1-1-2_20130417	0	1	NIN_CSZ1-1-2_20130417_LeftW.avi	5930	3.29774	NIN_CSZ1-1-2_20130417_LeftW.avi	113822	63.29774	1
NIN_CSZ1-1-3_20130417	0	1	NIN_CSZ1-1-3_20130417_LeftU.avi	7702	4.28317	NIN_CSZ1-1-3_20130417_LeftU.avi	115594	64.28317	1
NIN_CSZ1-1-4_20130417	0	1	NIN_CSZ1-1-4_20130417_LeftE.avi	5488	3.05194	NIN_CSZ1-1-4_20130417_LeftE.avi	113380	63.05194	1
NIN_CSZ1-1-5_20130417	0	1	NIN_CSZ1-1-5_20130417_LeftK.avi	4975	2.76666	NIN_CSZ1-1-5_20130417_LeftK.avi	112867	62.76666	1
NIN_CSZ1-1-6_20130417	0	1	NIN_CSZ1-1-6_20130417_LeftC.avi	6597	3.66867	NIN_CSZ1-1-6_20130417_LeftC.avi	114489	63.66867	1
NIN_CSZ1-2-2_20130416	0	1	NIN_CSZ1-2-2_20130416_LeftK.avi	6415	3.56746	NIN_CSZ1-2-2_20130416_LeftK.avi	114307	63.56746	1
NIN_CSZ1-2-3_20130416	0	1	NIN_CSZ1-2-3_20130416_LeftE.avi	4757	2.64542	NIN_CSZ1-2-3_20130416_LeftE.avi	112649	62.64542	1
NIN_CSZ1-2-4_20130416	0	1	NIN_CSZ1-2-4_20130416_LeftU.avi	9423	5.24024	NIN_CSZ1-2-4_20130416_LeftU.avi	117315	65.24024	1
