OpCode	PointIndex	Filename	Frame	Time	PeriodTime	ImageCol	ImageRow	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Period	Attribute9	Attribute10
NIN_PSZ1-3-4_20130415	0	NIN_PSZ1-3-4_20130415_LeftQ.avi	4889	2.71883	0	1039.36314	792.07835	Unknown	Unknown	spp	NA	0	NA	NA	Time Seabed	1	NA	NA
NIN_PSZ1-3-4_20130415	1	NIN_PSZ1-3-4_20130415_LeftQ.avi	6144	3.41675	0.69792	691.34109	842.61153	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	2	NIN_PSZ1-3-4_20130415_LeftQ.avi	10917	6.07107	3.35224	1366.22168	1063.54733	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	3	NIN_PSZ1-3-4_20130415_LeftQ.avi	10917	6.07107	3.35224	1308.60992	1065.89771	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	4	NIN_PSZ1-3-4_20130415_LeftQ.avi	11177	6.21566	3.49683	1410.90018	1014.18934	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	5	NIN_PSZ1-3-4_20130415_LeftQ.avi	11177	6.21566	3.49683	1559.0447	998.91186	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	6	NIN_PSZ1-3-4_20130415_LeftQ.avi	11177	6.21566	3.49683	1456.75444	966.00653	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	7	NIN_PSZ1-3-4_20130415_LeftQ.avi	16195	9.00623	6.2874	141.09002	647.52992	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	8	NIN_PSZ1-3-4_20130415_LeftQ.avi	16195	9.00623	6.2874	522.03307	447.74755	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	9	NIN_PSZ1-3-4_20130415_LeftQ.avi	16467	9.15749	6.43866	764.2376	694.53754	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	10	NIN_PSZ1-3-4_20130415_LeftQ.avi	16467	9.15749	6.43866	830.07961	647.52992	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	11	NIN_PSZ1-3-4_20130415_LeftQ.avi	16467	9.15749	6.43866	619.62033	578.19369	Carangidae	Carangoides	caeruleopinnatus	37337021	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	12	NIN_PSZ1-3-4_20130415_LeftQ.avi	29097	16.18118	13.46235	891.21862	895.4951	Tetraodontidae	Torquigener	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	13	NIN_PSZ1-3-4_20130415_LeftQ.avi	38065	21.16839	18.44956	1745.98898	846.13711	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	14	NIN_PSZ1-3-4_20130415_LeftQ.avi	38065	21.16839	18.44956	1373.27618	940.15234	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	15	NIN_PSZ1-3-4_20130415_LeftQ.avi	38065	21.16839	18.44956	1087.56889	976.58324	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	16	NIN_PSZ1-3-4_20130415_LeftQ.avi	38065	21.16839	18.44956	959.41212	977.75843	Bothidae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	17	NIN_PSZ1-3-4_20130415_LeftQ.avi	42807	23.80547	21.08664	1427.36069	897.84548	Synodontidae	Trachinocephalus	myops	37118002	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	18	NIN_PSZ1-3-4_20130415_LeftQ.avi	46708	25.97486	23.25603	1060.52664	406.61589	Scombridae	Unknown	spp	NA	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	19	NIN_PSZ1-3-4_20130415_LeftQ.avi	59004	32.81281	30.09398	1326.24617	833.21001	Tetraodontidae	Lagocephalus	sceleratus	37467007	1	AD	Feeding	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	20	NIN_PSZ1-3-4_20130415_LeftQ.avi	66083	36.74953	34.0307	1095.79914	528.83569	Carangidae	Atule	mate	37337024	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	21	NIN_PSZ1-3-4_20130415_LeftQ.avi	66083	36.74953	34.0307	1426.18494	393.68879	Carangidae	Atule	mate	37337024	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	22	NIN_PSZ1-3-4_20130415_LeftQ.avi	66083	36.74953	34.0307	1554.3417	445.39717	Carangidae	Atule	mate	37337024	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	23	NIN_PSZ1-3-4_20130415_LeftQ.avi	66083	36.74953	34.0307	1624.88671	746.24592	Rhynchobatidae	Rhynchobatus	australiae	37026005	1	AD	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	24	NIN_PSZ1-3-4_20130415_LeftQ.avi	66110	36.76454	34.04571	1401.49418	634.60283	Carangidae	Gnathanodon	speciosus	37337012	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	25	NIN_PSZ1-3-4_20130415_LeftQ.avi	66110	36.76454	34.04571	1516.7177	636.95321	Carangidae	Gnathanodon	speciosus	37337012	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	26	NIN_PSZ1-3-4_20130415_LeftQ.avi	66110	36.76454	34.04571	1401.49418	675.73449	Carangidae	Gnathanodon	speciosus	37337012	1	J	Passing	NA	1	NA	NA
NIN_PSZ1-3-4_20130415	27	NIN_PSZ1-3-4_20130415_LeftQ.avi	66148	36.78567	34.06684	1287.44642	568.79217	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing	NA	1	NA	NA
