OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCB1200	0	NCB1200_L441.avi	1971	NCB1200_R442.avi	1208	1.0961	NA	-1	22.77325	39.96091	-1040.14239	0.53537	0.51575	1.60905	0.11885	1041.15882	2.61266	Unknown	Unknown	spp	NA	0	NA	NA	Sync	NA	NA
NCB1200	6	NCB1200_L441.avi	14591	NCB1200_R442.avi	13828	8.11423	Analysis	1.67835	-891.14034	-396.67135	-2021.7602	2.61431	1.52768	6.02825	3.1141	2244.77027	25.71843	Labridae	Pseudojuloides	severnsi	37384209	4	AD	Passing	NA	NA	NA
NCB1200	13	NCB1200_L441.avi	48920	NCB1200_R442.avi	48157	27.20498	Analysis	20.7691	-1789.79813	173.70927	-3521.47092	8.75083	1.88752	17.91152	4.31501	3954.0245	27.0598	Labridae	Cirrhilabrus	temminckii	37384085	1	AD	Passing	NA	NA	NA
NCB1200	14	NCB1200_L441.avi	48920	NCB1200_R442.avi	48157	27.20498	Analysis	20.7691	-1869.73035	210.26145	-3520.12483	9.09174	1.97173	17.87205	2.35426	3991.41331	28.13509	Labridae	Cirrhilabrus	temminckii	37384085	1	AD	Passing	NA	NA	NA
NCB1200	19	NCB1200_L441.avi	70079	NCB1200_R442.avi	69316	38.97175	Analysis	32.53587	129.48767	-208.87107	-1870.25732	0.96817	1.05707	4.96596	3.27147	1886.33418	7.40738	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing	NA	NA	NA
NCB1200	28	NCB1200_L441.avi	124405	NCB1200_R442.avi	123642	69.18307	Analysis	62.74719	-2521.84795	320.6687	-4842.98677	16.78567	3.13872	33.40108	3.51415	5469.64956	27.70743	Labridae	Coris	caudimacula	37384092	4	AD	Passing	NA	NA	NA
NCB1210	0	NCB1210_L377.avi	9555	NCB1210_R378.avi	9168	6.37	Analysis	0.72733	-922.18161	150.84744	-5758.18314	5.45814	1.98795	33.52118	0.9428	5833.51068	9.37995	Lutjanidae	Symphorus	nematophorus	37346017	1	AD	Passing	NA	NA	NA
NCB1210	1	NCB1210_L377.avi	9555	NCB1210_R378.avi	9168	6.37	Analysis	0.72733	-843.23904	185.28288	-5712.94013	5.01893	2.02339	33.06868	6.21935	5777.80812	8.8001	Lutjanidae	Symphorus	nematophorus	37346017	1	AD	Passing	NA	NA	NA
NCB1210	11	NCB1210_L377.avi	10924	NCB1210_R378.avi	10537	7.28267	Analysis	1.64	-540.4841	518.30962	-8842.70468	5.50826	4.69101	79.39161	16.95302	8874.35598	5.42565	Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing	NA	NA	NA
NCB1210	13	NCB1210_L377.avi	19660	NCB1210_R378.avi	19273	13.10667	Analysis	7.464	-1730.13347	1345.83175	-6758.98874	11.07297	8.42786	44.71143	8.72319	7105.52979	18.47009	Pomacanthidae	Pomacanthus	semicirculatus	37365080	1	AD	Passing	NA	NA	NA
