OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
NCB1200	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0838567058	-0.0170050816	3.6933872366	-0.0096130812	0.0010843917	0.0000000000	0.0003941894	0.0001027983	0.0000000000	0.0003645567	-345.6788347096	0.0000000000	0.0000000000	-0.1393002021	-8.0546511722	-0.3089439673	mm
NCB1200	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	-0.0094773371	0.0293496701	3.6755398153	-0.0082855451	0.0006215968	0.0000000000	0.0003406373	-0.0004246977	0.0000000000	0.0003166707	345.6788347096	0.0000000000	0.0000000000	0.1393002021	6.9904969559	1.1840544135	mm
NCB1210	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0355990487	0.1031118703	5.5480808804	0.0017905833	0.0006628330	0.0000000000	-0.0003439870	0.0003663812	0.0000000000	0.0004598922	-321.2195119559	0.0000000000	0.0000000000	-0.5311974875	-8.8910628377	-1.9599730648	mm
NCB1210	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.1026305359	0.0462764749	5.5466611521	0.0016633847	0.0003935496	0.0000000000	-0.0008183750	0.0004256039	0.0000000000	-0.0000333741	321.2195119559	0.0000000000	0.0000000000	0.5311974875	8.1984818835	-1.7952085582	mm
NCB1184	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0658554980	0.0368390063	5.5554108266	0.0004337833	0.0007618153	0.0000000000	-0.0009934665	0.0003598408	0.0000000000	0.0006784606	-323.1280081329	0.0000000000	0.0000000000	0.2542022434	-7.6036242571	0.0718146219	mm
NCB1184	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0059218022	0.0778428902	5.5538965408	0.0006582285	0.0006255955	0.0000000000	0.0000125792	0.0001761650	0.0000000000	-0.0008295421	323.1280081329	0.0000000000	0.0000000000	-0.2542022434	8.3227925710	4.7298853136	mm
NCB1050	0	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0658554980	0.0368390063	5.5554108266	0.0004337833	0.0007618153	0.0000000000	-0.0009934665	0.0003598408	0.0000000000	0.0006784606	-323.1280081329	0.0000000000	0.0000000000	0.2542022434	-7.6036242571	0.0718146219	mm
NCB1050	1	Canon HFG25 in water	Derived from CAL	1080	1920	0.0026000000	0.0026000000	-0.0059218022	0.0778428902	5.5538965408	0.0006582285	0.0006255955	0.0000000000	0.0000125792	0.0001761650	0.0000000000	-0.0008295421	323.1280081329	0.0000000000	0.0000000000	-0.2542022434	8.3227925710	4.7298853136	mm
NCB1140	0	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0174942164	-0.0279217666	3.6850568709	-0.0083718600	0.0006139253	0.0000000000	0.0001414218	-0.0002251208	0.0000000000	0.0001466605	-348.7598828236	0.0000000000	0.0000000000	-0.2042842382	-7.2320746697	0.9807371576	mm
NCB1140	1	GoPro Hero3 Black Medium Water	Derived from CAL	1080	1920	0.0024700000	0.0024700000	0.0800047694	-0.0291503955	3.6880130536	-0.0105047677	0.0025342190	0.0000000000	-0.0004663158	-0.0002603106	0.0000000000	0.0004700446	348.7598828236	0.0000000000	0.0000000000	0.2042842382	8.6648776833	-0.6521750068	mm
