Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	Relief: 5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope.	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Hydroids 	Biota: Macroalgae	Biota: Octocoral.Black	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated
NCB1038	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0
NCB1039	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	8.0	0.0	1.0	0.0	1.0
NCB1040	0.0	5.0	3.0	2.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0
NCB1041	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1042	0.0	5.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	1.0	1.0	0.0	0.0	0.0	8.0
NCB1043	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1044	0.0	3.0	7.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1045	0.0	0.0	0.0	3.0	0.0	0.0	0.0	20.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
NCB1046	0.0	0.0	3.0	7.0	0.0	0.0	0.0	20.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0
NCB1047	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1048	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1049	0.0	0.0	10.0	5.0	0.0	0.0	0.0	20.0	2.0	0.0	4.0	1.0	0.0	0.0	8.0
NCB1050	0.0	0.0	0.0	10.0	0.0	0.0	0.0	20.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0
NCB1051	0.0	0.0	8.0	4.0	0.0	0.0	0.0	20.0	0.0	0.0	2.0	3.0	0.0	0.0	7.0
NCB1052	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1053	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1055	7.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
NCB1122	0.0	1.0	6.0	0.0	4.0	0.0	0.0	20.0	0.0	0.0	0.0	3.0	3.0	0.0	5.0
NCB1123	0.0	8.0	1.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
NCB1124	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1125	0.0	4.0	0.0	1.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0
NCB1126	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1127	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1128	0.0	1.0	5.0	3.0	1.0	0.0	0.0	20.0	0.0	0.0	0.0	2.0	1.0	0.0	7.0
NCB1129	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1130	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1131	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1132	8.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1133	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1134	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1135	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1136	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1137	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
NCB1138	0.0	4.0	3.0	3.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0
NCB1139	0.0	0.0	6.0	3.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	3.0	0.0	2.0
NCB1140	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
NCB1141	6.0	0.0	4.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0
NCB1142	0.0	0.0	0.0	0.0	5.0	0.0	0.0	20.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
NCB1143	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
