OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NCB1200	0	0	1295.36615	489.23077	689.17167	473.07692
NCB1200	1	0	624.82631	931.84770	231.69289	864.26764
NCB1200	1	1	543.56765	942.12766	165.53807	868.19821
NCB1200	2	0	471.25299	911.75588	74.00881	833.82643
NCB1200	2	1	388.78603	906.61590	8.45815	820.82531
NCB1200	3	0	277.01510	858.43225	120.22656	786.89474
NCB1200	3	1	223.54751	860.85106	63.43612	780.84770
NCB1200	4	0	487.69226	873.91825	106.93518	802.52184
NCB1200	4	1	421.23537	898.40873	32.92637	816.12766
NCB1200	5	0	587.75393	847.19821	120.52863	782.89698
NCB1200	5	1	520.69289	878.64278	78.53996	802.85218
NCB1200	6	0	369.74198	852.63158	287.57709	786.11422
NCB1200	7	0	1235.56954	796.43337	990.59094	793.68757
NCB1200	7	1	1450.95028	721.14782	1223.79421	732.31019
NCB1200	8	0	583.87225	434.24636	329.03965	417.93841
NCB1200	8	1	862.08496	492.29787	564.96161	479.01344
NCB1200	9	0	704.10195	466.42553	601.22656	448.21725
NCB1200	9	1	902.26432	505.42889	815.39899	494.47704
NCB1200	10	0	1526.39396	535.80403	1341.35305	537.38522
NCB1200	10	1	1754.46193	506.77828	1630.74261	511.38298
NCB1200	11	0	1024.56317	329.43017	371.69076	320.98324
NCB1200	11	1	1510.89881	349.94413	860.43997	341.49721
NCB1200	12	0	1631.57762	540.90503	1245.02074	539.15642
NCB1200	12	1	1382.37586	504.70391	1057.96857	494.50838
NCB1200	13	0	138.35116	474.40426	300.84078	451.17469
NCB1200	14	0	99.38326	457.17021	272.74764	437.56887
NCB1200	15	0	504.98240	622.79888	583.45003	589.59777
NCB1200	15	1	651.00377	614.95531	704.73224	587.78771
NCB1200	16	0	501.54122	394.73796	545.17621	383.41097
NCB1200	16	1	836.24229	251.72564	844.53430	244.32923
NCB1200	17	0	1009.26158	496.15128	355.64456	493.74861
NCB1200	17	1	1870.73842	484.13793	1136.62078	475.72859
NCB1200	18	0	1317.81270	699.88827	1229.71716	703.50838
NCB1200	18	1	1595.37398	705.92179	1531.41420	724.02235
NCB1200	19	0	1156.96858	709.74808	962.95749	696.73604
NCB1200	20	0	1416.57071	486.54060	1266.38298	481.73526
NCB1200	20	1	1752.99124	485.33927	1634.04255	490.14461
NCB1200	21	0	1567.61785	631.10615	1486.76304	649.20670
NCB1200	21	1	1901.89818	609.38547	1876.55563	635.93296
NCB1200	22	0	1489.78001	545.33520	1530.81081	552.90503
NCB1200	22	1	1672.00503	547.14525	1763.72093	561.95531
NCB1200	23	0	1450.55940	538.14525	1420.38969	539.43575
NCB1200	23	1	1660.54054	524.87151	1694.93400	535.21229
NCB1200	24	0	1136.18919	479.28492	1013.33124	466.44134
NCB1200	24	1	1312.98366	470.23464	1246.84475	465.83799
NCB1200	25	0	1090.36518	380.45810	841.13136	368.04469
NCB1200	25	1	1361.28913	382.26816	1175.41169	364.42458
NCB1200	26	0	791.01825	30.53751	959.50661	28.72340
NCB1200	26	1	972.86847	94.03135	1154.95028	82.23964
NCB1200	27	0	1832.09566	926.19821	1367.04657	983.85218
NCB1200	27	1	1774.70107	927.40761	1319.01636	977.80515
NCB1200	28	0	70.98804	446.87122	319.33858	429.01120
NCB1210	0	0	374.15385	472.34624	771.69231	520.31891
NCB1210	1	0	403.69231	455.12528	796.30769	509.24829
NCB1210	2	0	535.32518	375.65217	813.49646	417.66590
NCB1210	2	1	841.93175	347.23112	1132.46619	384.30206
NCB1210	3	0	109.53846	490.79727	418.46154	538.76993
NCB1210	3	1	557.53846	453.89522	832.00000	501.86788
NCB1210	4	0	1244.97102	117.39130	1706.11719	124.80549
NCB1210	4	1	1368.60270	169.29062	1842.11204	174.23341
NCB1210	5	0	1235.69231	232.48292	1307.07692	273.07517
NCB1210	5	1	1715.69231	191.89066	1870.76923	202.96128
NCB1210	6	0	1064.61538	455.12528	1207.38462	506.78815
NCB1210	6	1	1368.61538	488.33713	1456.00000	542.46014
NCB1210	7	0	457.84615	533.84966	711.38462	578.13212
NCB1210	7	1	194.46154	562.14123	503.38462	592.89294
NCB1210	8	0	1128.75724	392.95195	1519.43335	428.78719
NCB1210	8	1	1315.44108	406.54462	1733.31616	443.61556
NCB1210	9	0	153.30328	420.13730	561.28783	470.80092
NCB1210	9	1	367.18609	425.08009	735.60850	465.85812
NCB1210	10	0	833.27753	453.50114	1222.71732	489.33638
NCB1210	10	1	987.81713	442.37986	1366.13007	476.97941
NCB1210	11	0	552.63361	400.36613	1016.25241	439.90847
NCB1210	12	0	443.07692	439.13440	614.15385	484.64692
NCB1210	12	1	30.76923	467.42597	265.84615	514.16856
NCB1210	13	0	98.90534	82.79176	583.54153	165.58352
NCB1210	14	0	127.34063	155.69794	584.77785	229.83982
NCB1210	14	1	226.24598	249.61098	668.84739	308.92449
NCB1210	15	0	1003.07692	602.73349	1037.53846	655.62642
NCB1210	15	1	1302.15385	596.58314	1337.84615	658.08656
NCB1210	16	0	461.53846	170.97950	450.46154	244.78360
NCB1210	16	1	785.23077	82.41458	747.07692	142.68793
