OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCB1200	Arthur	46.7		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.1486	Longitude	113.8491	Location	Mandu Sanctuary	Status	NoTake	Site	MA1	Visibility		DateTimeIn	2015 08 26 12:38:00
NCB1210	Brigit	48.7		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.052	Longitude	113.8806	Location	North Mandu	Status	Fished	Site	MAN1	Visibility		DateTimeIn	2015 08 26 15:13:00
NCB1184	Arthur	36.6		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.2661	Longitude	113.805	Location	Osprey Sanctuary	Status	NoTake	Site	O5	Visibility		DateTimeIn	2015 08 26 08:20:00
NCB1050	Brigit	48.2		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.5605	Longitude	113.6362	Location	Between Winderabandi and Cloates	Status	Fished	Site	CN1	Visibility		DateTimeIn	2015 08 20 13:11:00
NCB1140	Todd	43.9		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-23.2202	Longitude	113.7273	Location	Between Maud and Pelican	Status	Fished	Site	PN2	Visibility		DateTimeIn	2015 08 23 15:32:00
NCB1190	Matt	38.7		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.2135	Longitude	113.8266	Location	Between Mandu and Osprey	Status	Fished	Site	ON1	Visibility		DateTimeIn	2015 08 26 10:22:00
NCB1189	Arthur	23.8		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.2173	Longitude	113.8284	Location	Between Mandu and Osprey	Status	Fished	Site	ON1	Visibility		DateTimeIn	2015 08 26 10:24:00
NCB1137	Mike	41.9		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-23.2788	Longitude	113.7461	Location	Between Maud and Pelican	Status	Fished	Site	PN1	Visibility		DateTimeIn	2015 08 23 15:05:00
NCB1179	Matt	26.2		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.3218	Longitude	113.766	Location	Osprey Sanctuary	Status	NoTake	Site	O1	Visibility		DateTimeIn	2015 08 26 07:50:00
NCB1226	Katrina	39.8		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-21.8553	Longitude	113.964	Location	North Mandu	Status	Fished	Site	MAN6	Visibility		DateTimeIn	2015 08 27 11:36:00
NCB1142	Nic	40.1		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-23.1667	Longitude	113.7322	Location	Maud deep outside	Status	Fished	Site	PN3	Visibility		DateTimeIn	2015 08 24 08:24:00
NCB1183	Matt	23.1		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.2802	Longitude	113.8021	Location	Osprey Sanctuary	Status	NoTake	Site	O4	Visibility		DateTimeIn	2015 08 26 08:15:00
NCB1055	Katrina	47.9		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.6386	Longitude	113.603	Location	Cloates Sanctuary	Status	NoTake	Site	C6	Visibility		DateTimeIn	2015 08 20 13:53:00
NCB1220	Matt	54.3		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-21.9206	Longitude	113.9104	Location	North Mandu	Status	Fished	Site	MAN4	Visibility		DateTimeIn	2015 08 27 09:01:00
NCB1139	Todd	41.6		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-23.237	Longitude	113.7303	Location	Between Maud and Pelican	Status	Fished	Site	PN2	Visibility		DateTimeIn	2015 08 23 15:27:00
NCB1202	Arthur	56.2		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.1297	Longitude	113.8546	Location	Mandu Sanctuary	Status	NoTake	Site	MA2	Visibility		DateTimeIn	2015 08 26 12:54:00
NCB1213	Matt	47.5		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.0094	Longitude	113.8916	Location	North Mandu	Status	Fished	Site	MAN2	Visibility		DateTimeIn	2015 08 26 15:40:00
NCB1045	Katrina	37.2		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.4789	Longitude	113.6716	Location	Winderabandi deep outside	Status	Fished	Site	CN3	Visibility		DateTimeIn	2015 08 20 10:15:00
NCB1038	Katrina	45.2		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.3645	Longitude	113.7366	Location	Between Winderabandi and Cloates	Status	Fished	Site	CN6	Visibility		DateTimeIn	2015 08 20 09:12:00
NCB1047	Todd	46.6		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-22.5114	Longitude	113.653	Location	Between Winderabandi and Cloates	Status	Fished	Site	CN3	Visibility		DateTimeIn	2015 08 20 12:43:00
NCB1145	Nic	38.5		CampaignID	2015_08_Ningaloo.deep.sanctuaries_stereoBRUVs	Latitude	-23.0921	Longitude	113.7196	Location	Maud deep outside	Status	Fished	Site	PN4	Visibility		DateTimeIn	2015 08 24 09:08:00
