Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,DBCA_Zone,DBCA_Sanctuary
NCB1151,-22.9044,113.7254,20150824,13:23:00,Cloates.Sanctuary,No-take,C1,42.6,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1152,-22.8887,113.7136,20150824,13:32:00,Cloates.Sanctuary,No-take,C1,43.8,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1153,-22.8727,113.7047,20150824,13:41:00,Cloates.Sanctuary,No-take,C1,40,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1154,-22.8527,113.6959,20150824,13:30:00,Cloates.Sanctuary,No-take,C2,40.2,Todd Bond,Yes,No,NA,Sanctuary,Cloates
NCB1155,-22.8379,113.6816,20150824,13:57:00,Cloates.Sanctuary,No-take,C2,40.7,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1156,-22.8186,113.6748,20150824,14:07:00,Cloates.Sanctuary,No-take,C2,41.6,NA,No,No,NA,Sanctuary,Cloates
NCB1157,-22.8037,113.6651,20150824,14:14:00,Cloates.Sanctuary,No-take,C3,44,NA,No,No,NA,Sanctuary,Cloates
NCB1158,-22.7889,113.652,20150824,14:20:00,Cloates.Sanctuary,No-take,C3,40.9,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1159,-22.7727,113.6426,20150824,14:25:00,Cloates.Sanctuary,No-take,C3,40.1,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1160,-22.7573,113.6284,20150824,14:35:00,Cloates.Sanctuary,No-take,C4,40.5,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1161,-22.7372,113.6176,20150825,8:49:00,Cloates.Sanctuary,No-take,C4,42.4,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1163,-22.7202,113.61,20150825,8:57:00,Cloates.Sanctuary,No-take,C4,32.4,Katrina Bornt,Yes,Yes,NA,Sanctuary,Cloates
NCB1162,-22.7095,113.601,20150825,9:03:00,Cloates.Sanctuary,No-take,C5,48.3,Matt Birt,Yes,Yes,NA,Sanctuary,Cloates
NCB1164,-22.6884,113.5936,20150825,9:10:00,Cloates.Sanctuary,No-take,C5,43.9,Brigit Vaughan,Yes,Yes,NA,Sanctuary,Cloates
NCB1165,-22.6704,113.5918,20150825,9:18:00,Cloates.Sanctuary,No-take,C5,39.9,Matt Birt,Yes,Yes,NA,Sanctuary,Cloates
NCB1054,-22.6243,113.6083,20150820,13:41:00,Cloates.Sanctuary,No-take,C6,45.4,Brigit Vaughan,Yes,Yes,NA,Sanctuary,Cloates
NCB1055,-22.6386,113.603,20150820,13:53:00,Cloates.Sanctuary,No-take,C6,47.9,Katrina Bornt,Yes,No,NA,Sanctuary,Cloates
NCB1166,-22.6523,113.597,20150825,9:25:00,Cloates.Sanctuary,No-take,C6,45,Todd Bond,Yes,Yes,NA,Sanctuary,Cloates
NCB1052,-22.5913,113.6227,20150820,13:26:00,Cloates.Sanctuary,No-take,C7,47.9,Izzy Lindgren,Yes,Yes,NA,Sanctuary,Cloates
NCB1053,-22.608,113.6131,20150820,13:33:00,Cloates.Sanctuary,No-take,C7,46.3,Izzy Lindgren,Yes,Yes,NA,Sanctuary,Cloates
NCB1050,-22.5605,113.6362,20150820,13:11:00,Between.Winderabandi.and.Cloates,Fished,CN1,48.2,Brigit Vaughan,Yes,Yes,NA,General Use,Cloates
NCB1051,-22.5767,113.6303,20150820,13:19:00,Between.Winderabandi.and.Cloates,Fished,CN1,50.6,Izzy Lindgren,Yes,Yes,NA,General Use,Cloates
NCB1048,-22.5266,113.6439,20150820,12:56:00,Between.Winderabandi.and.Cloates,Fished,CN2,53.6,Todd Bond,Yes,Yes,NA,General Use,Cloates
NCB1049,-22.5427,113.64,20150820,13:02:00,Between.Winderabandi.and.Cloates,Fished,CN2,50.3,Todd Bond,Yes,Yes,NA,General Use,Cloates
NCB1045,-22.4789,113.6716,20150820,10:15:00,Winderabandi.deep.outside,Fished,CN3,37.2,Katrina Bornt,Yes,Yes,NA,General Use,Cloates
NCB1046,-22.4965,113.6593,20150820,10:39:00,Winderabandi.deep.outside,Fished,CN3,49.7,Izzy Lindgren,Yes,Yes,NA,General Use,Cloates
NCB1047,-22.5114,113.653,20150820,12:43:00,Between.Winderabandi.and.Cloates,Fished,CN3,46.6,Todd Bond,Yes,Yes,NA,General Use,Cloates
NCB1042,-22.433,113.7015,20150820,9:52:00,Winderabandi.deep.outside,Fished,CN4,47.7,Izzy Lindgren,Yes,Yes,NA,General Use,Cloates
NCB1043,-22.4502,113.695,20150820,10:00:00,Winderabandi.deep.outside,Fished,CN4,46.8,Katrina Bornt,Yes,Yes,NA,General Use,Cloates
NCB1044,-22.4662,113.6865,20150820,10:06:00,Winderabandi.deep.outside,Fished,CN4,45.9,Izzy Lindgren,Yes,Yes,NA,General Use,Cloates
NCB1039,-22.381,113.7293,20150820,9:22:00,Winderabandi.deep.outside,Fished,CN5,46.5,Todd Bond,Yes,Yes,NA,General Use,Osprey
NCB1040,-22.3984,113.7232,20150820,9:35:00,Winderabandi.deep.outside,Fished,CN5,44.9,Todd Bond,Yes,Yes,NA,General Use,Osprey
NCB1041,-22.4147,113.7137,20150820,9:43:00,Winderabandi.deep.outside,Fished,CN5,43.9,Izzy Lindgren,Yes,Yes,NA,General Use,Osprey
NCB1038,-22.3645,113.7366,20150820,9:12:00,Between.Winderabandi.and.Cloates,Fished,CN6,45.2,Katrina Bornt,Yes,Yes,NA,General Use,Osprey
NCB1167,-22.3534,113.748,20150825,12:19:00,Between.Osprey.and.Winderabandi,Fished,CN6,39.9,Brigit Vaughan,Yes,Yes,NA,General Use,Osprey
NCB1168,-22.3354,113.752,20150825,12:28:00,Between.Osprey.and.Winderabandi,Fished,CN6,46.5,Matt Birt,Yes,Yes,NA,General Use,Osprey
