OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NCB1200	0	Analysis	NCB1200_L441.avi	11573	6.43588				0
NCB1210	0	Analysis	NCB1210_L377.avi	8464	5.64267				0
NCB1184	0	Analysis	NCB1184_L371.avi	5069	3.37933				0
NCB1050	0	Analysis	NCB1050_L371.avi	3067	2.04467				0
NCB1140	0	Analysis	NCB1140_L439.avi	8130	4.52119				0
NCB1190	0	Analysis	NCB1190_L377.avi	4929	3.28600				0
NCB1189	0	Analysis	NCB1189_L422.avi	2551	1.41864				0
NCB1137	0	Analysis	NCB1137_L441.avi	10696	5.94817				0
NCB1179	0	Analysis	NCB1179_L422.avi	6512	3.62140				0
NCB1226	0	Analysis	NCB1226_L367.avi	7999	5.33267				0
NCB1142	0	Analysis	NCB1142_L439.avi	22686	12.61595				0
NCB1183	0	Analysis	NCB1183_L375.avi	6633	4.42200				0
NCB1055	0	Analysis	NCB1055_R442.avi	15372	8.54855				0
NCB1220	0	Analysis	NCB1220_L367.avi	10908	7.27200				0
NCB1139	0	Analysis	NCB1139_L427.avi	11813	6.56935				0
NCB1202	0	Analysis	NCB1202_L367.avi	11201	7.46733				0
NCB1213	0	Analysis	NCB1213_L439.avi	11169	6.21121				0
NCB1045	0	Analysis	NCB1045_L367.avi	6196	4.13067				0
NCB1038	0	Analysis	NCB1038_L441.avi	10188	5.66567				0
NCB1047	0	Analysis	NCB1047_L373.avi	4910	3.27333				0
NCB1145	0	Analysis	NCB1145_L441.avi	7011	3.89890				0
NCB1195	0	Analysis	NCB1195_L375.avi	4728	3.15200				0
NCB1224	0	Analysis	NCB1224_L441.avi	11399	6.33912				0
NCB1188	0	Analysis	NCB1188_L377.avi	3178	2.11867				0
NCB1217	0	Analysis	NCB1217_L377.avi	19236	12.82400				0
NCB1048	0	Analysis	NCB1048_L367.avi	9050	6.03333				0
NCB1208	0	Analysis	NCB1208_L377.avi	8295	5.53000				0
NCB1207	0	Analysis	NCB1207_L420.avi	8633	4.80091				0
