Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,DBCA_Zone,DBCA_Sanctuary
NMP_20190803_MF-1_BRUV,-21.8506,113.9681,20190803,8:31:00,Ningaloo,Fished,MF-1,40,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-2_BRUV,-21.8584,113.9646,20190803,8:43:00,Ningaloo,Fished,MF-2,40,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-3_BRUV,-21.8609,113.9649,20190803,8:51:00,Ningaloo,Fished,MF-3,35,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-4_BRUV,-21.8649,113.9649,20190803,8:58:00,Ningaloo,Fished,MF-4,24,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-5_BRUV,-21.8708,113.962,20190803,9:03:00,Ningaloo,Fished,MF-5,30,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-6_BRUV,-21.8771,113.9572,20190803,9:08:00,Ningaloo,Fished,MF-6,26,Lauren Peel,No,No,General Use,Mandu SP
NMP_20190803_MF-7_BRUV,-21.8787,113.951,20190803,9:13:00,Ningaloo,Fished,MF-7,40,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-8_BRUV,-21.88,113.9465,20190803,9:18:00,Ningaloo,Fished,MF-8,38,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-9_BRUV,-21.886,113.9401,20190803,9:24:00,Ningaloo,Fished,MF-9,40,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-10_BRUV,-21.8897,113.9318,20190803,9:29:00,Ningaloo,Fished,MF-10,50,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-11_BRUV,-21.898,113.9279,20190803,11:03:00,Ningaloo,Fished,MF-11,42,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-12_BRUV,-21.9056,113.924,20190803,11:10:00,Ningaloo,Fished,MF-12,43,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-13_BRUV,-21.9136,113.9184,20190803,11:15:00,Ningaloo,Fished,MF-13,46,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-14_BRUV,-21.921,113.9174,20190803,11:19:00,Ningaloo,Fished,MF-14,43,Lauren Peel/Caleb Newton,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-15_BRUV,-21.9258,113.9169,20190803,11:23:00,Ningaloo,Fished,MF-15,40,Brae Price,Yes,No,General Use,Mandu SP
NMP_20190803_MF-16_BRUV,-21.9284,113.9161,20190803,11:26:00,Ningaloo,Fished,MF-16,96,Brae Price,Yes,No,General Use,Mandu SP
NMP_20190803_MF-17_BRUV,-21.9313,113.9154,20190803,11:30:00,Ningaloo,Fished,MF-17,32,Lauren Peel,Yes,No,General Use,Mandu SP
NMP_20190803_MF-18_BRUV,-21.9372,113.9131,20190803,11:35:00,Ningaloo,Fished,MF-18,30,Lauren Peel,Yes,No,General Use,Mandu SP
NMP_20190803_MF-19_BRUV,-21.9415,113.9078,20190803,11:44:00,Ningaloo,Fished,MF-19,50,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-20_BRUV,-21.9349,113.9035,20190803,11:52:00,Ningaloo,Fished,MF-20,62,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-21_BRUV,-21.9535,113.9067,20190803,13:54:00,Ningaloo,Fished,MF-21,45,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-22_BRUV,-21.9611,113.908,20190803,13:58:00,Ningaloo,Fished,MF-22,40,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-23_BRUV,-21.9685,113.9062,20190803,14:02:00,Ningaloo,Fished,MF-23,41,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-24_BRUV,-21.976,113.9056,20190803,14:06:00,Ningaloo,Fished,MF-24,43,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-25_BRUV,-21.9841,113.9045,20190803,14:10:00,Ningaloo,Fished,MF-25,45,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-26_BRUV,-21.9911,113.9013,20190803,14:15:00,Ningaloo,Fished,MF-26,45,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-27_BRUV,-21.9977,113.8968,20190803,14:18:00,Ningaloo,Fished,MF-27,46,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-28_BRUV,-22.0008,113.8938,20190803,14:23:00,Ningaloo,Fished,MF-28,53,Lauren Peel,Yes,No,General Use,Mandu SP
NMP_20190803_MF-29_BRUV,-22.0082,113.8928,20190803,14:26:00,Ningaloo,Fished,MF-29,50,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190803_MF-30_BRUV,-22.013,113.8921,20190803,14:30:00,Ningaloo,Fished,MF-30,42,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-31_BRUV,-22.0178,113.887,20190804,8:35:00,Ningaloo,Fished,MF-31,51,Lauren Peel,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-32_BRUV,-22.0202,113.887,20190804,8:39:00,Ningaloo,Fished,MF-32,48,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-33_BRUV,-22.0245,113.8868,20190804,8:43:00,Ningaloo,Fished,MF-33,49,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-34_BRUV,-22.0289,113.8861,20190804,8:47:00,Ningaloo,Fished,MF-34,52,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-35_BRUV,-22.0346,113.887,20190804,8:52:00,Ningaloo,Fished,MF-35,50,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-36_BRUV,-22.0394,113.8867,20190804,8:56:00,Ningaloo,Fished,MF-36,44,Brae Price,Yes,Yes,General Use,Mandu SP
NMP_20190804_MF-37_BRUV,-22.045,113.8839,20190804,9:00:00,Ningaloo,Fished,MF-37,52,Brae Price,Yes,No,General Use,Mandu SP
NMP_20190804_MF-38_BRUV,-22.0505,113.8826,20190804,9:03:00,Ningaloo,Fished,MF-38,51,Brae Price,Yes,Yes,General Use,Mandu SP
