"Sample","Family","Genus","Species","Count","Transect"
"B1-01","Labridae","Thalassoma","hardwicke",1,1
"B1-01","Labridae","Thalassoma","lutescens",1,1
"B1-01","Labridae","Thalassoma","hardwicke",1,1
"B1-01","Acanthuridae","Acanthurus","triostegus",1,1
"B1-01","Labridae","Choerodon","cauteroma",1,1
"B1-01","Labridae","Choerodon","schoenleinii",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","schlegeli",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Scarus","schlegeli",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Labridae","Choerodon","schoenleinii",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Mullidae","Parupeneus","spilurus",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Labridae","Thalassoma","lutescens",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Scarus","schlegeli",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Acanthuridae","Ctenochaetus","striatus",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Labridae","Choerodon","schoenleinii",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Chlorurus","sordidus",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Scaridae","Scarus","ghobban",1,1
"B1-01","Chaetodontidae","Chaetodon","auriga",1,1
"B1-01","Labridae","Stethojulis","bandanensis",1,1
"B1-01","Chaetodontidae","Chaetodon","auriga",1,1
"B1-01","Pomacentridae","Pomacentrus","coelestis",1,1
"B1-01","Chaetodontidae","Chaetodon","citrinellus",1,1
"B1-01","Pomacentridae","Pomacentrus","coelestis",1,1
"B1-01","Pomacentridae","Pomacentrus","coelestis",1,1
"B1-02","Labridae","Choerodon","schoenleinii",1,2
"B1-02","Pomacentridae","Stegastes","obreptus",1,2
"B1-02","Labridae","Choerodon","cyanodus",1,2
"B1-02","Scaridae","Scarus","schlegeli",1,2
"B1-02","Acanthuridae","Ctenochaetus","striatus",1,2
"B1-02","Scaridae","Chlorurus","sordidus",1,2
"B1-02","Scaridae","Scarus","schlegeli",1,2
"B1-02","Acanthuridae","Ctenochaetus","striatus",1,2
"B1-02","Acanthuridae","Ctenochaetus","striatus",1,2
