Sample,Family,Genus,Species,Count,Transect
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Acanthuridae,Acanthurus,triostegus,8,1
B1-01,Acanthuridae,Acanthurus,triostegus,6,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Scaridae,Scaridae,spp,1,1
B1-01,Scaridae,Scaridae,spp,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Scaridae,Chlorurus,sordidus,3,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Scaridae,Scaridae,spp,1,1
B1-01,Scaridae,Scaridae,spp,1,1
B1-01,Scaridae,Chlorurus,sordidus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,3,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Lutjanidae,Lutjanus,carponotatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Siganidae,Siganus,spp,7,1
B1-01,Scaridae,Scaridae,spp,2,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,3,1
B1-01,Siganidae,Siganus,spp,1,1
B1-01,Scaridae,Scaridae,spp,1,1
B1-01,Pomacentridae,Stegastes,obreptus,1,1
B1-01,Labridae,Hologymnosus,annulatus,1,1
B1-01,Labridae,Hologymnosus,annulatus,1,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,1
B1-01,Pomacentridae,Pomacentrus,milleri,1,1
