Sample,Family,Genus,Species,Count,Length,Transect
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,85.756,1
B1-01,Scaridae,Chlorurus,sordidus,1,87.192,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,77.921,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,69.119,1
B1-01,Pomacentridae,Stegastes,obreptus,1,64.515,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,86.656,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,169.256,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,107.071,1
B1-01,Scaridae,Chlorurus,sordidus,1,246.039,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,60.767,1
B1-01,Pomacentridae,Abudefduf,sexfasciatus,1,68.581,1
B1-01,Labridae,Thalassoma,lunare,1,143.896,1
B1-01,Labridae,Thalassoma,lutescens,1,147.5,1
B1-01,Pomacentridae,Pomacentrus,coelestis,1,50.536,1
B1-01,Labridae,Thalassoma,lutescens,1,86.868,1
B1-01,Labridae,Stethojulis,spp,1,65.165,1
B1-01,Labridae,Choerodon,schoenleinii,1,285.626,1
B1-01,Labridae,Thalassoma,lutescens,1,66.68,1
B1-01,Labridae,Stethojulis,spp,1,57.229,1
B1-01,Labridae,Thalassoma,lutescens,1,62.72,1
B1-01,Labridae,Stethojulis,bandanensis,1,54.027,1
B1-01,Labridae,Stethojulis,bandanensis,1,60.101,1
B1-01,Labridae,Thalassoma,lutescens,1,117.122,1
B1-01,Labridae,Thalassoma,lutescens,1,48.087,1
B1-01,Labridae,Stethojulis,bandanensis,1,58.87,1
B1-01,Labridae,Labridae,spp,1,34.226,1
B1-01,Labridae,Thalassoma,lutescens,1,112.867,1
B1-01,Labridae,Thalassoma,lutescens,1,58.321,1
B1-01,Labridae,Thalassoma,lutescens,1,57.663,1
B1-01,Labridae,Thalassoma,lutescens,1,76.982,1
B1-02,Labridae,Thalassoma,lutescens,1,58.806,2
B1-02,Labridae,Thalassoma,lutescens,1,56.225,2
B1-02,Labridae,Thalassoma,lutescens,1,86.199,2
B1-02,Scaridae,Chlorurus,sordidus,1,122.927,2
B1-02,Scaridae,Scaridae,spp,1,114.223,2
