"Sample","Family","Genus","Species","Count","Length","Transect"
"B1-01","Labridae","Choerodon","cauteroma",1,254.164,1
"B1-01","Pomacentridae","Pomacentrus","coelestis",1,29.042,1
"B1-02","Siganidae","Siganus","fuscescens",1,224.468,2
"B1-02","Labridae","Choerodon","schoenleinii",1,273.737,2
"B1-02","Siganidae","Siganus","fuscescens",1,206.484,2
"B1-02","Siganidae","Siganus","fuscescens",1,211.971,2
"B1-02","Labridae","Choerodon","cyanodus",1,156.941,2
"B1-02","Labridae","Thalassoma","lutescens",1,75.004,2
"B1-02","Scaridae","Scarus","schlegeli",1,145.294,2
"B1-02","Labridae","Thalassoma","lutescens",1,141.286,2
"B1-02","Scaridae","Chlorurus","sordidus",1,197.267,2
"B1-02","Labridae","Thalassoma","lutescens",1,166.993,2
"B1-02","Scaridae","Chlorurus","sordidus",1,179.877,2
"B1-02","Chaetodontidae","Chaetodon","citrinellus",1,93.335,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,118.205,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,99.57,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,104.475,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,75.317,2
"B1-02","Labridae","Thalassoma","lutescens",1,132.213,2
"B1-02","Labridae","Thalassoma","lutescens",1,136.302,2
"B1-02","Labridae","Choerodon","cauteroma",1,261.95,2
"B1-02","Scaridae","Scarus","schlegeli",1,212.671,2
"B1-02","Labridae","Thalassoma","lutescens",1,130.414,2
"B1-02","Chaetodontidae","Chaetodon","citrinellus",1,102.757,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,93.685,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,73.428,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,74.2,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,105.59,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,82.201,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,110.214,2
"B1-02","Scaridae","Chlorurus","sordidus",1,163.192,2
"B1-02","Scaridae","Chlorurus","sordidus",1,117.628,2
"B1-02","Scaridae","Chlorurus","sordidus",1,105.797,2
"B1-02","Labridae","Choerodon","schoenleinii",1,242.039,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,169.359,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,99.224,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,110.089,2
"B1-02","Acanthuridae","Acanthurus","triostegus",1,106.505,2
"B1-02","Pomacentridae","Stegastes","obreptus",1,79.288,2
"B1-02","Labridae","Thalassoma","lutescens",1,174.778,2
"B1-02","Labridae","Stethojulis","bandanensis",1,123.824,2
"B1-02","Labridae","Choerodon","cauteroma",1,196.792,2
"B1-03","Pomacentridae","Stegastes","obreptus",1,53.97,3
"B1-03","Scaridae","Scarus","rivulatus",1,163.144,3
"B1-03","Scaridae","Chlorurus","sordidus",1,220.062,3
"B1-03","Labridae","Thalassoma","lutescens",1,111.935,3
"B1-03","Labridae","Thalassoma","lutescens",1,95.428,3
"B1-03","Scaridae","Scarus","rivulatus",1,156.83,3
"B1-03","Labridae","Thalassoma","lutescens",1,171.448,3
"B1-03","Nemipteridae","Scolopsis","bilineata",1,154.498,3
"B1-03","Scaridae","Chlorurus","sordidus",1,199.921,3
"B1-03","Scaridae","Chlorurus","sordidus",1,236.235,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,205.556,3
"B1-03","Scaridae","Scarus","rivulatus",1,152.425,3
"B1-03","Scaridae","Scarus","rivulatus",1,167.258,3
"B1-03","Scaridae","Scarus","schlegeli",1,195.06,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,201.228,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,195.876,3
"B1-03","Acanthuridae","Acanthurus","nigricauda",1,166.183,3
"B1-03","Serranidae","Epinephelus","fasciatus",1,195.876,3
"B1-03","Labridae","Thalassoma","lutescens",1,179.323,3
"B1-03","Pomacentridae","Pomacentrus","milleri",1,90.522,3
"B1-03","Scaridae","Scaridae","spp",1,145.7,3
"B1-03","Scaridae","Scaridae","spp",1,195.405,3
"B1-03","Scaridae","Scarus","rivulatus",1,160.543,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,207.443,3
"B1-03","Pomacentridae","Abudefduf","bengalensis",1,228.215,3
"B1-03","Labridae","Choerodon","cauteroma",1,255.963,3
"B1-03","Labridae","Cheilinus","chlorourus",1,148.063,3
"B1-03","Pomacentridae","Abudefduf","bengalensis",1,162.059,3
"B1-03","Pinguipedidae","Parapercis","clathrata",1,159.907,3
"B1-03","Pomacentridae","Abudefduf","bengalensis",1,147.157,3
"B1-03","Pomacentridae","Abudefduf","bengalensis",1,146.527,3
"B1-03","Pomacentridae","Abudefduf","sexfasciatus",1,116.795,3
"B1-03","Pomacentridae","Abudefduf","sexfasciatus",1,120.861,3
"B1-03","Pomacentridae","Abudefduf","bengalensis",1,178.924,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,171.027,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,159.998,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,165.826,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,153.678,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,141.677,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,141.218,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,147.088,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,189.128,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,197.643,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,174.97,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,175.256,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,157.975,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,179.702,3
"B1-03","Acanthuridae","Acanthurus","triostegus",1,172.409,3
"B1-03","Scaridae","Scarus","schlegeli",1,251.317,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,197.185,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,218.169,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,191.199,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,230.295,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,212.797,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,193.55,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,185.559,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,204.061,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,167.919,3
"B1-03","Acanthuridae","Ctenochaetus","striatus",1,161.944,3
"B1-04","Scaridae","Scarus","rivulatus",1,276.423,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,196.06,4
"B1-04","Scaridae","Scarus","rivulatus",1,241.617,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,210.961,4
"B1-04","Scaridae","Scarus","rivulatus",1,291.745,4
"B1-04","Scaridae","Scarus","rivulatus",1,307.124,4
"B1-04","Scaridae","Chlorurus","sordidus",1,176.669,4
"B1-04","Pomacentridae","Abudefduf","sexfasciatus",1,121.642,4
"B1-04","Scaridae","Scarus","rivulatus",1,235.553,4
"B1-04","Pomacentridae","Abudefduf","sexfasciatus",1,111.958,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,185.84,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,189.059,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,242.194,4
"B1-04","Pomacentridae","Abudefduf","bengalensis",1,127.91,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,208.526,4
"B1-04","Scaridae","Scarus","rivulatus",1,309.366,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,179.534,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,182.006,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,213.379,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,58.969,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,33.026,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,52.028,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,205.596,4
"B1-04","Lutjanidae","Lutjanus","fulviflamma",1,196.819,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,56.7,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,53.348,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,198.686,4
"B1-04","Acanthuridae","Ctenochaetus","striatus",1,178.251,4
"B1-04","Pomacentridae","Pomacentrus","coelestis",1,40.338,4
"B1-04","Scaridae","Scarus","ghobban",1,180.382,4
"B1-04","Scaridae","Chlorurus","sordidus",1,229.92,4
"B1-04","Scaridae","Chlorurus","sordidus",1,170.374,4
"B1-04","Labridae","Choerodon","cauteroma",1,213.688,4
"B1-04","Chaetodontidae","Chelmon","marginalis",1,98.437,4
"B1-04","Labridae","Choerodon","schoenleinii",1,331.256,4
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,193.127,5
"B1-05","Mullidae","Parupeneus","barberinoides",1,196.025,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,187.491,5
"B1-05","Scaridae","Scarus","rivulatus",1,195.27,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,173.51,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,202.018,5
"B1-05","Scaridae","Scarus","rivulatus",1,235.171,5
"B1-05","Lutjanidae","Lutjanus","carponotatus",1,240.315,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,220.535,5
"B1-05","Chaetodontidae","Chaetodon","auriga",1,99.087,5
"B1-05","Labridae","Thalassoma","lunare",1,37.254,5
"B1-05","Kyphosidae","Kyphosus","vaigiensis",1,308.172,5
"B1-05","Scaridae","Scarus","rivulatus",1,252.861,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,206.976,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,180.713,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,179.772,5
"B1-05","Pomacentridae","Abudefduf","sexfasciatus",1,132.986,5
"B1-05","Lutjanidae","Lutjanus","carponotatus",1,222.932,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,206.53,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,197.69,5
"B1-05","Scaridae","Scarus","schlegeli",1,170.282,5
"B1-05","Scaridae","Scarus","rivulatus",1,284.501,5
"B1-05","Scaridae","Scarus","ghobban",1,310.741,5
"B1-05","Scaridae","Scarus","rivulatus",1,259.834,5
"B1-05","Scaridae","Scarus","rivulatus",1,271.61,5
"B1-05","Scaridae","Scarus","rivulatus",1,272.456,5
"B1-05","Scaridae","Scarus","rivulatus",1,244.079,5
"B1-05","Scaridae","Scarus","rivulatus",1,294.534,5
"B1-05","Haemulidae","Plectorhinchus","multivittatus",1,281.945,5
"B1-05","Scaridae","Chlorurus","sordidus",1,223.833,5
"B1-05","Scaridae","Scarus","schlegeli",1,215.927,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,212.263,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,212.37,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,194.519,5
"B1-05","Pomacentridae","Pomacentrus","coelestis",1,43.394,5
"B1-05","Pomacentridae","Pomacentrus","coelestis",1,45.17,5
"B1-05","Pomacentridae","Pomacentrus","coelestis",1,45.638,5
"B1-05","Pomacentridae","Pomacentrus","coelestis",1,39.28,5
"B1-05","Pomacentridae","Pomacentrus","coelestis",1,41.45,5
"B1-05","Labridae","Thalassoma","lutescens",1,123.531,5
"B1-05","Acanthuridae","Ctenochaetus","striatus",1,175.696,5
"B1-05","Chaetodontidae","Chaetodon","punctatofasciatus",1,64.075,5
"B1-05","Labridae","Thalassoma","lutescens",1,89.992,5
"B1-05","Pomacentridae","Pomacentrus","nagasakiensis",1,95.425,5
"B1-05","Labridae","Choerodon","cauteroma",1,250.812,5
