Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,DBCA_Zone,DBCA_Sanctuary
B1-01,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B1-02,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B1-03,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B1-04,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B1-05,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B1-06,-21.83921,114.17564,20170827,11:00:00,Ningaloo Marine Park,Fished,B1,Yes,Yes,3.5,Tanika,50,Recreation,Bundegi
B2-01,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B2-02,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B2-03,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B2-04,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B2-05,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B2-06,-21.856,114.16995,20170827,11:00:00,Ningaloo Marine Park,No-take,B2,Yes,Yes,5,Caprice,50,Sanctuary,Bundegi
B3-01,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B3-02,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B3-03,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B3-04,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B3-05,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B3-06,-21.86648,114.15926,20170827,11:00:00,Ningaloo Marine Park,No-take,B3,Yes,Yes,4,Tanika,50,Sanctuary,Bundegi
B4-01,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
B4-02,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
B4-03,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
B4-04,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
B4-05,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
B4-06,-21.83633,114.1777,20170825,11:00:00,Ningaloo Marine Park,Fished,B4,Yes,No,3.5,Caprice,50,Recreation,Bundegi
CB1-01,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB1-02,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB1-03,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB1-04,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB1-05,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB1-06,-23.17701,113.75987,20170828,11:00:00,Ningaloo Marine Park,Fished,CB1,Yes,Yes,3,Tanika,50,Recreation,Maud
CB2-01,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB2-02,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB2-03,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB2-04,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB2-05,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB2-06,-23.14517,113.76387,20170828,11:00:00,Ningaloo Marine Park,No-take,CB2,Yes,Yes,3,Caprice,50,Sanctuary,Maud
CB3-01,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB3-02,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB3-03,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB3-04,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB3-05,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB3-06,-23.14875,113.75278,20170828,11:00:00,Ningaloo Marine Park,No-take,CB3,Yes,Yes,2.5,Caprice,50,Sanctuary,Maud
CB5-01,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
CB5-02,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
CB5-03,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
CB5-04,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
CB5-05,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
CB5-06,-23.21458,113.76228,20170829,11:00:00,Ningaloo Marine Park,Fished,CB5,Yes,Yes,2,Caprice,50,Recreation,Maud
