OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NMP_20190730_MI1_DOV	0	MI01_L001_1.MP4	34413	MI01_R002_1.MP4	35133	9.56873	1	0.03142	182.63304	15.30656	8.57737	3600.71401	31.19275	65.84209	3.82358	1858.02426	-159.73062	-3080.15801	Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing		3321	
NMP_20190730_MI1_DOV	1	MI01_L001_1.MP4	34491	MI01_R002_1.MP4	35211	9.59041	1	0.05311	201.56397	3.09179	3.72528	3112.93470	19.80738	6.41230	9.29259	223.58535	-1030.87851	-2928.76450	Nemipteridae	Scolopsis	bilineata	37347031	1	AD	Passing			
NMP_20190730_MI1_DOV	2	MI01_L001_1.MP4	34491	MI01_R002_1.MP4	35211	9.59041	1	0.05311	154.69889	8.63580	4.26006	3025.07530	30.47940	42.05789	23.00919	1489.91549	-366.80974	-2607.04488	Nemipteridae	Scolopsis	bilineata	37347031	1	AD	Passing		2914	
NMP_20190730_MI1_DOV	3	MI01_L001_1.MP4	34514	MI01_R002_1.MP4	35234	9.59681	1	0.05950	271.98156	6.68233	8.45038	3246.78831	22.99317	18.99007	23.42361	704.70284	-1054.46180	-2988.83565	Scaridae	Chlorurus	sordidus	37386030	1	M	Passing		3049	
NMP_20190730_MI1_DOV	5	MI01_L001_1.MP4	34663	MI01_R002_1.MP4	35383	9.63824	1	0.10093	177.72257	3.39506	1.87284	2304.75603	20.27690	19.11604	23.56466	308.19760	-736.87494	-2161.92736	Synodontidae	Synodus	variegatus	37118023	1	AD	Passing		2174	
NMP_20190730_MI1_DOV	6	MI01_L001_1.MP4	34670	MI01_R002_1.MP4	35390	9.64019	1	0.10288	144.04016	6.43337	10.70661	2764.92355	19.00889	30.85713	26.42485	-126.62810	-891.62983	-2614.14686	Mullidae	Parupeneus	pleurostigma	37355027	1	AD	Passing			
NMP_20190730_MI1_DOV	8	MI01_L001_1.MP4	34829	MI01_R002_1.MP4	35549	9.68440	1	0.14709	84.85601	5.92824	8.10430	2979.31444	33.82470	5.68376	0.14123	1410.95416	-871.58143	-2475.04923	Chaetodontidae	Chaetodon	plebeius	37365050	1	AD	Passing			
NMP_20190730_MI1_DOV	16	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	118.99157	7.11862	6.63198	3260.96614	23.71932	12.63680	9.19591	1142.26518	-644.90647	-2985.50265	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	17	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	121.56202	7.54261	5.85688	3229.95977	21.88199	18.76862	9.72754	997.88516	-673.30832	-2997.25229	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	18	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	114.54963	6.98351	5.98984	3365.93022	20.26414	11.93437	18.80627	1053.23073	-499.75974	-3157.59900	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	19	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	143.59536	8.37125	7.80719	3255.70378	19.12598	22.77596	9.68102	906.42561	-562.39007	-3075.99043	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	20	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	124.52281	4.11139	6.46122	3423.42148	13.32045	4.67744	8.56346	493.55870	-615.24005	-3331.32017	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	21	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	136.69364	5.01336	7.61576	3502.60087	10.87242	10.63777	8.65553	287.48665	-594.84184	-3439.72781	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	22	MI01_L001_1.MP4	35698	MI01_R002_1.MP4	36418	9.92603	1	0.38872	153.27649	7.61615	7.46145	3658.79997	9.76156	17.28019	17.65343	337.05637	-520.78679	-3605.82741	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	23	MI01_L001_1.MP4	35733	MI01_R002_1.MP4	36453	9.93576	1	0.39845	122.63439	4.66805	5.74292	3416.00437	12.06988	6.31187	23.54960	614.77392	-363.70369	-3340.48777	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	24	MI01_L001_1.MP4	35763	MI01_R002_1.MP4	36483	9.94410	1	0.40680	121.07304	4.34243	7.40838	3403.02285	11.80166	4.47015	23.97817	597.90046	-356.27624	-3331.08793	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	25	MI01_L001_1.MP4	35763	MI01_R002_1.MP4	36483	9.94410	1	0.40680	125.52693	9.54950	7.95704	3421.59562	16.28051	32.50292	37.81575	855.31215	-434.19586	-3284.39213	Caesionidae	Pterocaesio	digramma	37346050	1	AD	Passing			
NMP_20190730_MI1_DOV	28	MI01_L001_1.MP4	36725	MI01_R002_1.MP4	37445	10.21159	1	0.67428	275.33928	10.73995	7.53043	3588.23447	19.74843	25.51544	4.12877	-943.04124	-762.01376	-3377.19334	Scaridae	Chlorurus	sordidus	37386030	1	M	Passing		3243	
NMP_20190730_MI1_DOV	29	MI01_L001_1.MP4	36739	MI01_R002_1.MP4	37459	10.21548	1	0.67818	105.95755	6.99834	9.41370	2932.31824	27.33215	38.12966	41.81309	-1171.05146	-664.33902	-2604.95344	Labridae	Thalassoma	lutescens	37384168	1	AD	Passing		2805	
NMP_20190730_MI1_DOV	34	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	73.52145	5.84369	4.44064	2420.00695	10.01253	31.84302	11.61296	-347.20024	-237.66256	-2383.14962	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	35	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	79.34132	4.68262	3.89307	1865.47714	8.18828	46.12120	10.33520	62.89700	-258.14137	-1846.45930	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	36	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	74.59741	3.67767	3.20270	1828.58886	16.67401	36.76982	14.76106	471.95383	-229.21115	-1751.70176	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	37	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	81.13088	7.45127	5.91349	2378.70417	5.61764	45.30808	12.14243	232.16624	17.82603	-2367.28000	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	38	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	77.52154	6.83591	5.39077	2386.37375	13.64590	41.15270	12.00166	553.96480	-100.42985	-2319.01197	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	39	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	60.34319	4.51834	5.10392	2572.54789	19.74358	12.85231	15.16648	868.13167	39.63131	-2421.31770	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	40	MI01_L001_1.MP4	36903	MI01_R002_1.MP4	37623	10.26108	1	0.72378	68.96468	5.53661	4.10904	2131.26931	26.83578	61.32627	21.37100	954.98177	-117.05775	-1901.74030	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	41	MI01_L001_1.MP4	36959	MI01_R002_1.MP4	37679	10.27666	1	0.73935	61.68303	5.75572	3.46505	2140.99700	26.62611	59.54978	14.57312	943.62513	-173.94339	-1913.94448	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
NMP_20190730_MI1_DOV	42	MI01_L001_1.MP4	37162	MI01_R002_1.MP4	37882	10.33310	1	0.79580	356.54902	15.01305	2.98149	4796.17069	24.42024	2.39151	9.29456	1924.45513	-477.71886	-4367.09405	Lutjanidae	Lutjanus	carponotatus	37346011	1	AD	Passing		4470	
NMP_20190730_MI1_DOV	46	MI01_L001_1.MP4	37475	MI01_R002_1.MP4	38195	10.42013	1	0.88283	226.60146	9.63490	6.45200	3369.00773	26.01805	30.81546	18.08234	978.15721	-1107.78580	-3027.57860	Acanthuridae	Acanthurus	grammoptilus	37437002	1	AD	Passing		2940	
NMP_20190730_MI1_DOV	48	MI01_L001_1.MP4	37661	MI01_R002_1.MP4	38381	10.47185	1	0.93454	176.84527	15.10387	13.23459	4523.91477	24.65269	20.33788	13.25201	-1557.97375	-1064.65477	-4111.57304	Acanthuridae	Acanthurus	olivaceus	37437016	1	AD	Passing		4128	
NMP_20190730_MI1_DOV	53	MI01_L001_1.MP4	38185	MI01_R002_1.MP4	38905	10.61755	1	1.08025	59.74963	5.76868	3.50743	2225.47061	27.95092	56.84567	19.22857	1036.57572	116.58614	-1965.86823	Pomacentridae	Chromis	weberi	37372054	1	AD	Passing			
