OpCode,Period,Latitude,Longitude,Date.time,Site,Location,Status,Depth,Observer.count,Observer.length,Successful.count,Successful.length,Comment,Transect_Length,DBCA_Zone,DBCA_Sanctuary
NMP_20190731_B1_DOV,1,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B1_DOV,2,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B1_DOV,3,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B1_DOV,4,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B1_DOV,5,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B1_DOV,6,-21.83921,114.17564,2019-07-31T13:00:00+0800,B1,Ningaloo Marine Park,Fished,3.5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Recreation,Bundegi
NMP_20190731_B2_DOV,1,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190731_B2_DOV,2,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190731_B2_DOV,3,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190731_B2_DOV,4,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190731_B2_DOV,5,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190731_B2_DOV,6,-21.856,114.16995,2019-07-31T13:43:00+0800,B2,Ningaloo Marine Park,No-take,5,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
NMP_20190801_B3_DOV,1,-21.86648,114.15926,2019-08-01T13:01:00+0800,B3,Ningaloo Marine Park,No-take,4,Caprice Hyde,Caprice Hyde,Yes,Yes,,50,Sanctuary,Bundegi
