OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NMP_20190730_MI1_DOV	0	1	MI01_L001_1.MP4	34300	9.53731	MI01_L001_1.MP4	41906	11.65220	1
NMP_20190730_MI1_DOV	1	2	MI01_L001_1.MP4	44372	12.33788	MI01_L001_1.MP4	52241	14.52590	1
NMP_20190730_MI1_DOV	2	3	MI01_L001_1.MP4	54448	15.13957	MI01_L001_1.MP4	61905	17.21303	1
NMP_20190730_MI1_DOV	3	4	MI01_L001_1.MP4	64260	17.86785	MI01_L001_1.MP4	72448	20.14457	1
NMP_20190730_MI1_DOV	4	5	MI01_L001_1.MP4	74858	20.81468	MI01_L001_2.MP4	1366	22.93625	1
NMP_20190730_MI1_DOV	5	6	MI01_L001_2.MP4	4546	23.82046	MI01_L001_2.MP4	12490	26.02934	1
NMP_20190730_MI2_DOV	0	1	MI02_L001_3.MP4	22663	6.30157	MI02_L001_3.MP4	31230	8.68367	1
NMP_20190730_MI2_DOV	1	2	MI02_L001_3.MP4	33666	9.36102	MI02_L001_3.MP4	42718	11.87798	1
NMP_20190730_MI2_DOV	2	3	MI02_L001_3.MP4	45099	12.54003	MI02_L001_3.MP4	53585	14.89961	1
NMP_20190730_MI2_DOV	3	4	MI02_L001_3.MP4	56565	15.72821	MI02_L001_3.MP4	63733	17.72131	1
NMP_20190730_MI2_DOV	4	5	MI02_L001_3.MP4	66007	18.35361	MI02_L001_3.MP4	74254	20.64674	1
NMP_20190730_MI2_DOV	5	6	MI02_L001_3.MP4	77175	21.45894	MI02_L001_4.MP4	4009	23.67115	1
NMP_20190730_MI3_DOV	0	1	MI03_L001_5.MP4	23988	6.67000	MI03_L001_5.MP4	30840	8.57523	1
NMP_20190730_MI3_DOV	1	2	MI03_L001_5.MP4	32846	9.13301	MI03_L001_5.MP4	40277	11.19924	1
NMP_20190730_MI3_DOV	2	3	MI03_L001_5.MP4	42767	11.89160	MI03_L001_5.MP4	50011	13.90584	1
NMP_20190730_MI3_DOV	3	4	MI03_L001_5.MP4	52068	14.47780	MI03_L001_5.MP4	58886	16.37358	1
NMP_20190730_MI3_DOV	4	5	MI03_L001_5.MP4	61405	17.07400	MI03_L001_5.MP4	68587	19.07100	1
NMP_20190730_MI3_DOV	5	6	MI03_L001_5.MP4	70830	19.69468	MI03_L001_5.MP4	77785	21.62855	1
NMP_20190730_MI4_DOV	0	1	MI04_L001_7.MP4	26553	7.38321	MI04_L001_7.MP4	34528	9.60070	1
NMP_20190730_MI4_DOV	1	2	MI04_L001_7.MP4	36818	10.23745	MI04_L001_7.MP4	44681	12.42380	1
NMP_20190730_MI4_DOV	2	3	MI04_L001_7.MP4	47053	13.08335	MI04_L001_7.MP4	53785	14.95522	1
NMP_20190730_MI4_DOV	3	4	MI04_L001_7.MP4	55423	15.41067	MI04_L001_7.MP4	63384	17.62427	1
NMP_20190730_MI4_DOV	4	5	MI04_L001_7.MP4	65424	18.19151	MI04_L001_7.MP4	71654	19.92379	1
NMP_20190730_MI4_DOV	5	6	MI04_L001_7.MP4	73435	20.41901	MI04_L001_7.MP4	80491	22.38097	1
NMP_20190731_B1_DOV	0	1	B01_L001_6.MP4	24858	6.91190	B01_L001_6.MP4	31681	8.80908	1
NMP_20190731_B1_DOV	1	2	B01_L001_6.MP4	34422	9.57123	B01_L001_6.MP4	41735	11.60465	1
NMP_20190731_B1_DOV	2	3	B01_L001_6.MP4	43976	12.22777	B01_L001_6.MP4	51092	14.20641	1
NMP_20190731_B1_DOV	3	4	B01_L001_6.MP4	52910	14.71192	B01_L001_6.MP4	60328	16.77454	1
NMP_20190731_B1_DOV	4	5	B01_L001_6.MP4	62770	17.45355	B01_L001_6.MP4	69694	19.37880	1
NMP_20190731_B1_DOV	5	6	B01_L001_6.MP4	71880	19.98663	B01_L001_6.MP4	78802	21.91133	1
NMP_20190731_B2_DOV	0	1	B02_L001_8.MP4	45666	12.69768	B02_L001_8.MP4	52415	14.57428	1
NMP_20190731_B2_DOV	1	2	B02_L001_8.MP4	54005	15.01639	B02_L001_8.MP4	60578	16.84405	1
NMP_20190731_B2_DOV	2	3	B02_L001_8.MP4	61979	17.23361	B02_L001_8.MP4	68339	19.00204	1
NMP_20190731_B2_DOV	3	4	B02_L001_8.MP4	70080	19.48613	B02_L001_8.MP4	77184	21.46144	1
NMP_20190731_B2_DOV	4	5	B02_L001_8.MP4	79132	22.00309	B02_L001_9.MP4	4928	23.92668	1
NMP_20190731_B2_DOV	5	6	B02_L001_9.MP4	7430	24.62238	B02_L001_9.MP4	13545	26.32269	1
NMP_20190731_L1_DOV	0	1	L01_L001_1.MP4	52731	14.66215	L01_L001_1.MP4	59039	16.41612	1
NMP_20190731_L1_DOV	1	2	L01_L001_1.MP4	61293	17.04286	L01_L001_1.MP4	66853	18.58885	1
NMP_20190731_L1_DOV	2	3	L01_L001_1.MP4	68960	19.17471	L01_L001_1.MP4	75249	20.92340	1
NMP_20190731_L1_DOV	3	4	L01_L001_1.MP4	77739	21.61576	L01_L001_2.MP4	2581	23.27408	1
NMP_20190731_L1_DOV	4	5	L01_L001_2.MP4	4953	23.93363	L01_L001_2.MP4	10977	25.60864	1
NMP_20190731_L1_DOV	5	6	L01_L001_2.MP4	12644	26.07216	L01_L001_2.MP4	20259	28.18955	1
NMP_20190731_L2_DOV	0	1	L02_L001_3.MP4	42344	11.77398	L02_L001_3.MP4	48937	13.60720	1
NMP_20190731_L2_DOV	1	2	L02_L001_3.MP4	53507	14.87792	L02_L001_3.MP4	60069	16.70252	1
NMP_20190731_L2_DOV	2	3	L02_L001_3.MP4	62370	17.34233	L02_L001_3.MP4	68660	19.09129	1
NMP_20190731_L2_DOV	3	4	L02_L001_3.MP4	76610	21.30184	L02_L001_4.MP4	1502	22.97406	1
