OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NMP_20190730_MI4_DOV	0	MI04_L001_7.MP4	69190	19.23866	5	1.04716	584.50405	640.57650	0.00000	0.00000						AD	Passing	turtle		
NMP_20190731_B1_DOV	0	B01_L001_6.MP4	36894	10.25858	2	0.68735	1535.19412	803.95522	0.00000	0.00000	Scaridae	Scarus	rivulatus	37386027	1	AD	Passing			
NMP_20190731_L2_DOV	0	L02_L001_3.MP4	47510	13.21042	1	1.43644	1720.54565	318.35821	0.00000	0.00000	Carangidae	Carangoides	gymnostethus	37337022	1	AD	Passing			
NMP_20190731_L2_DOV	1	L02_L001_3.MP4	56430	15.69068	2	0.81276	892.50787	898.65672	0.00000	0.00000	Apogonidae	Ostorhinchus	aureus	37327020	1	AD	Passing			
NMP_20190801_B4_DOV	0	B04_L001_1.MP4	34034	9.46332	1	1.76815	1206.96013	958.09701	0.00000	0.00000			sp		1	AD	Passing			
NMP_20190802_M1_DOV	0	M01_L001_4.MP4	13720	26.37135	5	2.25420	489.01126	520.17798	0.00000	0.00000					1	AD	Passing	turtle		
NMP_20190802_M3_DOV	0	M03_L001_2.MP4	54680	37.75987	5	1.35413	1700.60531	919.95609	0.00000	0.00000					1	AD	Passing	Turtle		
NMP_20190805_O3_DOV	0	O3_L001_3.MP4	58850	16.36354	1	1.24291	78.57293	816.04478	0.00000	0.00000	Scaridae	Scarus	prasiognathos	37386023	1	AD	Passing		REVISIT	
NMP_20190805_O3_DOV	1	O3_L001_4.MP4	35645	32.46709	6	1.68668	136.99895	775.74627	0.00000	0.00000	Chaetodontidae	Chaetodon	plebeius	37365050	1	AD	Passing			
NMP_20190805_O4_DOV	0	O4_L001_1.MP4	28628	7.96017	1	1.22539	580.23085	358.65672	0.00000	0.00000	Scaridae	Scarus	sp1		1	AD	Passing			
NMP_20190806_P2_DOV	0	P2_L001_1.MP4	73108	20.32809	5	0.83945	783.20553	585.25140	0.00000	0.00000					1	AD	Passing	Turtle		
NMP_20190806_P3_DOV	0	P3_L001_3.MP4	78209	21.74645	2	0.90062	897.37529	484.74761	0.00000	0.00000					1	AD	Passing	Green Turtle		
NMP_20190831_CL4_DOV	0	CL4_L001_2.MP4	12508	26.03434	6	0.66344	1228.96118	765.67164	0.00000	0.00000			spp			AD	Passing	Turtle		
NMP_20190831_CL4_DOV	1	CL4_L001_2.MP4	15100	26.75506	6	1.38416	1579.51731	366.71642	0.00000	0.00000			spp			AD	Passing	Turtle		
NMP_20190831_CL4_DOV	2	CL4_L001_2.MP4	15100	26.75506	6	1.38416	1654.06086	828.13433	0.00000	0.00000			spp			AD	Passing	Cuttlefish		
NMP_20190901_CL2_DOV	0	CL2_L001_5.MP4	45200	12.56811	1	1.87243	1138.30010	630.67164	0.00000	0.00000			spp			AD	Passing	turtle		
NMP_20190901_CL2_DOV	1	CL2_L001_5.MP4	70059	19.48029	3	2.00923	795.80273	668.95522	0.00000	0.00000			spp			AD	Passing	turtle		
NMP_20190901_CL2_DOV	2	CL2_L001_6.MP4	14492	26.58600	5	2.12434	1571.45855	715.23881	0.00000	0.00000			spp		1	AD	Passing			
NMP_20190902_CF3_DOV	0	CF3_L001_5.MP4	80975	22.51555	4	1.29796	396.89402	413.05970	0.00000	0.00000					1	AD	Passing	Turtle		
