"","Species","Year","Month","Day","Region","Location","Block","Lat","Lon","Sector","CaptureMeth","TL","TL10","TL20","TL50"
"1","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",339,330,320,300
"2","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",472,470,460,450
"3","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",410,410,400,400
"4","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",405,400,400,400
"5","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",340,340,340,300
"6","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",365,360,360,350
"7","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",395,390,380,350
"8","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",437,430,420,400
"9","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",310,310,300,300
"10","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",490,490,480,450
"11","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",470,470,460,450
"12","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",362,360,360,350
"13","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",525,520,520,500
"14","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",370,370,360,350
"15","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",405,400,400,400
"16","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",360,360,360,350
"17","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",490,490,480,450
"18","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",405,400,400,400
"19","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",367,360,360,350
"20","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",523,520,520,500
"21","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",328,320,320,300
"22","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",467,460,460,450
"23","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",318,310,300,300
"24","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",315,310,300,300
"25","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",405,400,400,400
"26","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",308,300,300,300
"27","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",408,400,400,400
"28","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",396,390,380,350
"29","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",330,330,320,300
"30","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",344,340,340,300
"31","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",410,410,400,400
"32","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",350,350,340,350
"33","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",370,370,360,350
"34","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",320,320,320,300
"35","Redthroat Emperor",2005,4,23,"Mid","Dongara",NA,NA,NA,"Commercial","LINE",443,440,440,400
