OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SBMP_20200320_H1-1_BRUV	2	H1-1_L22_02.MP4	59857	H1-1_R21_03.MP4	56099	16.64354	Soak time	5.45544	-284.60217	-128.61750	-1385.16660	1.00137	0.73417	3.77935	0.47140	1419.93921	13.00361	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	14	H1-1_L22_02.MP4	62834	H1-1_R21_03.MP4	59076	17.47131	Soak time	6.28321	-111.62541	-107.00198	-1083.06227	0.58265	0.56383	2.34445	0.75517	1094.04458	8.61438	Lethrinidae	Lethrinus	spp		2	AD	Passing			
SBMP_20200320_H1-1_BRUV	16	H1-1_L22_02.MP4	63594	H1-1_R21_03.MP4	59836	17.68263	Soak time	6.49453	-635.16121	-216.61223	-2611.76969	3.34993	1.56211	13.21788	2.46285	2696.60742	14.64586	Labridae	Choerodon	schoenleinii	37384010	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	20	H1-1_L22_02.MP4	71485	H1-1_R21_03.MP4	67728	19.87676	Soak time	8.68866	-199.49914	13.42767	-627.40182	0.39013	0.30539	0.74806	1.02667	658.49317	17.64365	Blenniidae	Ecsenius	lineatus	37408025	1	AD	Passing			
SBMP_20200320_H1-1_BRUV	30	H1-1_L22_03.MP4	45673	H1-1_R21_04.MP4	41915	35.25543	Soak time	24.06733	-48.81996	-7.34258	-445.27553	0.22644	0.22002	0.39390	1.97454	448.00402	6.46442	Hydrophyiidae		spp		1	AD	Passing			
SBMP_20200320_H1-1_BRUV	31	H1-1_L22_03.MP4	60672	H1-1_R21_04.MP4	56914	39.42597	Soak time	28.23788	-297.61746	-139.18265	-1199.65284	0.88709	0.64780	2.82606	1.64039	1243.83074	15.61919	Lethrinidae	Lethrinus	nebulosus	37351008	2	AD	Passing			
SBMP_20200320_H1-1_BRUV	34	H1-1_L22_03.MP4	77930	H1-1_R21_04.MP4	74172	44.22465	Soak time	33.03655	255.22952	69.22432	-2166.41917	1.49045	1.13011	9.28527	10.12987	2182.49997	6.81199	Carangidae	Seriola	hippos	37337007	6	AD	Passing			
SBMP_20200320_H1-1_BRUV	38	H1-1_L22_04.MP4	45366	H1-1_R21_05.MP4	41608	57.70948	Soak time	46.52138	-277.02744	-123.66588	-1392.79663	0.99287	0.73300	3.82316	2.57478	1425.45428	12.58337	Gerreidae	Gerres	subfasciatus	37349005	23	AD	Passing			
SBMP_20200320_H1-1_BRUV	41	H1-1_L22_04.MP4	57487	H1-1_R21_05.MP4	53730	61.07979	Soak time	49.89169	-285.50943	66.96871	-1451.68176	1.05050	0.74335	4.14430	10.69710	1481.00654	11.28356	Carangidae	Gnathanodon	speciosus	37337012	12	AD	Passing			
SBMP_20200320_H1-1_BRUV	42	H1-1_L22_04.MP4	57487	H1-1_R21_05.MP4	53729	61.07979	Soak time	49.89169	-291.17298	333.65385	-2591.07681	1.89754	2.22274	13.09152	4.33420	2628.64711	9.19241	Rhinidae	Rhynchobatus	spp		1	AD	Passing			
SBMP_20200320_H1-2_BRUV	0	H1-2_L18_04.MP4	14608	H1-2_R17_03.MP4	13685	4.06183	Soak time	0.32699	-1289.89432	-351.26994	-2078.87657	4.62856	1.58469	7.70553	3.72070	2471.62815	32.78508	Pomacentridae	Pomacentrus	vaiuli	37372126	1	AD	Passing			
SBMP_20200320_H1-2_BRUV	3	H1-2_L18_04.MP4	19250	H1-2_R17_03.MP4	18327	5.35256	Soak time	1.61772	479.41575	79.99991	-1513.92954	1.56627	0.77950	4.59455	3.30099	1590.03839	17.77422	Sphyraenidae	Sphyraena	obtusata	37382007	1	AD	Passing			
SBMP_20200320_H1-2_BRUV	6	H1-2_L18_04.MP4	22382	H1-2_R17_03.MP4	21459	6.22343	Soak time	2.48859	-336.68297	-305.87265	-853.46599	0.67570	0.64751	1.42101	6.31234	967.11824	28.16124	Nemipteridae	Pentapodus	vitta	37347022	1	AD	Passing			
SBMP_20200320_H1-2_BRUV	11	H1-2_L18_04.MP4	26338	H1-2_R17_03.MP4	25415	7.32341	Soak time	3.58858	237.27480	-256.47931	-1273.65245	0.85120	0.89505	3.27870	1.71413	1320.70872	15.45492	Pomacentridae	Neopomacentrus	aktites	37372090	22	AD	Passing			
