OpCode,Latitude,Longitude,Date.time,Location,Status,Site,Depth,Successful.count,Successful.length,Observer.count,Observer.length,DBCA_Zone,DBCA_Sanctuary
SBMP_20200320_S8-1_BRUV,-25.92486386,113.1875366,2020-03-20T15:20:25Z,Shark Bay,Fished,S8,4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-2_BRUV,-25.92706615,113.1914353,2020-03-20T15:27:34Z,Shark Bay,Fished,S8,4.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-3_BRUV,-25.92970741,113.1939649,2020-03-20T15:30:28Z,Shark Bay,Fished,S8,5.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-4_BRUV,-25.93196922,113.1964499,2020-03-20T15:33:57Z,Shark Bay,Fished,S8,7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-5_BRUV,-25.93451376,113.1996939,2020-03-20T15:39:36Z,Shark Bay,Fished,S8,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-6_BRUV,-25.93937591,113.1925513,2020-03-20T15:45:41Z,Shark Bay,Fished,S8,4.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-7_BRUV,-25.941541,113.1935929,2020-03-20T15:48:04Z,Shark Bay,Fished,S8,4.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-8_BRUV,-25.94466959,113.1964499,2020-03-20T15:51:18Z,Shark Bay,Fished,S8,6.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-9_BRUV,-25.94828923,113.1967029,2020-03-20T15:54:53Z,Shark Bay,Fished,S8,5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200320_S8-10_BRUV,-25.95238876,113.1968964,2020-03-20T15:58:21Z,Shark Bay,Fished,S8,4.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S2-1_BRUV,-26.13686914,113.252885,2020-03-21T08:01:11Z,Shark Bay,Fished,S2,3.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S2-2_BRUV,-26.13379636,113.2538671,2020-03-21T08:05:13Z,Shark Bay,Fished,S2,4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S2-3_BRUV,-26.12968938,113.2552659,2020-03-21T08:08:26Z,Shark Bay,Fished,S2,3.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S2-4_BRUV,-26.12605858,113.255742,2020-03-21T08:11:12Z,Shark Bay,Fished,S2,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S2-5_BRUV,-26.12230129,113.256367,2020-03-21T08:13:59Z,Shark Bay,Fished,S2,4.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S3-1_BRUV,-26.10511451,113.2521708,2020-03-21T08:22:45Z,Shark Bay,Fished,S3,2.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S3-2_BRUV,-26.10154322,113.2503553,2020-03-21T08:26:03Z,Shark Bay,Fished,S3,2.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S3-4_BRUV,-26.09422007,113.2467912,2020-03-21T08:31:58Z,Shark Bay,Fished,S3,2.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S3-3_BRUV,-26.09859875,113.2486068,2020-03-21T08:28:40Z,Shark Bay,Fished,S3,2.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S4-1_BRUV,-26.07417891,113.2317529,2020-03-21T10:03:02Z,Shark Bay,Fished,S4,4.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S4-2_BRUV,-26.07044101,113.2310053,2020-03-21T10:06:05Z,Shark Bay,Fished,S4,3.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S4-3_BRUV,-26.06809147,113.2296169,2020-03-21T10:08:50Z,Shark Bay,Fished,S4,3.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S4-4_BRUV,-26.06574194,113.2286558,2020-03-21T10:10:33Z,Shark Bay,Fished,S4,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S4-5_BRUV,-26.0634992,113.2278014,2020-03-21T10:13:06Z,Shark Bay,Fished,S4,3.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S5-1_BRUV,-26.0559433,113.2653139,2020-03-21T10:28:41Z,Shark Bay,Fished,S5,3.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S5-2_BRUV,-26.05311317,113.2669692,2020-03-21T10:31:34Z,Shark Bay,Fished,S5,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S5-3_BRUV,-26.05017625,113.2688382,2020-03-21T10:34:17Z,Shark Bay,Fished,S5,3.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200321_S5-4_BRUV,-26.04792016,113.2703867,2020-03-21T10:37:15Z,Shark Bay,Fished,S5,3.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S7-5_BRUV,-26.01315933,113.3698503,2020-03-22T08:03:31Z,Shark Bay,Fished,S7,8.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S7-4_BRUV,-26.01447035,113.3720277,2020-03-22T08:05:59Z,Shark Bay,Fished,S7,8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S7-3_BRUV,-26.01637228,113.3737118,2020-03-22T08:08:09Z,Shark Bay,Fished,S7,9.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S7-2_BRUV,-26.01806068,113.3751797,2020-03-22T08:10:10Z,Shark Bay,Fished,S7,9.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S7-1_BRUV,-26.01978347,113.3767747,2020-03-22T08:12:24Z,Shark Bay,Fished,S7,8.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S9-1_BRUV,-26.04134042,113.3916713,2020-03-22T08:26:44Z,Shark Bay,Fished,S9,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S9-2_BRUV,-26.04314848,113.3927407,2020-03-22T08:28:32Z,Shark Bay,Fished,S9,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S9-3_BRUV,-26.04489927,113.3945717,2020-03-22T08:30:22Z,Shark Bay,Fished,S9,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S9-4_BRUV,-26.04598847,113.3966375,2020-03-22T08:32:10Z,Shark Bay,Fished,S9,7.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
SBMP_20200322_S9-5_BRUV,-26.04687453,113.3989877,2020-03-22T08:34:14Z,Shark Bay,Fished,S9,7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA
