Sample,Family,Genus,Species,Count,Transect
SBY_20100620_SB205_DOV_1,Lutjanidae,Lutjanus,carponotatus,1,1
SBY_20100620_SB205_DOV_1,Cheilodactylidae,Cheilodactylus,rubrolabiatus,1,1
SBY_20100620_SB205_DOV_1,Chaetodontidae,Chaetodon,trifascialis,1,1
SBY_20100620_SB205_DOV_1,Lutjanidae,Lutjanus,carponotatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Stegastes,obreptus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Dascyllus,reticulatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Chaetodontidae,Chaetodon,trifascialis,1,1
SBY_20100620_SB205_DOV_1,Chaetodontidae,Chaetodon,plebeius,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Abudefduf,sexfasciatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Chaetodontidae,Chaetodon,plebeius,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Chromis,viridis,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Stegastes,obreptus,1,1
SBY_20100620_SB205_DOV_1,Labridae,Thalassoma,lunare,1,1
SBY_20100620_SB205_DOV_1,Labridae,Unknown,spp,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Dascyllus,reticulatus,1,1
SBY_20100620_SB205_DOV_1,Pomacentridae,Dascyllus,reticulatus,1,1
