Sample,Family,Genus,Species,Count,Length,Transect
SBMP_Fish202_2050309_1,Labridae,Unknown,spp,1,52.577,1
SBMP_Fish202_2050309_1,Pomacentridae,Stegastes,obreptus,1,57.018,1
SBMP_Fish202_2050309_1,Labridae,Thalassoma,spp,1,70.535,1
SBMP_Fish202_2050309_1,Labridae,Thalassoma,spp,1,81.926,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,90.819,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,94.941,1
SBMP_Fish202_2050309_1,Labridae,Thalassoma,lutescens,1,96.847,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,101.878,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,107.246,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,109.541,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,119.827,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,126.733,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,128.048,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,140.16,1
SBMP_Fish202_2050309_1,Pomacentridae,Abudefduf,sexfasciatus,1,147.72,1
SBMP_Fish202_2050309_1,Labridae,Bodianus,axillaris,1,148.77,1
SBMP_Fish202_2050309_1,Labridae,Thalassoma,lutescens,1,164.69,1
SBMP_Fish202_2050309_1,Lutjanidae,Lutjanus,carponotatus,1,215.952,1
SBMP_Fish202_2050309_1,Kyphosidae,Kyphosus,bigibbus,1,250.94,1
SBMP_Fish202_2050309_1,Kyphosidae,Kyphosus,bigibbus,1,261.709,1
SBMP_Fish202_2050309_1,Kyphosidae,Kyphosus,bigibbus,1,277.582,1
SBMP_Fish202_2050309_1,Scaridae,Scarus,ghobban,1,285.482,1
SBMP_Fish202_2050309_1,Kyphosidae,Kyphosus,bigibbus,1,293.842,1
SBMP_Fish202_2050309_1,Lutjanidae,Lutjanus,carponotatus,1,294.643,1
