Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Successful.count,Successful.length,Depth,Observer,Transect_Length,Zone
SBMP_Fish202_2050309_1,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish202_2050309_2,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish202_2050309_3,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish202_2050309_4,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish202_2050309_5,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish202_2050309_6,-25.12671,113.1129,20150309,12:01:00,Shark Bay,Fished,SB202,Yes,Yes,6,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_1,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_2,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_3,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_4,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_5,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_Fish213_20150309_6,-24.93167,113.15264,20150309,12:01:00,Shark Bay,Fished,SB213,Yes,Yes,4,Nicole Ryan,50,Outside
SBMP_FishHSTD_20150310_1,-25.98036,113.19049,20150310,12:01:00,Shark Bay,Fished,SBHSTD,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishHSTD_20150310_2,-25.98036,113.19049,20150310,12:01:00,Shark Bay,Fished,SBHSTD,Yes,Yes,4,Nicole Ryan,50,General Use
SBMP_FishHSTD_20150310_3,-25.98036,113.19049,20150310,12:01:00,Shark Bay,Fished,SBHSTD,Yes,Yes,4,Nicole Ryan,50,General Use
