OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
SBBFLAT_20180322_DOV	0	0	540.62847	859.97809	41.40481	877.72180
SBBFLAT_20180322_DOV	1	0	1164.82070	1062.25630	94.04806	1077.63417
SBBFLAT_20180322_DOV	1	1	1098.86876	1044.21687	33.41959	1061.96057
SBBFLAT_20180322_DOV	2	0	1306.18854	1050.72289	225.36044	1075.56407
SBBFLAT_20180322_DOV	2	1	1254.43253	1037.41512	190.16636	1046.58269
SBBFLAT_20180322_DOV	3	0	1353.80407	1019.07996	497.79482	1036.52793
SBBFLAT_20180322_DOV	3	1	1312.69501	991.57722	469.40296	1015.53122
SBBFLAT_20180322_DOV	4	0	937.60998	503.10515	448.70980	542.01972
SBBFLAT_20180322_DOV	4	1	617.96673	437.68456	135.15712	478.79737
SBBFLAT_20180322_DOV	5	0	1188.23660	925.16867	312.60628	941.70537
SBBFLAT_20180322_DOV	5	1	939.51201	804.80723	37.85582	825.18839
SBBFLAT_20180322_DOV	6	0	1756.74677	1030.31763	1051.68207	1068.17087
SBBFLAT_20180322_DOV	7	0	1652.71534	938.78204	1033.84658	976.79080
SBBFLAT_20180322_DOV	7	1	1375.30314	925.76999	716.73752	950.76670
SBBFLAT_20180322_DOV	8	0	552.57856	719.72727	215.43623	756.23330
SBBFLAT_20180322_DOV	8	1	759.30684	744.86418	391.11091	769.83680
SBBFLAT_20180322_DOV	9	0	729.90758	874.17306	298.11460	894.28258
SBBFLAT_20180322_DOV	10	0	553.29205	858.53560	203.50339	890.59255
SBBFLAT_20180322_DOV	10	1	497.49415	868.19606	149.87431	898.47864
SBBFLAT_20180322_DOV	11	0	895.64633	936.47864	203.98521	956.04162
SBBFLAT_20180322_DOV	11	1	855.42452	925.24096	149.76463	945.00110
SBBFLAT_20180322_DOV	12	0	528.39556	697.75137	45.84104	725.07448
SBBFLAT_20180322_DOV	12	1	743.10906	670.54436	287.17190	699.34611
SBBFLAT_20180322_DOV	13	0	387.59150	415.93428	39.03882	469.74808
SBBFLAT_20180322_DOV	13	1	536.35305	362.99890	181.58965	414.44688
SBBFLAT_20180322_DOV	14	0	741.73752	990.09858	257.89279	1006.65936
SBBFLAT_20180322_DOV	15	0	1367.49723	688.17525	936.26433	720.45564
SBBFLAT_20180322_DOV	15	1	1195.66728	662.15115	743.73198	695.02300
SBBFLAT_20180322_DOV	16	0	230.68392	567.79847	85.17560	612.74918
SBBFLAT_20180322_DOV	17	0	712.24954	558.82804	359.85397	593.51917
SBBFLAT_20180322_DOV	17	1	595.52742	530.83242	223.41528	573.21249
SBBFLAT_20180322_DOV	18	0	398.39372	851.11062	78.47197	870.70427
SBBFLAT_20180322_DOV	18	1	345.15896	850.71632	22.47689	872.08434
SBBFLAT_20180322_DOV	19	0	1320.22181	967.62322	858.85397	999.56188
SBBFLAT_20180322_DOV	20	0	1593.49353	940.41621	953.49353	985.36692
SBBFLAT_20180322_DOV	21	0	390.38817	936.86747	266.17375	965.25739
SBBFLAT_20180322_DOV	22	0	1492.93900	838.68565	735.82255	870.62432
SBBFLAT_20180322_DOV	23	0	992.00801	804.26944	590.99261	822.17415
SBBFLAT_20180322_DOV	23	1	1131.99569	828.51917	720.53050	854.90142
SBBFLAT_20180322_DOV	24	0	1397.11645	916.75794	964.14048	935.68456
SBBFLAT_20180322_DOV	25	0	578.48429	1032.68346	209.39002	1046.87842
SBBFLAT_20180322_DOV	26	0	412.86506	933.31873	47.31978	946.33078
SBBFLAT_20180322_DOV	27	0	1335.79482	816.80394	511.43500	850.07010
SBBFLAT_20180322_DOV	27	1	1096.43561	885.41292	184.83056	906.69003
SBBFLAT_20180322_DOV	28	0	482.66174	881.27054	15.37893	901.38007
SBBFLAT_20180322_DOV	29	0	1619.51941	882.45345	1122.66174	914.39211
SBBFLAT_20180322_DOV	30	0	1447.98521	793.73494	1076.52495	816.21030
SBBFLAT_20180322_DOV	30	1	1126.21072	686.08981	781.95933	731.04053
SBBFLAT_20180322_DOV	31	0	1653.82625	923.85542	1095.45287	956.97700
SBBFLAT_20180322_DOV	32	0	983.06839	1012.57393	383.29020	1031.50055
SBBFLAT_20180322_DOV	33	0	885.41405	943.09748	390.25878	958.56627
SBBFLAT_20180322_DOV	33	1	929.33272	924.03067	432.55083	945.30887
SBBFLAT_20180322_DOV	34	0	498.04067	621.02957	95.82255	647.05367
SBBFLAT_20180322_DOV	35	0	1051.68207	1024.40307	615.15712	1050.42716
SBBFLAT_20180322_DOV	36	0	858.85397	998.37897	483.84473	1017.30559
SBBFLAT_20180322_DOV	37	0	432.97597	1018.48850	83.99261	1027.95181
SBBFLAT_20180322_DOV	38	0	1401.68330	590.23439	723.26864	616.21030
SBBFLAT_20180322_DOV	38	1	1606.87307	562.47864	921.14233	580.93209
SBBFLAT_20180322_DOV	39	0	1898.26248	661.18182	1247.67283	685.59036
SBBFLAT_20180322_DOV	39	1	1848.57671	643.15772	1203.16266	662.50164
SBBFLAT_20180322_DOV	40	0	1617.15342	696.73604	966.50647	722.76013
SBBFLAT_20180322_DOV	41	0	1839.70425	574.16320	1214.68946	589.86418
SBBFLAT_20180322_DOV	41	1	1788.53974	538.26396	1170.62292	557.24206
SBBFLAT_20180322_DOV	42	0	1455.66359	793.49945	840.00370	820.05367
SBBFLAT_20180322_DOV	42	1	1397.40111	783.81709	783.95933	810.66922
SBBFLAT_20180322_DOV	43	0	1720.47320	944.26835	898.43808	974.16210
SBBFLAT_20180322_DOV	43	1	1673.15342	930.56407	850.23105	962.24535
SBBFLAT_20180322_DOV	44	0	693.23475	964.07448	67.43068	980.63527
SBBFLAT_20180322_DOV	45	0	552.45841	185.71742	23.65989	241.31435
SBBFLAT_20180322_DOV	46	0	687.31978	779.53998	104.10351	797.28368
SBBFLAT_20180322_DOV	47	0	1500.03697	910.84337	700.33272	935.68456
SBBFLAT_20180322_DOV	48	0	447.30992	386.35268	30.95502	439.55203
SBBFLAT_20180322_DOV	48	1	822.71842	440.61884	375.91559	474.28368
SBBFLAT_20180322_DOV	49	0	974.78743	680.17525	376.19224	703.83352
SBBFLAT_20180322_DOV	50	0	1154.21072	660.69003	559.64695	688.01095
SBBFLAT_20180322_DOV	50	1	1212.17745	672.90471	608.88909	698.28916
SBBFLAT_20180322_DOV	51	0	1113.76710	661.73384	479.61368	690.01424
SBBFLAT_20180322_DOV	51	1	1175.72643	665.30887	543.93900	698.50493
SBBFLAT_20180322_DOV	52	0	1576.97782	901.07558	750.41774	929.05367
SBBFLAT_20180322_DOV	52	1	1623.11460	883.94524	812.22921	912.07229
SBBFLAT_20180322_DOV	53	0	1030.51941	657.33078	288.30314	684.60679
SBBFLAT_20180322_DOV	53	1	1086.71165	655.84118	352.03697	675.22234
SBBFLAT_20180322_DOV	54	0	1367.54159	909.66046	687.31978	927.40416
SBBFLAT_20180322_DOV	55	0	894.16451	805.43593	170.93161	828.28806
SBBFLAT_20180322_DOV	55	1	851.13309	814.82037	134.70240	839.75794
SBBFLAT_20180322_DOV	56	0	1123.94270	644.50164	160.03512	668.88609
SBBFLAT_20180322_DOV	56	1	1188.12015	621.11501	237.66913	649.52136
SBBFLAT_20180322_DOV	57	0	1475.65619	699.60898	782.78189	728.07667
SBBFLAT_20180322_DOV	57	1	1424.93530	683.52136	735.46211	705.58379
SBBFLAT_20180322_DOV	58	0	1615.91497	919.03176	907.67468	951.79956
SBBFLAT_20180322_DOV	58	1	1671.36784	913.37130	960.46580	945.54326
SBBFLAT_20180322_DOV	59	0	987.80037	877.72180	223.58595	894.28258
SBBFLAT_20180322_DOV	60	0	617.94270	671.60789	151.63216	700.28806
SBBFLAT_20180322_DOV	60	1	673.09982	661.62760	199.09982	691.64841
SBBFLAT_20180322_DOV	61	0	689.68577	781.90581	235.41590	811.47864
SBBFLAT_20180322_DOV	62	0	1736.63586	655.33406	1599.40850	665.98028
SBBFLAT_20180322_DOV	63	0	455.30684	67.62760	54.41774	134.85214
SBBFLAT_20180322_DOV	63	1	710.61368	42.60241	337.15342	96.99890
SBBFLAT_20180322_DOV	64	0	305.21257	668.34611	61.51571	689.63855
SBBFLAT_20180322_DOV	64	1	559.55638	641.13910	278.00370	662.43154
SBBFLAT_20180322_DOV	65	0	978.21935	765.34611	510.14356	799.81599
SBBFLAT_20180322_DOV	65	1	1255.98644	715.05586	719.11275	740.45235
SBBFLAT_20180322_DOV	66	0	1658.55823	835.13691	1256.34011	877.72180
SBBFLAT_20180322_DOV	67	0	1255.68577	490.52793	895.67036	525.45455
SBBFLAT_20180322_DOV	67	1	1515.98521	579.64732	1185.83056	601.46440
SBBFLAT_20180322_DOV	68	0	1440.88725	689.63855	728.72458	719.21139
SBBFLAT_20180322_DOV	69	0	1502.98398	694.45235	731.32286	722.43812
SBBFLAT_20180322_DOV	69	1	1456.25570	704.70427	685.77757	735.64732
SBBFLAT_20180322_DOV	70	0	1712.15280	758.88719	847.82810	787.97262
SBBFLAT_20180322_DOV	70	1	1656.55206	766.37897	794.59335	797.04162
SBBFLAT_20180322_DOV	71	0	1452.01232	722.73275	838.37831	753.28149
SBBFLAT_20180322_DOV	71	1	1413.36784	731.80175	793.42452	762.94195
SBBFLAT_20180322_DOV	72	0	1127.00308	1018.88280	250.73383	1033.66922
SBBFLAT_20180322_DOV	72	1	1167.81639	999.75904	297.85644	1015.72837
SBBFLAT_20180322_DOV	73	0	876.59889	947.51369	494.49168	986.54984
SBBFLAT_20180322_DOV	74	0	543.62908	474.13472	46.13678	517.29135
SBBFLAT_20180322_DOV	74	1	720.48675	422.67798	216.78373	465.51369
SBBFLAT_20180322_DOV	75	0	1752.01479	959.34283	1148.68762	997.19606
SBBFLAT_20180322_DOV	76	0	1760.00000	968.80613	1028.10721	1004.58927
SBBFLAT_20180322_DOV	76	1	1812.93900	976.79080	1072.76525	1012.86966
SBBFLAT_20180322_DOV	77	0	572.56932	94.63308	144.32532	165.60789
SBBFLAT_20180322_DOV	78	0	893.38447	209.85214	131.01664	264.89485
SBBFLAT_20180322_DOV	78	1	835.71349	205.12048	47.91128	263.71194
SBBFLAT_20180322_DOV	79	0	977.43993	396.07777	95.82255	440.68127
SBBFLAT_20180322_DOV	79	1	925.68392	392.52903	41.10906	438.01972
SBBFLAT_20180322_DOV	80	0	925.10166	718.02848	346.61738	747.60131
SBBFLAT_20180322_DOV	81	0	662.47689	692.00438	70.97967	723.94304
SBBFLAT_20180322_DOV	82	0	803.25323	634.04162	423.51201	692.00438
SBBFLAT_20180322_DOV	83	0	1515.41590	418.75137	1126.21072	432.94633
SBBFLAT_20180322_DOV	84	0	606.87616	449.50712	27.20887	490.90909
SBBFLAT_20180322_DOV	85	0	623.05419	218.59956	53.20197	272.95405
SBBFLAT_20180322_DOV	86	0	1331.77833	999.94530	59.31034	1022.69147
SBBFLAT_20180322_DOV	86	1	1395.32512	989.31072	115.27094	1001.02845
SBBFLAT_20180322_DOV	87	0	781.47783	892.12254	286.10837	909.84683
SBBFLAT_20180322_DOV	88	0	1397.43842	924.02626	708.17734	944.11379
SBBFLAT_20180322_DOV	89	0	247.09360	616.80525	56.74877	632.16630
SBBFLAT_20180322_DOV	90	0	679.80296	536.45514	161.97044	562.45077
SBBFLAT_20180322_DOV	91	0	1085.32020	716.06127	643.15271	751.50985
SBBFLAT_20180322_DOV	92	0	1337.60099	911.33479	351.71921	931.02845
SBBFLAT_20180322_DOV	92	1	1271.39409	936.93654	273.29557	956.03939
SBBFLAT_20180322_DOV	93	0	1199.86700	965.60394	39.01478	972.64989
SBBFLAT_20180322_DOV	93	1	1264.10345	953.98468	107.78325	967.33260
SBBFLAT_20180322_DOV	94	0	1215.73399	959.21225	233.03448	974.96718
SBBFLAT_20180322_DOV	94	1	1168.24631	958.03063	171.75369	974.17943
SBBFLAT_20180322_DOV	95	0	1075.48768	756.91028	684.52217	786.06346
SBBFLAT_20180322_DOV	95	1	1123.17241	764.00000	734.17734	796.89497
SBBFLAT_20180322_DOV	96	0	1879.80296	843.67615	1333.59606	877.94311
SBBFLAT_20180322_DOV	97	0	1338.32512	922.84464	898.52217	961.83807
SBBFLAT_20180322_DOV	98	0	659.01478	439.09190	15.81281	486.83589
SBBFLAT_20180322_DOV	98	1	706.89655	452.48359	71.82266	509.45295
SBBFLAT_20180322_DOV	99	0	695.51724	477.33260	15.81281	525.82057
SBBFLAT_20180322_DOV	99	1	750.64039	499.05689	70.93596	543.22976
SBBFLAT_20180322_DOV	100	0	766.08374	772.46171	79.21182	751.08753
