OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
SBMP_20200317_SB204_DOV	2	SB204_L102_001.MP4	50394	SB204_R101_01.MP4	46881	14.01233	1	0.02669	-92.82194	-603.38922	-2491.82836	1.25842	2.28337	8.29236	3.32549	2565.52199	14.06723	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20200317_SB204_DOV	4	SB204_L102_001.MP4	50552	SB204_R101_01.MP4	47039	14.05626	1	0.07063	-102.79623	-430.37126	-1879.08244	0.96170	1.38940	4.75381	1.22243	1930.47592	13.54684	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20200317_SB204_DOV	6	SB204_L102_001.MP4	51040	SB204_R101_01.MP4	47527	14.19196	1	0.20632	-375.42498	-368.71257	-2496.59777	1.70982	1.68326	8.31669	0.04766	2551.44925	12.11736	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20200317_SB204_DOV	9	SB204_L102_001.MP4	51529	SB204_R101_01.MP4	48016	14.32792	1	0.34229	1439.47665	-97.05596	-2662.14782	4.76618	1.30362	8.93108	1.20720	3027.96036	28.47736	Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
SBMP_20200317_SB204_DOV	10	SB204_L102_001.MP4	51529	SB204_R101_01.MP4	48016	14.32792	1	0.34229	1496.02708	8.60108	-3134.25239	5.95894	1.50727	12.64109	1.21310	3472.99712	25.51618	Labridae	Thalassoma	lunare	37384167	1	AD	Passing			
SBMP_20200317_SB204_DOV	11	SB204_L102_001.MP4	51637	SB204_R101_01.MP4	48124	14.35795	1	0.37232	1580.27307	-77.39260	-3213.53194	6.40684	1.56089	13.22748	0.21161	3581.90454	26.22965	Pomacentridae	Stegastes	obreptus	37372136	1	AD	Passing			
SBMP_20200317_SB204_DOV	14	SB204_L102_001.MP4	52589	SB204_R101_01.MP4	49076	14.62266	1	0.63703	644.17302	-300.04937	-1597.35661	1.49003	0.98573	3.35175	0.80610	1748.29535	24.11324	Chaetodontidae	Chaetodon	assarius	37365012	1	AD	Passing			
SBMP_20200317_SB204_DOV	15	SB204_L102_001.MP4	52630	SB204_R101_01.MP4	49117	14.63406	1	0.64843	728.90580	-489.21403	-1685.12887	1.70860	1.31988	3.67241	1.17666	1900.07719	27.68782	Pomacentridae	Stegastes	obreptus	37372136	1	AD	Passing			
SBMP_20200317_SB204_DOV	19	SB204_L102_001.MP4	54379	SB204_R101_01.MP4	50866	15.12038	1	1.13474	-1077.21856	-361.18400	-1934.22251	2.63010	1.24023	4.61762	0.88553	2243.22768	30.52795	Labridae	Choerodon	cauteroma	37384005	1	AD	Passing			
SBMP_20200317_SB204_DOV	22	SB204_L102_001.MP4	54381	SB204_R101_01.MP4	50868	15.12094	1	1.13530	-1404.65496	-584.28813	-2374.00312	3.97425	1.95473	6.75845	1.11521	2819.63455	32.77101	Labridae	Stethojulis	bandanensis	37384154	1	AD	Passing			
